recipe,mixture_domain,quality_domain,mapping_type,weight,has_quality_samples
p0,arxiv,arxiv,direct,0.11302252583269279,True
p0,github,github,direct,0.11070066007050916,True
p0,stackexchange,stackexchange,direct,0.09943242344413017,True
p0,wikipedia_en,wikipedia,near_direct,0.07507775607983627,True
p0,gutenberg_pg_19,book,near_direct,0.04691494424753537,True
p0,pile_cc,commoncrawl,near_direct,0.11948759779188561,True
p0,dm_mathematics,(none),inferred,0.0254628540970504,False
p0,freelaw,(none),inferred,0.0968248321520278,False
p0,nih_exporter,(none),inferred,0.00588968021709595,False
p0,pubmed_central,(none),inferred,0.11375419105058357,False
p0,philpapers,(none),inferred,0.005487697351193036,False
p0,enron_emails,(none),inferred,0.002211033043406226,False
p0,ubuntu_irc,(none),inferred,0.019599998284005892,False
p0,europarl,(none),inferred,0.012737064754031531,False
p0,hackernews,(none),inferred,0.011650822378108678,False
p0,pubmed_abstracts,(none),inferred,0.06618116611257162,False
p0,uspto_backgrounds,(none),inferred,0.07556475309333588,False
p_star,arxiv,arxiv,direct,0.06475037095986275,True
p_star,github,github,direct,0.06901570050159644,True
p_star,stackexchange,stackexchange,direct,0.12151278381936098,True
p_star,wikipedia_en,wikipedia,near_direct,0.06368624628528818,True
p_star,gutenberg_pg_19,book,near_direct,0.030033448825608617,True
p_star,pile_cc,commoncrawl,near_direct,0.10441900180099933,True
p_star,dm_mathematics,(none),inferred,0.1196608323266,False
p_star,freelaw,(none),inferred,0.059810188493389066,False
p_star,nih_exporter,(none),inferred,0.009751957863812088,False
p_star,pubmed_central,(none),inferred,0.08203691156278994,False
p_star,philpapers,(none),inferred,0.01588720789536817,False
p_star,enron_emails,(none),inferred,0.017683341063462876,False
p_star,ubuntu_irc,(none),inferred,0.10051975627736062,False
p_star,europarl,(none),inferred,0.0,False
p_star,hackernews,(none),inferred,0.04437643393454711,False
p_star,pubmed_abstracts,(none),inferred,0.04888632516729241,False
p_star,uspto_backgrounds,(none),inferred,0.047969493222661405,False
