domain,requested_keep,n_total,n_keep,actual_doc_keep,word_keep,threshold,baseline_mean,selected_mean,gain,selected_word_mean
arxiv,1.0,17523,17523,1.0,1.0,-1.5763591307472575,0.2225736504137245,0.2225736504137245,0.0,0.15460021520175413
arxiv,0.8,17523,14019,0.8000342407122069,0.7033030860840915,0.0624597113983713,0.2225736504137245,0.3003419555701009,0.0777683051563764,0.2630230339655061
arxiv,0.5,17523,8762,0.500028533926839,0.37097372031226206,0.22941800783006,0.2225736504137245,0.38849751894175494,0.16592386852803043,0.3640431010084529
arxiv,0.2,17523,3505,0.2000228271414712,0.11622776400124624,0.3953997160703071,0.2225736504137245,0.5091098832023706,0.2865362327886461,0.49668146515062134
arxiv,0.1,17523,1753,0.10003994749757461,0.05101726363124869,0.4846742486481041,0.2225736504137245,0.5820117116085802,0.3594380611948557,0.5755088697904619
arxiv,0.05,17523,877,0.05004850767562632,0.023298082568451006,0.5623030485274866,0.2225736504137245,0.6459238659758932,0.42335021556216873,0.6442107292857893
book,1.0,171,171,1.0,1.0,-1.1196605830061346,-0.4208437198419146,-0.42084371984191465,0.0,-0.5199190256766093
book,0.8,171,137,0.8011695906432749,0.6337972341790611,-0.6140187842893505,-0.4208437198419146,-0.33910607221779593,0.08173764762411867,-0.3868322469882186
book,0.5,171,86,0.5029239766081871,0.3331668633684923,-0.4071866636953873,-0.4208437198419146,-0.23311828561535233,0.18772543422656227,-0.2590672161340963
book,0.2,171,35,0.2046783625730994,0.10790057836324705,-0.2184839329550381,-0.4208437198419146,-0.12307463117881383,0.29776908866310076,-0.15510004896859467
book,0.1,171,18,0.10526315789473684,0.04541804018383892,-0.1535299821768294,-0.4208437198419146,-0.055936614976906926,0.36490710486500766,-0.1005522983433995
book,0.05,171,9,0.05263157894736842,0.022633148344528127,-0.1066811815597486,-0.4208437198419146,0.028784857698778407,0.449628577540693,-0.057448852798321785
c4,1.0,10000,10000,1.0,1.0,-1.688451012245448,-0.02098316588946183,-0.020983165889461815,0.0,0.10448392728289572
c4,0.8,10000,8000,0.8,0.9038591755889069,-0.2922964470851079,-0.02098316588946183,0.11345016727967984,0.13443333316914166,0.17222470893616335
c4,0.5,10000,5000,0.5,0.6571788482005495,0.0175049499050938,-0.02098316588946183,0.25766085969329444,0.27864402558275625,0.2804309348611792
c4,0.2,10000,2000,0.2,0.3018757221706218,0.2791137700640431,-0.02098316588946183,0.4261989956457618,0.4471821615352236,0.4327246516792079
c4,0.1,10000,1000,0.1,0.16368792589340728,0.3975480341017772,-0.02098316588946183,0.5172644322751008,0.5382475981645626,0.5146240115137192
