数据集,域,n,Q_res_doc均值,CI95低,CI95高,Q_res_语料(词数加权),Q_res_中位数,Q_lin_doc均值,Q_lin_语料(词数加权)
A1 抽样集,arxiv,1419,0.228876621422491,0.21724707440256613,0.23919865187377154,0.1622166394227986,0.24439334801468893,0.3793738999473933,0.3374899445848321
A1 抽样集,book,171,-0.4208437198419146,-0.4571498339394129,-0.3840940473500202,-0.5199190256766092,-0.40718666369538736,-0.12866283428672542,-0.1778848828097645
A1 抽样集,c4,10000,-0.02098316588946182,-0.028326915568149653,-0.014141514172108065,0.10448392728289574,0.017490550264902538,0.07702378721679816,0.19542235733900704
A1 抽样集,commoncrawl,9640,0.07280859552019457,0.06586863471172065,0.0781854562308919,0.09419900931319161,0.10045608392872662,0.14864545086032738,0.19774846360940512
A1 抽样集,github,10000,-0.3393860294932435,-0.3451124376201116,-0.3340292090178066,-0.29638182701042165,-0.3182153043562099,-0.2193934749172247,-0.1767861513864794
A1 抽样集,stackexchange,10000,-0.07260158627902256,-0.07827313461640541,-0.06790312847229754,-0.057405256155265025,-0.057073579065516744,-0.0026417402244208184,0.014364665897753879
A1 抽样集,wikipedia,10000,-0.2057795034410034,-0.2123118495708406,-0.19842673624745985,0.042145534953983085,-0.19025680695873426,-0.11738225128439883,0.13483792661416943
A2 扩展集,arxiv,17523,0.2225736504137245,0.2197610831853785,0.2257012922196238,0.15460021520175413,0.22941800783006006,0.3738728986212777,0.3289289217017765
A3 扩展集,github,203752,-0.3444984288722766,-0.3457142325501298,-0.3432294934550364,-0.3127649266531828,-0.32607082454354297,-0.22367735975735406,-0.19055288943635496
抽样+扩展 合并全量,arxiv,17523,0.2225736504137245,0.2197610831853785,0.2257012922196238,0.15460021520175413,0.22941800783006006,0.3738728986212777,0.3289289217017765
抽样+扩展 合并全量,github,203752,-0.3444984288722766,-0.3457142325501298,-0.3432294934550364,-0.3127649266531828,-0.32607082454354297,-0.22367735975735406,-0.19055288943635496
