,对数特征系数 a_i,CI低,CI高,边际效应@训练均值配比,边际效应@均匀配比,有验证损失,训练集平均份额
stackexchange,-0.056168230619001676,-0.06140578880117323,-0.051584263323846476,-0.10739966955275765,-0.48079576741315233,True,0.09943242344413017
dm_mathematics,-0.05531916952270028,-0.06128959110890259,-0.05012954245788734,-1.6385818282538576,-0.4666030057247317,True,0.0254628540970504
pile_cc,-0.04833127303281262,-0.05312038748973647,-0.04329611818658349,0.05073356005052021,-0.34979450982690463,True,0.11948759779188561
ubuntu_irc,-0.046543592474228845,-0.052105727668369135,-0.04122641692390388,-1.8075336327913984,-0.31991194395087297,True,0.019599998284005892
pubmed_central,-0.038069793642313464,-0.04337738908182252,-0.03333506969704107,0.12011345742261503,-0.1782653558067614,True,0.11375419105058357
github,-0.032099980835658175,-0.03716510072049618,-0.026836206805981942,0.1644892156839423,-0.07847497457456876,True,0.11070066007050916
arxiv,-0.030144462350996347,-0.03435495569073763,-0.025011911233628482,0.18749137876305844,-0.04578685831178497,True,0.11302252583269279
wikipedia_en,-0.02965659489532738,-0.03461227155106255,-0.024813466550995554,0.062044721275156034,-0.03763174843334599,True,0.07507775607983627
freelaw,-0.02787954517724267,-0.03302220760997359,-0.022893917457406408,0.16686968649145967,-0.007926885889157131,True,0.0968248321520278
pubmed_abstracts,-0.022871299870733792,-0.02768531681231104,-0.017704610033900336,0.1114221096564596,0.07579009563557337,True,0.06618116611257162
uspto_backgrounds,-0.02245096146604264,-0.026946730723601042,-0.018079891761742906,0.1586358297941709,0.08281640131870965,True,0.07556475309333588
hackernews,-0.020803657597573556,-0.028768264278014866,-0.012839597923765603,-1.1925867585408625,0.11035245418397455,True,0.011650822378108678
gutenberg_pg_19,-0.014227853259051538,-0.019091087746010864,-0.009421135681698278,0.1549244630098553,0.2202724873746081,True,0.04691494424753537
enron_emails,-0.0085657200568828,-0.019914433737792957,0.0009965284394942652,-2.215725882651257,0.3149197483744789,False,0.002211033043406226
philpapers,-0.007742249894318113,-0.016259643478227056,-4.818423345981948e-05,-0.741509837287345,0.32868473634262013,False,0.005487697351193036
nih_exporter,-0.004929432097395108,-0.012948142970473132,0.0036803868361539238,-0.26361628806449383,0.37570332291852093,False,0.00588968021709595
europarl,-8.680827157367534e-05,-0.00764041879609446,0.006492047111375714,0.44554497467387444,0.45665180378279263,False,0.012737064754031531
