,方向,是否有效,冗余度,权重
fineweb_edu,+,True,2.6023908396638347,0.03905281489186476
fluency_en,+,True,2.9499469454727536,0.03445170018859071
modernbert_cleanliness,+,True,3.9779902487376284,0.025548249589080224
modernbert_readability,+,True,3.8199842577472753,0.026605001717365708
modernbert_reasoning,+,True,3.601115189731581,0.028222004124575522
modernbert_professionalism,+,True,2.1134346153545827,0.04808792616497629
dsir_books,+,True,5.392400589690037,0.018847021108184793
dsir_wiki,+,True,5.418128456322288,0.01875752643315161
dsir_math,+,True,5.557356024626785,0.01828759706725852
qurater,+,True,3.6418662144929512,0.02790621119832269
rps_doc_unigram_entropy,+,True,4.535669205999899,0.022406988499786663
rps_doc_frac_unique_words,+,True,1.6001628960518208,0.0635127136046185
rps_lines_ending_with_terminal_punctution_mark,+,True,1.379202178662484,0.07368802725952417
ad_en,-,True,1.426501988889365,0.07124468702409807
rps_doc_frac_no_alph_words,-,True,1.5087202393392452,0.06736218225731905
rps_doc_frac_chars_top_2gram,-,True,1.7233118023049394,0.058974056582067516
rps_doc_frac_chars_top_3gram,-,True,1.5538334141009262,0.06540642440520655
rps_lines_uppercase_letter_fraction,-,True,1.730457164778501,0.05873054231347298
rps_lines_numerical_chars_fraction,-,True,1.4486764423840912,0.07015416608171132
rps_doc_word_count,~,True,2.740942327282971,0.0370787399377426
rps_doc_num_sentences,~,True,1.2233468420705165,0.08307593908990368
rps_doc_mean_word_length,~,True,2.3857259909612107,0.04259948046117784
