模型,数据集,n,Spearman,Pearson,R2,RMSE,MAE
线性混料,训练集,512,0.5464087408876072,0.544156031149919,0.29610578623683137,0.2722296008756514,0.21685476984339458
线性混料,外层5折CV,512,0.4934722830191918,0.4850318161812891,0.23110548772913952,0.2845214605906356,0.22658656820937134
对数线性混料,训练集,512,0.9461119801501471,0.9251453843901447,0.8558939822583889,0.12317503867722271,0.09276745238782266
对数线性混料,外层5折CV,512,0.9413396862590265,0.9192725949913593,0.8450128793235853,0.1277407477058561,0.09651009610710497
加性样条（PDF）,训练集,512,0.9022228266156259,0.8982085829246778,0.8066549836422104,0.14267508499844558,0.11165983996669641
加性样条（PDF）,外层5折CV,512,0.8695232659273754,0.8614253631069277,0.7413875844921137,0.16500850677073814,0.12971418346828653
梯度提升树 GBM,训练集,512,0.995281886937664,0.9959562967187464,0.9917972714787071,0.029387376566122052,0.023614525913136213
梯度提升树 GBM,外层5折CV,512,0.9611400969604376,0.9565230530001276,0.9104568313941993,0.09709522624694393,0.07135509742566595
线性混料,1M 检验集 (A6/A7),256,0.6244728484779124,0.5987754698981291,0.32727815492866696,0.22776521261096377,0.18067899497607448
线性混料,60M 检验集 (A8/A9),256,0.5584086747539482,0.5284693758773105,-47.26019377291188,1.5205479228422512,1.5080863187351115
线性混料,1B 检验集 (A10/A11),64,0.3684523809523809,0.1462405602178597,-3781.2920851771933,3.1943445345591073,3.190261598507922
对数线性混料,1M 检验集 (A6/A7),256,0.9315797379262987,0.9316660676205044,0.8513838353128907,0.10705393930837503,0.08643139234382932
对数线性混料,60M 检验集 (A8/A9),256,0.9116409647516591,0.8924128991357517,-45.30406856088159,1.4894130606546039,1.4834126221518362
对数线性混料,1B 检验集 (A10/A11),64,0.7547619047619046,0.7345377797620931,-2637.311526211749,2.667885961432045,2.6649918153988876
加性样条（PDF）,1M 检验集 (A6/A7),256,0.8837691691462575,0.8885305531763948,0.7655525639983903,0.1344597724399744,0.10393190298795993
加性样条（PDF）,60M 检验集 (A8/A9),256,0.8726675154497594,0.8743361801640306,-45.901299718237844,1.4989875320499026,1.492960351112335
加性样条（PDF）,1B 检验集 (A10/A11),64,0.5206043956043955,0.6908017213862251,-2820.066312757775,2.758740634542604,2.752887849200456
梯度提升树 GBM,1M 检验集 (A6/A7),256,0.967106317235065,0.9676324171268423,0.925182500626708,0.0759575979777809,0.06074817332061449
梯度提升树 GBM,60M 检验集 (A8/A9),256,0.9300819695582511,0.9302876103365685,-45.482456952001684,1.4922793162585501,1.4886443997644387
梯度提升树 GBM,1B 检验集 (A10/A11),64,0.7211080586080585,0.6976459097410007,-2932.8267723474305,2.8133350573344127,2.8117117779759813
