模型,外层折,训练数,验证数,所选参数,Spearman,Pearson,R2,RMSE,MAE
线性混料,1,409,103,{},0.3722158766419189,0.4100811991177606,0.12180703671087845,0.28645134363166397,0.2363939384924005
线性混料,2,409,103,{},0.6055660501691341,0.5509958041505432,0.29901054822581874,0.2970896981326168,0.22868354792014206
线性混料,3,410,102,{},0.5011733040808365,0.5004816398818669,0.24742520831611858,0.2713916958239142,0.21447575092428195
线性混料,4,410,102,{},0.5552188000067854,0.5451974697800823,0.29250484177838476,0.2841857866478087,0.22977876603445233
线性混料,5,410,102,{},0.36302310984953434,0.39309851030060244,0.1331669408951327,0.2827510650103322,0.22348412836191342
对数线性混料,1,409,103,"{""log__kw_args"": {""epsilon"": 0.001}}",0.9337521416333524,0.9299921868915073,0.860539226663367,0.1141515786230056,0.09652877301540924
对数线性混料,2,409,103,"{""log__kw_args"": {""epsilon"": 0.001}}",0.933466590519703,0.9124092734880529,0.8316161388395191,0.1456069426696741,0.10289883313144244
对数线性混料,3,410,102,"{""log__kw_args"": {""epsilon"": 0.0001}}",0.9506816472623847,0.9126858280126631,0.831122898682366,0.12856036720077815,0.09058624137227757
对数线性混料,4,410,102,"{""log__kw_args"": {""epsilon"": 0.001}}",0.9561212546154673,0.9430647897978623,0.8870702710888463,0.11353892029579818,0.08477667653986606
对数线性混料,5,410,102,"{""log__kw_args"": {""epsilon"": 0.001}}",0.9058642586131828,0.8988017972818283,0.805681585207896,0.13387315417271597,0.10769713869287603
加性样条（PDF）,1,409,103,"{""ridge__alpha"": 10.0}",0.8568180819751351,0.8762311399653013,0.7672065710165072,0.1474827564431474,0.11960917681206136
加性样条（PDF）,2,409,103,"{""ridge__alpha"": 10.0}",0.9034288099108203,0.8785142015208578,0.7542160782958265,0.17591731417153908,0.13428169253587294
加性样条（PDF）,3,410,102,"{""ridge__alpha"": 10.0}",0.8922482767979825,0.8604438389269333,0.7365789019830384,0.1605635638317655,0.1231714096226198
加性样条（PDF）,4,410,102,"{""ridge__alpha"": 10.0}",0.8911852350283572,0.8706276671109375,0.7542810812776626,0.16747882871440015,0.13320506515247718
加性样条（PDF）,5,410,102,"{""ridge__alpha"": 10.0}",0.7790004014679024,0.8277303802604277,0.6787560423486811,0.17212898199329044,0.1383578624104477
梯度提升树 GBM,1,409,103,"{""max_depth"": 3, ""n_estimators"": 500}",0.9562557659359487,0.9622904376402367,0.9233002300444038,0.08465505923488502,0.06302786562545251
梯度提升树 GBM,2,409,103,"{""max_depth"": 3, ""n_estimators"": 500}",0.954432631902649,0.9574895050586374,0.9108090211643272,0.10597228922499476,0.07836831023334882
梯度提升树 GBM,3,410,102,"{""max_depth"": 3, ""n_estimators"": 500}",0.9532148531814918,0.9406372168225133,0.8741827105247,0.11096649884854522,0.07838316580663023
梯度提升树 GBM,4,410,102,"{""max_depth"": 3, ""n_estimators"": 500}",0.9735596632193202,0.9640807201070084,0.9273541073456233,0.09106387977482547,0.0695164854498476
梯度提升树 GBM,5,410,102,"{""max_depth"": 2, ""n_estimators"": 500}",0.9490757756529509,0.9592173897884027,0.9117522077119016,0.0902170124138984,0.06749254255219304
