,最优配比 p* (对数线性),GBM 搜索最优,两模型折中候选 p_rob,训练集平均配比,均匀配比,对数特征系数 a_i,Q_i,主模型解析配比
stackexchange,0.12151278381936072,0.1763713803025138,0.04820405670468716,0.09943242344413017,0.058823529411764705,-0.05616823061900157,-0.07260158627902256,0.12151278381936072
dm_mathematics,0.11966083232659992,0.017563730811666813,0.1450275518936398,0.0254628540970504,0.058823529411764705,-0.05531916952270026,-0.10990345119853713,0.11966083232659992
pile_cc,0.10441900180099928,0.20144046458509807,0.1678125892911842,0.11948759779188561,0.058823529411764705,-0.04833127303281261,0.03626618617644824,0.10441900180099928
ubuntu_irc,0.10051975627736053,0.027407486909993315,0.10007316857936606,0.019599998284005892,0.058823529411764705,-0.04654359247422881,-0.10990345119853713,0.10051975627736053
pubmed_central,0.08203691156278994,0.104172402380112,0.05158912214219765,0.11375419105058357,0.058823529411764705,-0.03806979364231347,-0.10990345119853713,0.08203691156278994
github,0.06901570050159667,0.02367975122104677,0.04373322869373024,0.11070066007050916,0.058823529411764705,-0.032099980835658286,-0.3444984288722766,0.06901570050159667
arxiv,0.06475037095986277,0.018954626710757122,0.05517112235799643,0.11302252583269279,0.058823529411764705,-0.030144462350996364,0.2225736504137245,0.06475037095986277
wikipedia_en,0.06368624628528842,0.03233546288598415,0.03391650417719521,0.07507775607983627,0.058823529411764705,-0.029656594895327487,-0.18660429299251016,0.06368624628528842
freelaw,0.05981018849338901,0.09158771079703884,0.07621758603624157,0.0968248321520278,0.058823529411764705,-0.027879545177242653,-0.10990345119853713,0.05981018849338901
pubmed_abstracts,0.048886325167292424,0.05698311463113372,0.03152784147941341,0.06618116611257162,0.058823529411764705,-0.022871299870733802,-0.10990345119853713,0.048886325167292424
uspto_backgrounds,0.04796949322266143,0.10208229057909521,0.04023263881723277,0.07556475309333588,0.058823529411764705,-0.022450961466042658,-0.10990345119853713,0.04796949322266143
hackernews,0.044376433934547106,0.07522670160380875,0.05019222923570547,0.011650822378108678,0.058823529411764705,-0.02080365759757356,-0.10990345119853713,0.044376433934547106
gutenberg_pg_19,0.030033448825608607,0.027471227645917046,0.016561001413323253,0.04691494424753537,0.058823529411764705,-0.014227853259051538,-0.3586556661132391,0.030033448825608607
enron_emails,0.017683341063462973,0.01900392098147917,0.0471648579738156,0.002211033043406226,0.058823529411764705,-0.008565720056882846,-0.10990345119853713,0.017683341063462973
philpapers,0.015887207895368127,0.0007200763202389389,0.06353494799785354,0.005487697351193036,0.058823529411764705,-0.007742249894318094,-0.10990345119853713,0.015887207895368127
nih_exporter,0.009751957863812234,0.002409987756135012,0.013998132706437294,0.00588968021709595,0.058823529411764705,-0.004929432097395176,-0.10990345119853713,0.009751957863812234
europarl,0.0,0.022589663877981236,0.015043420499980354,0.012737064754031531,0.058823529411764705,-8.680827157359811e-05,-0.10990345119853713,0.0
