,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,-0.35761102165429587,0.007276228907736481,-0.042110198827698384,0.0062925294053863545,-0.022499725888845946,-0.0032831082883675844,-0.007344099197514912,0.011076447229889867,0.011007006202366151,0.0002724228163150396,0.009940142917684856,-0.001597347481582098,-0.003297286704026753
freelaw,0.018770080295440167,-0.32208046039734134,-0.004184362406394793,-0.011798631302108648,-0.0147309608429297,0.01073647210930509,0.019960357041683436,-0.038521004243457946,-0.01221382125551504,-0.0005458181734055434,-0.007340271176929945,0.0012865385515339056,-0.0017722055040342855
nih_exporter,0.028013993165006888,0.004179488768016368,-0.02076631726656654,0.0042714384959049835,-0.024457369452381774,-0.013390175491517014,-0.0035211132897315935,0.007400139741425398,0.0036386778867764165,0.0026673864119840436,0.0040135701202551445,-0.046998783952596115,-0.009133552402712452
pubmed_central,-0.08399524230107747,0.007855023405365317,-0.3421159068796252,-0.00293681336899357,-0.019868262841466373,0.0228662753468078,0.01702997772880082,0.014481719178271487,0.0042160489842253054,0.0077033199715071145,0.013020415021340341,-0.11058554348879107,-0.022578328106439578
wikipedia_en,-0.004095186548424924,-0.027025040189669617,-0.016871904711337486,-0.20682484885984265,-0.02104374515171834,-0.012061684186298206,-0.005336660401127826,-0.023445930129764526,-0.04012847686216635,-0.005674106965306586,-0.005024265892283444,-0.008934310342472407,-0.009069573398843346
dm_mathematics,-0.010889629588888755,0.0029916665360027184,-0.0035728405890312212,0.007073576224306911,-0.7523935977482004,0.007293311962917988,0.006993465587069716,0.0012080405356686367,0.00530797448239229,0.001321956637271233,0.0012488711032794283,0.00799647912737115,0.0062715219347369055
github,-0.0124766974100242,0.016646552727223627,0.00296761126735143,0.024289667412203574,-0.019455560646554945,-0.3673491567114284,-0.13338271901861565,0.014951987713023114,0.020282327296015784,-0.019318011357269398,0.001382677889930486,0.02890157579158516,0.025259994183002978
philpapers,-0.012690941225804692,-0.011936064042928943,0.012468452859394744,-0.012614990105581878,-0.017219468152653104,-0.004822197390020299,-0.006643201653553876,-0.01368686411992006,-0.010188612938916906,-0.034275288132324416,-0.004936692451216772,0.015525276261047109,0.0003713424663435331
stackexchange,-0.12242329200475927,0.005331143708223942,-0.01669060400267292,-0.00029240733273527597,-0.060463648312864875,-0.19417575555732788,-0.273413275068554,0.0012623675085893964,-0.009365113720726929,-0.04277078676795872,-0.029689002590053457,0.010204447961293205,0.0022989281325253488
enron_emails,0.033184509090213005,-0.011984623673334948,-0.008505725566682085,0.000715117592139885,-0.036394635331793525,-0.002068841130257164,0.008677498248463393,-0.01299993551820625,-0.003758285902018987,-0.02108261731182516,-0.014306255250262098,-0.03091607855634151,-0.0119144874295716
gutenberg_pg_19,-0.004540334377453894,-0.013608873946759508,-0.0004973001823553549,-0.010513442457295966,-0.004829523335025315,0.013083321319643054,0.013013705490794303,-0.15562283822905218,-0.009886344113298522,-0.0016529154654754664,-0.012026785759240707,0.0017909458608338525,0.0003282928270159695
pile_cc,-0.014929201146044404,-0.06772620578913793,-0.026615325869650003,-0.08319878442329272,-0.013857721879374707,-0.02859548539410554,-0.03440307474382732,-0.07191511212872481,-0.11442455076140874,-0.04424277538701966,-0.06685796842256332,-0.0318441558291243,-0.029696187652290346
ubuntu_irc,0.006039459910600921,0.001818035167475464,0.0011144027522539948,0.005242454898185526,-0.0303595321802684,-0.020361902338751837,-0.021376093761510558,0.004850478445518845,-0.018010426383605314,-0.5364246061087152,-0.012429884472018171,0.010519185088929094,0.004311726816930418
europarl,0.017041085540635426,-0.0005438533670889226,0.005474175466682549,0.005031440672957765,0.01466759374655663,-0.0011866635635260638,0.000693447444412229,-0.006308839010987034,0.002148324626432195,-0.06208018547163062,0.00016360373391797827,0.01795543707417498,0.005815925577005234
hackernews,0.0033199247476838507,-0.0003579362385103026,-0.002569443285027371,-0.0005879464632488623,-0.02555978075096682,-0.011193155128729298,-0.019255409291756734,-0.024053174198390904,-0.013792908589551999,-0.020126863726762208,-0.16784848459146173,0.00854975596140747,0.003027872786858846
pubmed_abstracts,-0.007985162152672145,-0.00042779706788138465,-0.07757892218682924,-0.006049115181321798,0.0033113778937181437,0.0030862100259523065,0.005633544151059074,0.002637276369993413,-0.0037615928613126746,0.008939900131702806,-0.0008708910679044438,-0.19514932143860791,-0.029112404935435286
uspto_backgrounds,0.0004957895037275624,-0.0028958890486482608,-0.023170637848269476,-0.0029483233371830637,-0.011727455149240723,-0.0030239700393438814,-0.0002800718384593868,0.0016609097518884397,-0.0022447284794739524,-0.0020048415195224804,0.00272905588072276,-0.03426757836249354,-0.2141847585722579
