方案,样本Spearman,域均值Spearman,最大域均值变化
教育价值权重×0.8,0.9997706111784435,1.0,0.006524547168112571
教育价值权重×1.2,0.9997815363601915,1.0,0.0064387427188248025
流畅度权重×0.8,0.9998326365689011,1.0,0.0031712169821241643
流畅度权重×1.2,0.9998408812351769,1.0,0.0031322930489417755
干净度权重×0.8,0.9999303806183588,1.0,0.00519482462076315
干净度权重×1.2,0.9999331226301091,1.0,0.0051318165282646655
可读性权重×0.8,0.9999060119192075,1.0,0.004506398307591253
可读性权重×1.2,0.9999094454621075,1.0,0.004464898427597508
推理性权重×0.8,0.9999046111099045,1.0,0.008967697578895012
推理性权重×1.2,0.999908370437493,1.0,0.00888756969926735
专业性权重×0.8,0.9995645416710718,1.0,0.014956244370490313
专业性权重×1.2,0.9995748017811685,1.0,0.014728015224930668
DSIR书籍权重×0.8,0.999961102356209,1.0,0.008419417449570477
DSIR书籍权重×1.2,0.9999623541888923,1.0,0.008374049314243015
DSIR维基权重×0.8,0.9999612269895366,1.0,0.00827518198028987
DSIR维基权重×1.2,0.9999624278983175,1.0,0.008230593265657116
DSIR数学权重×0.8,0.9999646302454525,1.0,0.008042089476561542
DSIR数学权重×1.2,0.9999657561190887,1.0,0.007999806149795008
QuRating权重×0.8,0.9999204354260504,1.0,0.007533370950994517
QuRating权重×1.2,0.9999241968513707,1.0,0.007465260922572076
一元词熵权重×0.8,0.9999382892835887,1.0,0.009568920397496905
一元词熵权重×1.2,0.999940322039052,1.0,0.00950665662973521
独特词占比(长度校正)权重×0.8,0.9993666482120841,1.0,0.01788977697439731
独特词占比(长度校正)权重×1.2,0.9993994574894514,1.0,0.017335769967313786
行末标点(域内校准)权重×0.8,0.9993642931011846,1.0,0.005279364023539679
行末标点(域内校准)权重×1.2,0.9994058563573063,1.0,0.005064196065298843
广告概率权重×0.8,0.9989958058567793,1.0,0.011628416494362725
广告概率权重×1.2,0.9990227388249862,1.0,0.011189535911405351
非字母词(域内校准)权重×0.8,0.9993232800042279,1.0,0.004598514336273868
非字母词(域内校准)权重×1.2,0.9993731219041858,1.0,0.004432273007902082
高频2gram占比权重×0.8,0.9995430021006756,1.0,0.014407357629886264
高频2gram占比权重×1.2,0.9995686727966278,1.0,0.014125255032022499
高频3gram占比权重×0.8,0.9994608151183525,1.0,0.012742498402416869
高频3gram占比权重×1.2,0.9994855261511933,1.0,0.012454773012012477
大写字母占比权重×0.8,0.9993648493774545,1.0,0.022058602635299573
大写字母占比权重×1.2,0.9993898529700685,1.0,0.02139666375039434
数字字符占比权重×0.8,0.9991787558864959,1.0,0.0161478977889431
数字字符占比权重×1.2,0.9992181209833596,1.0,0.015617012118041562
词数权重×0.8,0.9999223041211994,1.0,0.005454315543894528
词数权重×1.2,0.9999272772561557,1.0,0.005317433247931602
句子数权重×0.8,0.9996208075672192,1.0,0.05545545130020191
句子数权重×1.2,0.9996415072763729,1.0,0.052858965300299154
平均词长权重×0.8,0.9999027595863644,1.0,0.00413954828020785
平均词长权重×1.2,0.9999100251936317,1.0,0.004074526856961358
相关性去冗余权重（主方案）,1.0,1.0,1.4016565685892601e-15
去冗余强度alpha=0.5,0.9843784875050613,0.9642857142857145,0.1933342684198292
去冗余强度alpha=1.5,0.9833355092244023,1.0,0.15483122587791248
去冗余强度alpha=2.0,0.940493386781918,1.0,0.27801269829221104
22指标等权（仅对照）,0.9465460197665835,0.7857142857142859,0.427192544930611
