pair_id,domain,sampling,left_id,right_id,abs_preference,square_preference
P027,github,disagreement,BkiUgAzxK19JmejNAIuP,BkiUbvc25V5hZMvJnsyd,L,R
P021,commoncrawl,disagreement,BkiUauTxK1UJ-2RwUXYE,BkiUba7xaL3SuiVmgqnM,L,R
P008,book,disagreement,BkiUc7k5qhDAClUdRU4I,BkiUdn45qU2Ap2aRyEUz,R,L
P014,c4,disagreement,BkiUdXg25V5instYDuHY,BkiUf4A5qhDCgmFdhqdd,L,R
P038,wikipedia,disagreement,BkiUdwA4eIZjxkFh14cc,BkiUdP85qhDBMCD_RCAS,L,R
P005,arxiv,random,BkiUbGE5qU2Aps3F5kY0,BkiUdZM5qsBC6uknBrxC,L,L
P037,wikipedia,disagreement,BkiUdp45qoYAuyWAVidC,BkiUdIs5qhLBCSMaNI9H,R,L
P003,arxiv,disagreement,BkiUc5c5qoYDgaG4Q5Z4,BkiUdbjxK4sA-9F9krDi,R,L
P018,c4,random,BkiUdPE5qX_Bw5o9Hx-F,BkiUaNTxK1ThhBMLdg4q,L,L
P026,github,disagreement,BkiUbdvxK4tBVhat2TvQ,BkiUfqTxaKgTslQmVnS9,R,L
P015,c4,disagreement,BkiUebPxK7FjYEB4WjQf,BkiUawTxK3YB9i3RIVjd,L,R
P035,stackexchange,random,BkiUdOs4uzlhge3-FHIx,BkiUbXo5i7PA9IjcI2DY,L,L
P022,commoncrawl,random,BkiUanfxK0iCl7DT6Dyr,BkiUdQM4eIXgu4C77Bdz,R,R
P016,c4,random,BkiUfWc5qhDCoPRSOIaD,BkiUcVDxK7ICUn2IZLK8,R,R
P024,commoncrawl,random,BkiUbYI5qsMAIvuccMqZ,BkiUcKjxK1fBGwCLLpB3,L,L
P009,book,disagreement,BkiUbufxK3YB9raXyrr2,BkiUa-HxK1UJ-2RwUnYM,R,L
P017,c4,random,BkiUbPA5qsNCPbQZ6Hg3,BkiUd-45qoTDtv38wGox,L,L
P010,book,random,BkiUfPPxK7FjYCv2TzoR,BkiUc1bxaKPQokFdbs8_,L,L
P007,book,disagreement,BkiUdW84eIXh8AOmAlkO,BkiUbdDxK0wg09KOVXDi,L,R
P020,commoncrawl,disagreement,BkiUdE025V5hc_OxxJ3L,BkiUeKY4ubnhDOA8sgiG,L,R
P006,arxiv,random,BkiUb4I5qsNCPe9kH5EP,BkiUbvXxK03BfNelVr3V,R,R
P012,book,random,BkiUdi45qYVBcTolxbn9,BkiUcE7xK7Tt6CA5F9h9,L,L
P004,arxiv,random,BkiUfpo5qhDCnXuZvcNm,BkiUdX3xK6wB9k0iLt8X,L,L
P040,wikipedia,random,BkiUdtE4eIXhzes6oupG,BkiUdOU4eIZjsHxU-w4t,R,R
P039,wikipedia,disagreement,BkiUdNs5qX_Bb_jQWhZ6,BkiUfxvxK0zjCobCQ3ed,R,L
P019,commoncrawl,disagreement,BkiUbN05qoaAwnMw7tSp,BkiUaaLxK0wg09KOUZ3o,R,L
P013,c4,disagreement,BkiUdE85qhLACG6g-_ej,BkiUdk8241xg-Kn-AIdy,L,R
P031,stackexchange,disagreement,BkiUdxY5qrqCyqr5hZZb,BkiUdGI5qoYDgc3N6VG9,L,R
P032,stackexchange,disagreement,BkiUdwDxK0flNeFb42SA,BkiUczA5qoTAlg17gcnO,L,R
P036,stackexchange,random,BkiUbAg5i7PA9L16ZZY6,BkiUdenxK2li-LM1Rzy9,R,R
P033,stackexchange,disagreement,BkiUaN3xK02iP5rWICrk,BkiUdGjxK6wB9mpb186Q,L,R
P011,book,random,BkiUffE4eIZjf-0DqlHX,BkiUdK85qdmDCTsM6BU_,R,R
P025,github,disagreement,BkiUbcbxK7ICUmfbyd5W,BkiUbgk5ixsDL_dM-4VT,R,L
P001,arxiv,disagreement,BkiUbk3xK03BfHDu3Ckt,BkiUauTxK2li-F6JwhZE,L,R
P042,wikipedia,random,BkiUbIXxK6EuNArbAN1r,BkiUbvnxK7DgtAWezPVh,R,R
P030,github,random,BkiUfDA5qhLBvqGZ262W,BkiUcH3xK0wg0_749nGz,L,L
P034,stackexchange,random,BkiUfVfxK7ICUyBu1SNK,BkiUfcrxaKgQWziNcYFt,L,L
P028,github,random,BkiUd0w25V5hcGj051br,BkiUeG05jDKDyJ94XpuY,L,L
P041,wikipedia,random,BkiUcYjxK1Thg9qFcnb4,BkiUbT85qdmB61-1YZkU,R,R
P002,arxiv,disagreement,BkiUdTA4uBhivVgojJ1E,BkiUdfTxK6Ot9UjEBlvA,R,L
P023,commoncrawl,random,BkiUdpE5qWTBIJYAsy-i,BkiUc185qoaAwj4XNnql,R,R
P029,github,random,BkiUeYnxK7IAB1deVc8F,BkiUdPc5qhDACrLp7tIC,L,L
