replicate,power,set,n,weight_L1,rho,top10_overlap,bottom10_overlap,mean_abs_rank_shift
0,1,A1,10247,0.00439639367245653,0.9999932754538682,0.9970731707317073,0.9960975609756098,0.0007875162418677329
0,1,A2,16104,0.00439639367245653,0.9999927654382065,0.9975170701427685,0.9981378026070763,0.0007843330325067883
0,1,A3,193752,0.00439639367245653,0.9999937036043609,0.9978323699421965,0.9976259289843105,0.0007631940867337858
0,2,A1,10247,0.004250037282920491,0.9999928603956044,0.9980487804878049,0.9990243902439024,0.0007910019226577146
0,2,A2,16104,0.004250037282920491,0.9999910382039042,0.9975170701427685,0.9981378026070763,0.0008662490384779114
0,2,A3,193752,0.004250037282920491,0.9999930794990134,0.9979872006606111,0.997883980181668,0.0007765699570994072
1,1,A1,10247,0.0055627421337612025,0.9999887858205476,0.9980487804878049,0.9921951219512195,0.0009915142815437137
1,1,A2,16104,0.0055627421337612025,0.9999727292255008,0.9931719428926132,0.994413407821229,0.0015657278237901726
1,1,A3,193752,0.0055627421337612025,0.9999832811985992,0.9970066061106524,0.9960260115606936,0.001215520285487062
1,2,A1,10247,0.0039316968204231376,0.9999962303586521,0.9980487804878049,0.9980487804878049,0.0005720897405852548
1,2,A2,16104,0.0039316968204231376,0.9999919819054864,0.9981378026070763,0.9981378026070763,0.0008412701321193662
1,2,A3,193752,0.0039316968204231376,0.9999937371874729,0.9978323699421965,0.9975743187448389,0.0007580508039484133
2,1,A1,10247,0.007283178157694175,0.9999778014371578,0.9941463414634146,0.9931707317073171,0.001412195953278887
2,1,A2,16104,0.007283178157694175,0.9999447649931537,0.9900682805710739,0.9919304779639975,0.0021845784936413066
2,1,A3,193752,0.007283178157694175,0.9999673222601259,0.9957163501238646,0.9955099091659785,0.0017065890600398482
2,2,A1,10247,0.0064603517017207054,0.9999874730363735,0.9960975609756098,0.9980487804878049,0.0010421423664604976
2,2,A2,16104,0.0064603517017207054,0.9999715084723575,0.9962756052141527,0.9962756052141527,0.0015223945496843788
2,2,A3,193752,0.0064603517017207054,0.9999832913013381,0.9967485549132948,0.9963872832369942,0.0012089629315833919
3,1,A1,10247,0.00562455527381631,0.9999909092592937,0.9970731707317073,0.9931707317073171,0.0009044674989742242
3,1,A2,16104,0.00562455527381631,0.9999683428329431,0.9931719428926132,0.9950341402855369,0.0016669544754920143
3,1,A3,193752,0.00562455527381631,0.999985580990007,0.9972130470685384,0.9961292320396367,0.0011472355999253077
3,2,A1,10247,0.004006875321906796,0.9999963960027564,0.9980487804878049,0.9990243902439024,0.0005599565238463566
3,2,A2,16104,0.004006875321906796,0.9999847825645226,0.9956548727498448,0.9968963376784605,0.0011469706100609327
3,2,A3,193752,0.004006875321906796,0.9999929230554196,0.9983484723369116,0.9973162675474814,0.0008099959941691281
4,1,A1,10247,0.006865154214613374,0.9999805309624605,0.9970731707317073,0.9912195121951219,0.001284863843546494
4,1,A2,16104,0.006865154214613374,0.9999743708212958,0.9937926753569212,0.9937926753569212,0.0014674933967462858
4,1,A3,193752,0.006865154214613374,0.9999504242312032,0.9958711808422791,0.9927745664739884,0.0021016182606436035
4,2,A1,10247,0.007147730163159689,0.9999767897166078,0.9960975609756098,0.9951219512195122,0.001353339376005425
4,2,A2,16104,0.007147730163159689,0.9999812291885424,0.9975170701427685,0.9981378026070763,0.0012352489493898204
4,2,A3,193752,0.007147730163159689,0.9999348381524307,0.9952518579686209,0.9920520231213873,0.002422017409913187
5,1,A1,10247,0.005031836134570703,0.9999923259892695,0.9980487804878049,0.9970731707317073,0.0008025446688802771
5,1,A2,16104,0.005031836134570703,0.9999614615425624,0.9937926753569212,0.9931719428926132,0.001840094773934651
5,1,A3,193752,0.005031836134570703,0.9999869477778147,0.9983484723369116,0.9958711808422791,0.0010336147564801138
5,2,A1,10247,0.0036719147995128223,0.9999971898051708,0.9980487804878049,0.9990243902439024,0.0004963190401341762
5,2,A2,16104,0.0036719147995128223,0.9999894695322935,0.9975170701427685,0.9968963376784605,0.0009498616666777719
5,2,A3,193752,0.0036719147995128223,0.9999954001545789,0.9983484723369116,0.9975743187448389,0.0006422961206859464
6,1,A1,10247,0.007189585085962104,0.9999835758048999,0.9960975609756098,0.9951219512195122,0.001228312006030342
6,1,A2,16104,0.007189585085962104,0.9999683783554685,0.9968963376784605,0.9925512104283054,0.0016922110109425347
6,1,A3,193752,0.007189585085962104,0.9999740137887744,0.9966969446738233,0.9948389760528489,0.001579683289616831
6,2,A1,10247,0.005539103584282702,0.9999912488676268,0.9941463414634146,0.9990243902439024,0.0008957818681532861
6,2,A2,16104,0.005539103584282702,0.9999827186606963,0.9968963376784605,0.9962756052141527,0.0012610838787819561
6,2,A3,193752,0.005539103584282702,0.9999908920178764,0.9978323699421965,0.9970582163501238,0.0009096241824797858
7,1,A1,10247,0.008098795248639167,0.9999778427143481,0.9960975609756098,0.9960975609756098,0.0014219291930804207
7,1,A2,16104,0.008098795248639167,0.9998876997444397,0.9888268156424581,0.9906890130353817,0.0031842900061670675
7,1,A3,193752,0.008098795248639167,0.9999642795240682,0.995148637489678,0.9941164327002477,0.0017935716422007877
7,2,A1,10247,0.007411344597560002,0.9999811851072217,0.9960975609756098,0.9990243902439024,0.0012999875077390924
7,2,A2,16104,0.007411344597560002,0.9999363430630117,0.994413407821229,0.9937926753569212,0.002385805601888766
7,2,A3,193752,0.007411344597560002,0.9999728508071677,0.9952002477291495,0.9947357555739058,0.0015558803096517527
8,1,A1,10247,0.005552300711975735,0.9999898815899776,0.9980487804878049,0.9970731707317073,0.000958695549297055
8,1,A2,16104,0.005552300711975735,0.9999636213885259,0.9925512104283054,0.994413407821229,0.001780049770875795
8,1,A3,193752,0.005552300711975735,0.999971344715126,0.9964905037159373,0.9947357555739058,0.0015918337417851814
8,2,A1,10247,0.004387454441426179,0.999993326133023,0.9970731707317073,0.9960975609756098,0.0007812686828561809
8,2,A2,16104,0.004387454441426179,0.9999832731689527,0.9962756052141527,0.9981378026070763,0.0012244908220757822
8,2,A3,193752,0.004387454441426179,0.9999842853469165,0.9968517753922378,0.9962324525185797,0.001189996946450288
9,1,A1,10247,0.005909292077384314,0.999986427433061,0.9970731707317073,0.9970731707317073,0.00113477004778116
9,1,A2,16104,0.005909292077384314,0.9999584149494372,0.9925512104283054,0.994413407821229,0.001893854562827957
9,1,A3,193752,0.005909292077384314,0.9999814661758903,0.9970066061106524,0.9954066886870355,0.0012768434598283125
9,2,A1,10247,0.005009589693960651,0.9999890624702918,0.9951219512195122,0.9990243902439024,0.0010009237149330632
9,2,A2,16104,0.005009589693960651,0.9999772002882656,0.9975170701427685,0.9968963376784605,0.0013863023111819867
9,2,A3,193752,0.005009589693960651,0.9999887700865577,0.9973162675474814,0.9961808422791082,0.0009922694523126511
10,1,A1,10247,0.005810205503835965,0.9999812128223844,0.9970731707317073,0.9921951219512195,0.0013240063245487479
10,1,A2,16104,0.005810205503835965,0.9999805279728026,0.9975170701427685,0.9975170701427685,0.0012861707520096027
10,1,A3,193752,0.005810205503835965,0.9999555983585904,0.9950454170107349,0.993135838150289,0.002090212457409789
10,2,A1,10247,0.005808030016677609,0.9999845518916692,0.9970731707317073,0.9941463414634146,0.0011816838826758322
10,2,A2,16104,0.005808030016677609,0.9999842418107211,0.9968963376784605,0.9981378026070763,0.0011788593960419718
10,2,A3,193752,0.005808030016677609,0.9999689669647529,0.9954066886870355,0.9945293146160198,0.001742293902924615
11,1,A1,10247,0.0044140825381836675,0.9999897126892028,0.9990243902439024,0.9980487804878049,0.000980981049429725
11,1,A2,16104,0.0044140825381836675,0.9999869105542828,0.9962756052141527,0.9968963376784605,0.001052862059800566
11,1,A3,193752,0.0044140825381836675,0.9999855495914688,0.997471098265896,0.9961808422791082,0.0011777156998958543
