,,abs_score,abs_score,square_score,square_score
,,mean,count,mean,count
set,domain,,,,
A1,arxiv,0.26518582649940575,1419,0.22887662142249082,1419
A1,book,-0.33494961396064454,171,-0.4208437198419148,171
A1,c4,-0.01400772885817912,10000,-0.020983165889460916,10000
A1,commoncrawl,0.10144170327071865,9640,0.07280859552019502,9640
A1,github,-0.380617276194247,10000,-0.3393860294932432,10000
A1,stackexchange,-0.07368738437573674,10000,-0.07260158627902254,10000
A1,wikipedia,-0.1986351754974375,10000,-0.20577950344100326,10000
A2,arxiv,0.2595841614693534,17523,0.22257365041372437,17523
A3,github,-0.38584605287867746,203752,-0.3444984288722764,203752
