branch,kind,fold,n,RMSE
quality,none,0,90,0.1941003859479172
quality,none,1,90,0.19885868017897088
quality,none,2,90,0.20419789484028333
quality,none,3,90,0.20496178101579446
quality,none,4,90,0.23228115022232038
quality,parameter,0,90,0.06529389348074645
quality,parameter,1,90,0.06811408018602207
quality,parameter,2,90,0.06785144324780865
quality,parameter,3,90,0.07683756646572548
quality,parameter,4,90,0.08815650427499237
quality,data,0,90,0.11522793129874491
quality,data,1,90,0.10382848596691596
quality,data,2,90,0.09375986559368449
quality,data,3,90,0.06889266312711496
quality,data,4,90,0.1923140593786721
quality,common,0,90,0.058224122427029214
quality,common,1,90,0.05531573639010202
quality,common,2,90,0.052972370128970686
quality,common,3,90,0.05361724474098975
quality,common,4,90,0.0850241068685626
mixture,none,0,116,0.21663687552457556
mixture,none,1,115,0.20192057453572693
mixture,none,2,115,0.23617690933876154
mixture,none,3,115,0.24718819785855745
mixture,none,4,115,0.2771336096031888
mixture,parameter,0,116,0.11343679844627343
mixture,parameter,1,115,0.10919373441216303
mixture,parameter,2,115,0.12392787935399592
mixture,parameter,3,115,0.12461968535860006
mixture,parameter,4,115,0.14971980524233552
mixture,data,0,116,0.08578916296856302
mixture,data,1,115,0.08944184858069004
mixture,data,2,115,0.0975719433675222
mixture,data,3,115,0.09336888461712911
mixture,data,4,115,0.11087785388938344
mixture,common,0,116,0.08484787837635646
mixture,common,1,115,0.08527021088955451
mixture,common,2,115,0.09490379455693351
mixture,common,3,115,0.0910327708535421
mixture,common,4,115,0.11433340133775219
