alpha,nu,objective
0.335,0.275,0.00020522389051613103
0.335,0.27525,0.00019081230421996414
0.335,0.2755,0.00017715803932277622
0.335,0.27575,0.00016426091222314896
0.335,0.276,0.00015212073803735785
0.335,0.27625,0.00014073733060028702
0.335,0.2765,0.0001301105024661545
0.335,0.27675,0.00012024006490940492
0.335,0.277,0.00011112582792555212
0.335,0.27725,0.00010276760023196405
0.335,0.2775,9.516518926875171e-05
0.335,0.27775,8.831840119960029e-05
0.335,0.278,8.222704091264508e-05
0.335,0.27825,7.689091202130341e-05
0.335,0.2785,7.230981686519132e-05
0.335,0.27875,6.848355651093616e-05
0.335,0.279,6.541193075311424e-05
0.335,0.27925,6.309473811508787e-05
0.335,0.2795,6.153177584989985e-05
0.335,0.27975,6.0722839941257395e-05
0.335,0.2798924654965345,6.05990572609221e-05
0.335,0.28,6.066772510422446e-05
0.335,0.28025,6.136622478637884e-05
0.335,0.28049999999999997,6.281813116857072e-05
0.335,0.28075,6.502323516583052e-05
0.335,0.28099999999999997,6.798132642838421e-05
0.335,0.28125,7.16921933425044e-05
0.335,0.2815,7.615562303145724e-05
0.335,0.28175,8.137140135649106e-05
0.335,0.282,8.7339312917678e-05
0.335,0.28225,9.405914105495118e-05
0.335,0.2825,0.00010153066784904699
0.335,0.28275,0.00010975367412243023
0.335,0.283,0.00011872793944027907
0.335,0.28325,0.0001284532421114121
0.335,0.2835,0.000138929359189365
0.335,0.28375,0.0001501560664732768
0.335,0.284,0.0001621331385088852
0.335,0.28425,0.0001748603485895889
0.335,0.2845,0.00018833746875733702
0.335,0.28474999999999995,0.0002025642698037295
0.335,0.285,0.00021754052127094533
0.33525,0.275,0.00019945437203897401
0.33525,0.27525,0.00018504290790273217
0.33525,0.2755,0.0001713887651896696
0.33525,0.27575,0.0001584917602982022
0.33525,0.276,0.00014635170834443985
0.33525,0.27625,0.0001349684231630584
0.33525,0.2765,0.00012434171730813645
0.33525,0.27675,0.00011447140205394302
0.33525,0.277,0.00010535728739578195
0.33525,0.27725,9.699918205086376e-05
0.33525,0.2775,8.93968934591024e-05
0.33525,0.27775,8.255022778402946e-05
0.33525,0.278,7.645898991359595e-05
0.33525,0.27825,7.11229834610378e-05
0.33525,0.2785,6.654201076580632e-05
0.33525,0.27875,6.271587289433311e-05
0.33525,0.279,5.964436964104212e-05
0.33525,0.27925,5.732729952908939e-05
0.33525,0.2795,5.576445981138056e-05
0.33525,0.27975,5.495564647138989e-05
0.33525,0.2798924654965345,5.4831933647720257e-05
0.33525,0.28,5.490065422407507e-05
0.33525,0.28025,5.559927651678868e-05
0.33525,0.28049999999999997,5.705130553020538e-05
0.33525,0.28075,5.9256532179201216e-05
0.33525,0.28099999999999997,6.221474611381037e-05
