delta_u,s_Q,parameter_multiplier,critical_delta_u,N_B,D_B
0.0,0.5,1.0,0.5823545854020288,7.0,140.0
0.001,0.5,1.0063311412224523,0.5823545854020288,7.0,140.0
0.002,0.5,1.012711024587572,0.5823545854020288,7.0,140.0
0.003,0.5,1.0191400991383694,0.5823545854020288,7.0,140.0
0.004,0.5,1.0256188187748687,0.5823545854020288,7.0,140.0
0.005,0.5,1.0321476423146991,0.5823545854020288,7.0,140.0
0.006,0.5,1.038727033554536,0.5823545854020288,7.0,140.0
0.007,0.5,1.0453574613324261,0.5823545854020288,7.0,140.0
0.008,0.5,1.0520393995909876,0.5823545854020288,7.0,140.0
0.009000000000000001,0.5,1.058773327441512,0.5823545854020288,7.0,140.0
0.01,0.5,1.0655597292289907,0.5823545854020288,7.0,140.0
0.011,0.5,1.0723990945980535,0.5823545854020288,7.0,140.0
0.012,0.5,1.0792919185598642,0.5823545854020288,7.0,140.0
0.013000000000000001,0.5,1.086238701559974,0.5823545854020288,7.0,140.0
0.014,0.5,1.093239949547138,0.5823545854020288,7.0,140.0
0.015,0.5,1.1002961740431387,0.5823545854020288,7.0,140.0
0.016,0.5,1.1074078922136013,0.5823545854020288,7.0,140.0
0.017,0.5,1.114575626939837,0.5823545854020288,7.0,140.0
0.018000000000000002,0.5,1.1217999068917293,0.5823545854020288,7.0,140.0
0.019,0.5,1.1290812666016672,0.5823545854020288,7.0,140.0
0.02,0.5,1.1364202465395563,0.5823545854020288,7.0,140.0
0.021,0.5,1.143817393188924,0.5823545854020288,7.0,140.0
0.022,0.5,1.1512732591241215,0.5823545854020288,7.0,140.0
0.023,0.5,1.158788403088664,0.5823545854020288,7.0,140.0
0.024,0.5,1.1663633900747095,0.5823545854020288,7.0,140.0
0.025,0.5,1.1739987914037,0.5823545854020288,7.0,140.0
0.026000000000000002,0.5,1.1816951848081885,0.5823545854020288,7.0,140.0
0.027,0.5,1.1894531545148672,0.5823545854020288,7.0,140.0
0.028,0.5,1.1972732913288135,0.5823545854020288,7.0,140.0
0.029,0.5,1.2051561927189844,0.5823545854020288,7.0,140.0
0.03,0.5,1.2131024629049665,0.5823545854020288,7.0,140.0
0.031,0.5,1.2211127129450154,0.5823545854020288,7.0,140.0
0.032,0.5,1.2291875608253944,0.5823545854020288,7.0,140.0
0.033,0.5,1.2373276315510442,0.5823545854020288,7.0,140.0
0.034,0.5,1.2455335572375976,0.5823545854020288,7.0,140.0
0.035,0.5,1.2538059772047623,0.5823545854020288,7.0,140.0
0.036000000000000004,0.5,1.2621455380711089,0.5823545854020288,7.0,140.0
0.037,0.5,1.2705528938502622,0.5823545854020288,7.0,140.0
0.038,0.5,1.2790287060485386,0.5823545854020288,7.0,140.0
0.039,0.5,1.2875736437640557,0.5823545854020288,7.0,140.0
0.04,0.5,1.2961883837873198,0.5823545854020288,7.0,140.0
0.041,0.5,1.3048736107033307,0.5823545854020288,7.0,140.0
0.042,0.5,1.3136300169952386,0.5823545854020288,7.0,140.0
0.043000000000000003,0.5,1.3224583031495525,0.5823545854020288,7.0,140.0
0.044,0.5,1.3313591777629468,0.5823545854020288,7.0,140.0
0.045,0.5,1.3403333576506933,0.5823545854020288,7.0,140.0
0.046,0.5,1.3493815679567325,0.5823545854020288,7.0,140.0
0.047,0.5,1.3585045422654247,0.5823545854020288,7.0,140.0
0.048,0.5,1.3677030227150107,0.5823545854020288,7.0,140.0
0.049,0.5,1.376977760112792,0.5823545854020288,7.0,140.0
0.05,0.5,1.3863295140520877,0.5823545854020288,7.0,140.0
0.051000000000000004,0.5,1.3957590530309807,0.5823545854020288,7.0,140.0
0.052000000000000005,0.5,1.4052671545728854,0.5823545854020288,7.0,140.0
0.053,0.5,1.4148546053489726,0.5823545854020288,7.0,140.0
0.054,0.5,1.4245222013024854,0.5823545854020288,7.0,140.0
0.055,0.5,1.4342707477749717,0.5823545854020288,7.0,140.0
0.056,0.5,1.444101059634471,0.5823545854020288,7.0,140.0
0.057,0.5,1.454013961405691,0.5823545854020288,7.0,140.0
0.058,0.5,1.4640102874022052,0.5823545854020288,7.0,140.0
0.059000000000000004,0.5,1.4740908818607088,0.5823545854020288,7.0,140.0
0.06,0.5,1.4842565990773644,0.5823545854020288,7.0,140.0
0.061,0.5,1.4945083035462834,0.5823545854020288,7.0,140.0
0.062,0.5,1.5048468701001745,0.5823545854020288,7.0,140.0
0.063,0.5,1.5152731840531888,0.5823545854020288,7.0,140.0
0.064,0.5,1.5257881413460221,0.5823545854020288,7.0,140.0
0.065,0.5,1.5363926486932904,0.5823545854020288,7.0,140.0
0.066,0.5,1.5470876237332358,0.5823545854020288,7.0,140.0
0.067,0.5,1.5578739951798002,0.5823545854020288,7.0,140.0
0.068,0.5,1.5687527029770936,0.5823545854020288,7.0,140.0
0.069,0.5,1.5797246984563278,0.5823545854020288,7.0,140.0
0.07,0.5,1.5907909444952306,0.5823545854020288,7.0,140.0
0.07100000000000001,0.5,1.6019524156800142,0.5823545854020288,7.0,140.0
0.07200000000000001,0.5,1.6132100984699076,0.5823545854020288,7.0,140.0
0.073,0.5,1.6245649913643319,0.5823545854020288,7.0,140.0
0.074,0.5,1.6360181050727474,0.5823545854020288,7.0,140.0
0.075,0.5,1.6475704626872347,0.5823545854020288,7.0,140.0
0.076,0.5,1.6592230998578301,0.5823545854020288,7.0,140.0
0.077,0.5,1.6709770649707074,0.5823545854020288,7.0,140.0
0.078,0.5,1.6828334193292176,0.5823545854020288,7.0,140.0
0.079,0.5,1.6947932373378711,0.5823545854020288,7.0,140.0
0.08,0.5,1.7068576066892867,0.5823545854020288,7.0,140.0
0.081,0.5,1.7190276285541788,0.5823545854020288,7.0,140.0
0.082,0.5,1.7313044177744406,0.5823545854020288,7.0,140.0
0.083,0.5,1.7436891030593678,0.5823545854020288,7.0,140.0
0.084,0.5,1.7561828271850852,0.5823545854020288,7.0,140.0
0.085,0.5,1.76878674719724,0.5823545854020288,7.0,140.0
0.08600000000000001,0.5,1.7815020346170187,0.5823545854020288,7.0,140.0
0.08700000000000001,0.5,1.7943298756505346,0.5823545854020288,7.0,140.0
0.088,0.5,1.8072714714016789,0.5823545854020288,7.0,140.0
0.089,0.5,1.8203280380884723,0.5823545854020288,7.0,140.0
0.09,0.5,1.8335008072629897,0.5823545854020288,7.0,140.0
0.091,0.5,1.8467910260349234,0.5823545854020288,7.0,140.0
0.092,0.5,1.860199957298873,0.5823545854020288,7.0,140.0
0.093,0.5,1.8737288799653824,0.5823545854020288,7.0,140.0
0.094,0.5,1.887379089195853,0.5823545854020288,7.0,140.0
0.095,0.5,1.9011518966413599,0.5823545854020288,7.0,140.0
0.096,0.5,1.915048630685471,0.5823545854020288,7.0,140.0
0.097,0.5,1.9290706366911232,0.5823545854020288,7.0,140.0
0.098,0.5,1.9432192772516537,0.5823545854020288,7.0,140.0
0.099,0.5,1.9574959324460524,0.5823545854020288,7.0,140.0
0.1,0.5,1.9719020000985177,0.5823545854020288,7.0,140.0
0.101,0.5,1.9864388960423873,0.5823545854020288,7.0,140.0
0.10200000000000001,0.5,2.0011080543885424,0.5823545854020288,7.0,140.0
0.10300000000000001,0.5,2.015910927798379,0.5823545854020288,7.0,140.0
0.10400000000000001,0.5,2.030848987761385,0.5823545854020288,7.0,140.0
