域i,域k,补偿域,delta,问题一条件交互,广义条件交互_情景,解释
arxiv,freelaw,pile_cc,0.001,3.3853048559961962e-06,4.1036744580225104e-07,次加性收益
arxiv,nih_exporter,pile_cc,0.001,3.3853048559961962e-06,4.0873528650564594e-07,次加性收益
arxiv,pubmed_central,pile_cc,0.001,3.3853048559961962e-06,4.101689436986078e-07,次加性收益
arxiv,wikipedia_en,pile_cc,0.001,3.3853048559961962e-06,4.099271486701639e-07,次加性收益
arxiv,dm_mathematics,pile_cc,0.001,3.3853048559961962e-06,4.0286303049086314e-07,次加性收益
arxiv,github,pile_cc,0.001,3.3853048559961962e-06,4.103566282331883e-07,次加性收益
arxiv,philpapers,pile_cc,0.001,3.385304855108018e-06,4.0686033964121293e-07,次加性收益
arxiv,stackexchange,pile_cc,0.001,3.3853048559961962e-06,4.092089156415568e-07,次加性收益
arxiv,enron_emails,pile_cc,0.001,3.3853048559961962e-06,4.0171589965609655e-07,次加性收益
arxiv,gutenberg_pg_19,pile_cc,0.001,3.385304855108018e-06,4.1032357378512074e-07,次加性收益
arxiv,ubuntu_irc,pile_cc,0.001,3.385304855108018e-06,4.0220815078484407e-07,次加性收益
arxiv,europarl,pile_cc,0.001,3.3853048559961962e-06,4.1154514507368845e-07,次加性收益
arxiv,hackernews,pile_cc,0.001,3.3853048559961962e-06,4.048539601342327e-07,次加性收益
arxiv,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.1013660156963283e-07,次加性收益
arxiv,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.1033441267046555e-07,次加性收益
freelaw,nih_exporter,pile_cc,0.001,3.3853048568843747e-06,4.0889333652316395e-07,次加性收益
freelaw,pubmed_central,pile_cc,0.001,3.3853048559961962e-06,4.1012315277200173e-07,次加性收益
freelaw,wikipedia_en,pile_cc,0.001,3.3853048559961962e-06,4.0991573646564916e-07,次加性收益
freelaw,dm_mathematics,pile_cc,0.001,3.3853048568843747e-06,4.0385601218773104e-07,次加性收益
freelaw,github,pile_cc,0.001,3.3853048559961962e-06,4.1028415154187314e-07,次加性收益
freelaw,philpapers,pile_cc,0.001,3.385304855108018e-06,4.0728497374686867e-07,次加性收益
freelaw,stackexchange,pile_cc,0.001,3.3853048568843747e-06,4.0929962352720395e-07,次加性收益
freelaw,enron_emails,pile_cc,0.001,3.3853048559961962e-06,4.028719828852445e-07,次加性收益
freelaw,gutenberg_pg_19,pile_cc,0.001,3.385304855108018e-06,4.1025579688991343e-07,次加性收益
freelaw,ubuntu_irc,pile_cc,0.001,3.385304855108018e-06,4.03294244222252e-07,次加性收益
freelaw,europarl,pile_cc,0.001,3.3853048559961962e-06,4.113036826680627e-07,次加性收益
freelaw,hackernews,pile_cc,0.001,3.3853048559961962e-06,4.055638664901551e-07,次加性收益
freelaw,pubmed_abstracts,pile_cc,0.001,3.3853048568843747e-06,4.1009540918679477e-07,次加性收益
freelaw,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.1026509522978927e-07,次加性收益
nih_exporter,pubmed_central,pile_cc,0.001,3.3853048568843747e-06,4.0925694699822657e-07,次加性收益
nih_exporter,wikipedia_en,pile_cc,0.001,3.3853048559961962e-06,4.0969985981575974e-07,次加性收益
nih_exporter,dm_mathematics,pile_cc,0.001,3.3853048568843747e-06,4.2263971344880247e-07,次加性收益
nih_exporter,github,pile_cc,0.001,3.3853048559961962e-06,4.0891315178370746e-07,次加性收益
nih_exporter,philpapers,pile_cc,0.001,3.3853048559961962e-06,4.153175550136723e-07,次加性收益
nih_exporter,stackexchange,pile_cc,0.001,3.3853048568843747e-06,4.110154985248471e-07,次加性收益
nih_exporter,enron_emails,pile_cc,0.001,3.3853048559961962e-06,4.2474099437583845e-07,次加性收益
nih_exporter,gutenberg_pg_19,pile_cc,0.001,3.3853048559961962e-06,4.089736989065784e-07,次加性收益
nih_exporter,ubuntu_irc,pile_cc,0.001,3.3853048559961962e-06,4.23839303209661e-07,次加性收益
nih_exporter,europarl,pile_cc,0.001,3.3853048568843747e-06,4.0673605949947955e-07,次加性收益
nih_exporter,hackernews,pile_cc,0.001,3.3853048559961962e-06,4.1899278402368623e-07,次加性收益
nih_exporter,pubmed_abstracts,pile_cc,0.001,3.3853048568843747e-06,4.093161898310882e-07,次加性收益
nih_exporter,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.0895384456618444e-07,次加性收益
pubmed_central,wikipedia_en,pile_cc,0.001,3.3853048559961962e-06,4.098894819115628e-07,次加性收益
pubmed_central,dm_mathematics,pile_cc,0.001,3.3853048559961962e-06,4.061404728084028e-07,次加性收益
pubmed_central,github,pile_cc,0.001,3.3853048559961962e-06,4.101174115866968e-07,次加性收益
pubmed_central,philpapers,pile_cc,0.001,3.3853048559961962e-06,4.0826189096065946e-07,次加性收益
pubmed_central,stackexchange,pile_cc,0.001,3.3853048568843747e-06,4.0950830726416143e-07,次加性收益
pubmed_central,enron_emails,pile_cc,0.001,3.3853048559961962e-06,4.055316771278683e-07,次加性收益
pubmed_central,gutenberg_pg_19,pile_cc,0.001,3.3853048559961962e-06,4.100998691747293e-07,次加性收益
pubmed_central,ubuntu_irc,pile_cc,0.001,3.3853048559961962e-06,4.057929205991684e-07,次加性收益
pubmed_central,europarl,pile_cc,0.001,3.3853048559961962e-06,4.107481714754613e-07,次加性收益
pubmed_central,hackernews,pile_cc,0.001,3.3853048559961962e-06,4.071970822749904e-07,次加性收益
pubmed_central,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.10000640993502e-07,次加性收益
pubmed_central,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.101056219063537e-07,次加性收益
wikipedia_en,dm_mathematics,pile_cc,0.001,3.3853048559961962e-06,4.0892316821583563e-07,次加性收益
wikipedia_en,github,pile_cc,0.001,3.385304855108018e-06,4.0991430605430423e-07,次加性收益
wikipedia_en,philpapers,pile_cc,0.001,3.385304855108018e-06,4.0945187063101685e-07,次加性收益
wikipedia_en,stackexchange,pile_cc,0.001,3.3853048559961962e-06,4.097625039278796e-07,次加性收益
wikipedia_en,enron_emails,pile_cc,0.001,3.3853048559961962e-06,4.087714433609335e-07,次加性收益
wikipedia_en,gutenberg_pg_19,pile_cc,0.001,3.385304855108018e-06,4.0990993355194405e-07,次加性收益
wikipedia_en,ubuntu_irc,pile_cc,0.001,3.385304855108018e-06,4.088365503918112e-07,次加性收益
wikipedia_en,europarl,pile_cc,0.001,3.3853048559961962e-06,4.1007150475280696e-07,次加性收益
wikipedia_en,hackernews,pile_cc,0.001,3.385304855108018e-06,4.0918649757415437e-07,次加性收益
wikipedia_en,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.0988520400020434e-07,次加性收益
wikipedia_en,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.0991136751600266e-07,次加性收益
dm_mathematics,github,pile_cc,0.001,3.3853048559961962e-06,4.0398050593637436e-07,次加性收益
dm_mathematics,philpapers,pile_cc,0.001,3.3853048559961962e-06,4.442175391972114e-07,次加性收益
dm_mathematics,stackexchange,pile_cc,0.001,3.3853048568843747e-06,4.1718895182896176e-07,次加性收益
dm_mathematics,enron_emails,pile_cc,0.001,3.3853048559961962e-06,5.034223189426257e-07,次加性收益
dm_mathematics,gutenberg_pg_19,pile_cc,0.001,3.3853048559961962e-06,4.0436090920081824e-07,次加性收益
dm_mathematics,ubuntu_irc,pile_cc,0.001,3.3853048559961962e-06,4.977572505282524e-07,次加性收益
dm_mathematics,europarl,pile_cc,0.001,3.3853048568843747e-06,3.903024570206526e-07,次加性收益
dm_mathematics,hackernews,pile_cc,0.001,3.3853048559961962e-06,4.6730795411065174e-07,次加性收益
dm_mathematics,pubmed_abstracts,pile_cc,0.001,3.3853048568843747e-06,4.065126790742113e-07,次加性收益
dm_mathematics,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.0423616898266346e-07,次加性收益
github,philpapers,pile_cc,0.001,3.385304855108018e-06,4.073382120495239e-07,次加性收益
github,stackexchange,pile_cc,0.001,3.3853048559961962e-06,4.09310996207779e-07,次加性收益
github,enron_emails,pile_cc,0.001,3.3853048559961962e-06,4.030169256097338e-07,次加性收益
github,gutenberg_pg_19,pile_cc,0.001,3.385304855108018e-06,4.1024729968697216e-07,次加性收益
github,ubuntu_irc,pile_cc,0.001,3.385304855108018e-06,4.034304121880439e-07,次加性收益
github,europarl,pile_cc,0.001,3.3853048559961962e-06,4.1127340955071645e-07,次加性收益
github,hackernews,pile_cc,0.001,3.385304855108018e-06,4.056528699614148e-07,次加性收益
github,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.100902444292842e-07,次加性收益
github,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.102564044039525e-07,次加性收益
philpapers,stackexchange,pile_cc,0.001,3.3853048559961962e-06,4.1298661423994076e-07,次加性收益
philpapers,enron_emails,pile_cc,0.001,3.385304855108018e-06,4.4986307834449235e-07,次加性收益
philpapers,gutenberg_pg_19,pile_cc,0.001,3.385304855108018e-06,4.075008859238949e-07,次加性收益
philpapers,ubuntu_irc,pile_cc,0.001,3.385304855108018e-06,4.474404931009701e-07,次加性收益
philpapers,europarl,pile_cc,0.001,3.3853048559961962e-06,4.014889904979668e-07,次加性收益
philpapers,hackernews,pile_cc,0.001,3.385304855108018e-06,4.3441928765375337e-07,次加性收益
philpapers,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.0842105919480787e-07,次加性收益
philpapers,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.074475423720969e-07,次加性收益
stackexchange,enron_emails,pile_cc,0.001,3.3853048559961962e-06,4.183949200431414e-07,次加性收益
stackexchange,gutenberg_pg_19,pile_cc,0.001,3.3853048559961962e-06,4.0934574530027135e-07,次加性收益
stackexchange,ubuntu_irc,pile_cc,0.001,3.3853048559961962e-06,4.1787742111054627e-07,次加性收益
stackexchange,europarl,pile_cc,0.001,3.3853048568843747e-06,4.080615183532643e-07,次加性收益
stackexchange,hackernews,pile_cc,0.001,3.3853048559961962e-06,4.150959038717872e-07,次加性收益
stackexchange,pubmed_abstracts,pile_cc,0.001,3.3853048568843747e-06,4.0954230762224597e-07,次加性收益
stackexchange,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.093343504152358e-07,次加性收益
enron_emails,gutenberg_pg_19,pile_cc,0.001,3.385304855108018e-06,4.0345981178191437e-07,次加性收益
enron_emails,ubuntu_irc,pile_cc,0.001,3.385304855108018e-06,5.121969359755951e-07,次加性收益
enron_emails,europarl,pile_cc,0.001,3.3853048559961962e-06,3.8709219385424376e-07,次加性收益
enron_emails,hackernews,pile_cc,0.001,3.385304855108018e-06,4.7674620118343114e-07,次加性收益
enron_emails,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.0596501937884e-07,次加性收益
enron_emails,uspto_backgrounds,pile_cc,0.001,3.385304855108018e-06,4.033145821757955e-07,次加性收益
gutenberg_pg_19,ubuntu_irc,pile_cc,0.001,3.3853048542198394e-06,4.0384648603009055e-07,次加性收益
gutenberg_pg_19,europarl,pile_cc,0.001,3.3853048559961962e-06,4.111809066564831e-07,次加性收益
gutenberg_pg_19,hackernews,pile_cc,0.001,3.385304855108018e-06,4.0592482930534857e-07,次加性收益
gutenberg_pg_19,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.100744637192122e-07,次加性收益
gutenberg_pg_19,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.102298492014711e-07,次加性收益
ubuntu_irc,europarl,pile_cc,0.001,3.385304855108018e-06,3.88469765688626e-07,次加性收益
ubuntu_irc,hackernews,pile_cc,0.001,3.385304855108018e-06,4.72696108477777e-07,次加性收益
ubuntu_irc,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.062000282800682e-07,次加性收益
ubuntu_irc,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.037100489462375e-07,次加性收益
europarl,hackernews,pile_cc,0.001,3.3853048559961962e-06,3.958741059406634e-07,次加性收益
europarl,pubmed_abstracts,pile_cc,0.001,3.3853048568843747e-06,4.1065766209769095e-07,次加性收益
europarl,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.112112401699619e-07,次加性收益
hackernews,pubmed_abstracts,pile_cc,0.001,3.3853048559961962e-06,4.074631809736218e-07,次加性收益
hackernews,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.058356495306725e-07,次加性收益
pubmed_abstracts,uspto_backgrounds,pile_cc,0.001,3.3853048559961962e-06,4.1007963869077457e-07,次加性收益
arxiv,freelaw,pile_cc,0.005,9.067861810141409e-05,1.0996834000742695e-05,次加性收益
arxiv,nih_exporter,pile_cc,0.005,9.067861810230227e-05,1.0964202691088332e-05,次加性收益
arxiv,pubmed_central,pile_cc,0.005,9.067861810141409e-05,1.0990962446388863e-05,次加性收益
arxiv,wikipedia_en,pile_cc,0.005,9.067861810141409e-05,1.098433293700296e-05,次加性收益
arxiv,dm_mathematics,pile_cc,0.005,9.067861810141409e-05,1.0791574198254494e-05,次加性收益
arxiv,github,pile_cc,0.005,9.067861810230227e-05,1.0996434996357607e-05,次加性收益
arxiv,philpapers,pile_cc,0.005,9.067861810141409e-05,1.0920693969129758e-05,次加性收益
arxiv,stackexchange,pile_cc,0.005,9.067861810141409e-05,1.0963218515236406e-05,次加性收益
arxiv,enron_emails,pile_cc,0.005,9.067861810052591e-05,1.0829956167413002e-05,次加性收益
arxiv,gutenberg_pg_19,pile_cc,0.005,9.067861810230227e-05,1.0996269586005525e-05,次加性收益
arxiv,ubuntu_irc,pile_cc,0.005,9.067861810141409e-05,1.0778041850123543e-05,次加性收益
arxiv,europarl,pile_cc,0.005,9.067861810141409e-05,1.1031053650523148e-05,次加性收益
arxiv,hackernews,pile_cc,0.005,9.067861810141409e-05,1.085786602672556e-05,次加性收益
arxiv,pubmed_abstracts,pile_cc,0.005,9.067861810230227e-05,1.0990505287189478e-05,次加性收益
arxiv,uspto_backgrounds,pile_cc,0.005,9.067861810230227e-05,1.0996068157798078e-05,次加性收益
freelaw,nih_exporter,pile_cc,0.005,9.067861810230227e-05,1.0965772847981725e-05,次加性收益
freelaw,pubmed_central,pile_cc,0.005,9.067861810230227e-05,1.0989492158941516e-05,次加性收益
freelaw,wikipedia_en,pile_cc,0.005,9.067861810141409e-05,1.0983615894577525e-05,次加性收益
freelaw,dm_mathematics,pile_cc,0.005,9.067861810230227e-05,1.0812758409528556e-05,次加性收益
freelaw,github,pile_cc,0.005,9.067861810230227e-05,1.0994342917403088e-05,次加性收益
freelaw,philpapers,pile_cc,0.005,9.067861810230227e-05,1.092720758810728e-05,次加性收益
freelaw,stackexchange,pile_cc,0.005,9.067861810141409e-05,1.096490049379284e-05,次加性收益
freelaw,enron_emails,pile_cc,0.005,9.067861810141409e-05,1.0846779418205443e-05,次加性收益
freelaw,gutenberg_pg_19,pile_cc,0.005,9.067861810230227e-05,1.0994196301350456e-05,次加性收益
freelaw,ubuntu_irc,pile_cc,0.005,9.067861810141409e-05,1.0800763607488051e-05,次加性收益
freelaw,europarl,pile_cc,0.005,9.067861810141409e-05,1.102502819883e-05,次加性收益
freelaw,hackernews,pile_cc,0.005,9.067861810230227e-05,1.0871518158594995e-05,次加性收益
freelaw,pubmed_abstracts,pile_cc,0.005,9.067861810230227e-05,1.0989086942192472e-05,次加性收益
