领域,基线份额,每单位份额方向边际损失,约束弹性
dm_mathematics,0.0254628540970504,-0.20356062288172264,-0.0023737651617928633
ubuntu_irc,0.019599998284005892,-0.22320664414773816,-0.002003549378904943
hackernews,0.011650822378108678,-0.14608432297274632,-0.00077946584981701
stackexchange,0.09943242344413017,-0.014438120851380272,-0.0006574694780593626
enron_emails,0.002211033043406226,-0.26884463104959333,-0.00027222844344772825
philpapers,0.005487697351193036,-0.09026737046926485,-0.00022685995538076424
nih_exporter,0.00588968021709595,-0.0321041882050558,-8.659449960834024e-05
wikipedia_en,0.07507775607983627,0.008121264368877112,0.00027923627196853415
europarl,0.012737064754031531,0.05463648497794564,0.00031870509554004925
pile_cc,0.11948759779188561,0.006975637366487983,0.0003817188655931671
gutenberg_pg_19,0.04691494424753537,0.019679423597606792,0.0004228248247906993
pubmed_abstracts,0.06618116611257162,0.01444550678707406,0.00043782856932410264
uspto_backgrounds,0.07556475309333588,0.020775372679187203,0.0007189604322820941
pubmed_central,0.11375419105058357,0.01640822142627998,0.0008548025588165378
freelaw,0.0968248321520278,0.022368120616552203,0.000991866329725733
github,0.11070066007050916,0.022393062603171542,0.0011352737698286511
arxiv,0.11302252583269279,0.025591323491025466,0.0013246302065355298
