s_Q情景,N_B,D_B,质量增加,等价参数倍数,存在条件z,状态,参数翻倍等价质量提升,等损失误差
0.5,1.0,20.0,0.1,1.8708051647385182,0.8081914550572764,有限可替代,0.10988241204791892,0.0
0.5,7.0,140.0,0.1,1.9719020000985177,0.7938588425606223,有限可替代,0.10192477947180262,0.0
0.5,70.0,1400.0,0.1,2.1197297136559845,0.7745855479669691,有限可替代,0.09288054927262815,0.0
0.5,1000.0,20.0,0.1,inf,-0.28601667702590405,参数扩张不可替代,0.01579340470199046,
1.0,1.0,20.0,0.1,1.3535569825038247,0.9021939105725604,有限可替代,0.21976482409583784,0.0
1.0,7.0,140.0,0.1,1.3863295140520877,0.894885493838597,有限可替代,0.20384955894360524,0.0
1.0,70.0,1400.0,0.1,1.432097358225286,0.885057748285597,有限可替代,0.1857610985452563,0.0
1.0,1000.0,20.0,0.1,23.026547728523465,0.3442405699082186,有限可替代,0.03158680940398092,0.0
2.0,1.0,20.0,0.1,1.160643755512918,0.950612024936419,有限可替代,0.43952964819167567,0.0
2.0,7.0,140.0,0.1,1.1739987914037,0.9469215808595293,有限可替代,0.40769911788721047,0.0
2.0,70.0,1400.0,0.1,1.192284149065891,0.9419589813409904,有限可替代,0.3715221970905126,0.0
2.0,1000.0,20.0,0.1,3.263809524442802,0.6688689776815178,有限可替代,0.06317361880796184,0.0
