cost,C,L_ctx,classic_N_relative_error,derivative_relative_error,expanded_bracket_relative_error,inner_kkt_log_residual
exponential,1e+19,2048,1.1102230246251565e-15,3.411722223425363e-11,8.881784197001252e-15,8.659739592076221e-15
exponential,1e+19,131072,2.6645352591003757e-15,1.437465832291004e-11,2.6201263381153694e-14,1.7208456881689926e-15
exponential,1e+22,2048,6.661338147750939e-16,4.518591185429755e-12,1.688649220454863e-13,1.1657341758564144e-13
exponential,1e+22,131072,1.7763568394002505e-15,2.941356937000112e-11,4.440892098500626e-16,2.220446049250313e-16
exponential,1e+24,2048,2.886579864025407e-15,1.3269696716093895e-11,2.220446049250313e-15,5.329070518200751e-15
exponential,1e+24,131072,3.3306690738754696e-16,9.717519722375994e-12,2.7755575615628914e-15,8.881784197001252e-16
power,1e+19,2048,1.1102230246251565e-15,1.0272131808232977e-11,1.7175150190951172e-13,1.2534417948018017e-13
power,1e+19,131072,2.6645352591003757e-15,6.241215817198191e-11,8.881784197001252e-16,5.2735593669694936e-15
power,1e+22,2048,6.661338147750939e-16,1.907650909243372e-11,4.4853010194856324e-14,1.9984014443252818e-15
power,1e+22,131072,1.7763568394002505e-15,3.332254819386707e-11,6.861178292183467e-14,5.1514348342607263e-14
power,1e+24,2048,2.886579864025407e-15,1.0243412565890403e-11,3.1086244689504383e-15,1.7763568394002505e-15
power,1e+24,131072,3.3306690738754696e-16,1.9168726354069144e-11,1.7763568394002505e-15,1.3322676295501878e-15
logarithmic,1e+19,2048,1.1102230246251565e-15,2.714785651932144e-10,7.283063041541027e-14,5.46229728115577e-14
logarithmic,1e+19,131072,2.6645352591003757e-15,1.2676011075269131e-11,5.773159728050814e-15,1.5543122344752192e-15
logarithmic,1e+22,2048,6.661338147750939e-16,1.7158150979132325e-11,4.085620730620576e-14,8.881784197001252e-16
logarithmic,1e+22,131072,1.7763568394002505e-15,2.3934627573420266e-12,2.1538326677728037e-14,1.9539925233402755e-14
logarithmic,1e+24,2048,2.886579864025407e-15,2.088251284768313e-11,7.549516567451064e-15,3.9968028886505635e-15
logarithmic,1e+24,131072,3.3306690738754696e-16,2.6478808503655365e-11,5.329070518200751e-15,0.0
