N_B,D_B,u,Q,z,z0,u_max,t,tn,td,reducible_loss,loss,C_train,C_att,C_quality,c,M,kkt_log_residual,bracket_expansions,logN_margin,C,L_ctx,cost,recipe,s_Q,keep,mapping,state,near_optimal_states,near_optimal_t_min,near_optimal_t_max,candidate_count,grid,share_train,share_att,share_quality,budget_relative_error,baseline_loss,baseline_N_B,baseline_D_B,loss_gain,reducible_gain_fraction
0.23208187521508897,6.453025302075417,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5816177118554313,0.7359887817191865,1.2906228967546958,2.980460666912549,8.985781277496474e+18,6.13429335210426e+17,4.0078938729310214e+17,6.2108758067971704e+16,-0.3485136748214418,1.3100631690576847e-14,0,0.9524818652081362,1e+19,2048,exponential,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.8985781277496474,0.0613429335210426,0.04007893872931022,2.048e-16,2.998925629084324,0.2213116933514807,7.04960382676961,0.018464962171774957,0.014105212301729935
0.24209000775615705,5.965463223234895,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5733288199657057,0.752351689148354,1.2985315624866678,2.9883693326445213,8.665074227892033e+18,5.915357339574294e+17,7.433900381505389e+17,1.2461564346840787e+17,-0.20007496191161833,1.6170398353665405e-13,0,0.9102624951425993,1e+19,2048,power,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.8665074227892032,0.05915357339574294,0.07433900381505389,2.048e-16,2.998925629084324,0.2213116933514807,7.04960382676961,0.010556296439802715,0.008063856346861029
0.23752708424796726,6.1804688564688535,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5770498334091464,0.7449325032608084,1.2949091258519176,2.984746896009771,8.808172480574492e+18,6.013045746738853e+17,5.905229447516242e+17,9.554662574402379e+16,-0.29389810176287495,7.482903185973555e-14,0,0.929290429114521,1e+19,2048,logarithmic,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.8808172480574492,0.06013045746738853,0.05905229447516242,2.048e-16,2.998925629084324,0.2213116933514807,7.04960382676961,0.014178733074552863,0.010831001890263104
0.2253446433719075,6.25477336880359,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5874722977100499,0.7424449173128672,1.3026815038230624,2.992519273980916,8.456878044990896e+18,1.1546457490760904e+18,3.884762059330145e+17,6.2108758067971704e+16,-0.3572659042570293,5.440092820663267e-15,0,0.9539710465016438,1e+19,4096,exponential,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.8456878044990896,0.11546457490760903,0.038847620593301456,2.048e-16,3.0114336635830927,0.21520735927894521,6.814114917167469,0.01891438960217684,0.014311779944439258
0.23478599764231,5.79485634189879,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5793315330785921,0.7584866913039839,1.3104207064125883,3.000258476570442,8.163306764559448e+18,1.1145634835878499e+18,7.22129751852702e+17,1.2461564346840787e+17,-0.21162570288516724,1.4882539645100223e-13,0,0.9129275741743046,1e+19,4096,power,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.8163306764559448,0.11145634835878498,0.0722129751852702,0.0,3.0114336635830927,0.21520735927894521,6.814114917167469,0.011175187012650856,0.008455827585607431
0.2304792423405521,5.997970256469717,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5829895606866001,0.7512081937570549,1.306874380993755,2.9967121511516086,8.294445841753845e+18,1.132468338927458e+18,5.7308581931869843e+17,9.554662574402379e+16,-0.3036647615311364,6.45039577307216e-14,0,0.9314412216359449,1e+19,4096,logarithmic,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.8294445841753845,0.1132468338927458,0.05730858193186984,0.0,3.0114336635830927,0.21520735927894521,6.814114917167469,0.014721512431484118,0.011139193534666256
0.21353324335120002,5.9061125926025655,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5983245789568844,0.7544601742704988,1.3250807319257019,3.0149185020835554,7.566908264974744e+18,2.0662704168891034e+18,3.6682131813615386e+17,6.2108758067971704e+16,-0.3732254965636867,8.715250743307479e-15,0,0.9565854109199365,1e+19,8192,exponential,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.7566908264974743,0.20662704168891033,0.03668213181361538,2.048e-16,3.0346514285532704,0.2044611410334612,6.403048959103759,0.01973292646971503,0.014673353699619517
0.22201644953894797,5.493098743225881,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5904517406412556,0.7699252140486663,1.3325174507731805,3.022355220931034,7.317349679627204e+18,1.9981242858502016e+18,6.845260345225957e+17,1.2461564346840787e+17,-0.2326262209693561,1.2467804566540508e-13,0,0.9176264618810861,1e+19,8192,power,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.7317349679627203,0.19981242858502016,0.06845260345225958,0.0,3.0346514285532704,0.2044611410334612,6.403048959103759,0.012296207622236377,0.009143428567574179
0.21814317617691656,5.675976239215284,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.5939954153459658,0.7628999498183694,1.3291071616005512,3.018944931758405,7.429052908362793e+18,2.028626714176933e+18,5.423203774602744e+17,9.554662574402379e+16,-0.32145465977052345,5.3290705182007514e-14,0,0.9352263193677555,1e+19,8192,logarithmic,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.7429052908362793,0.20286267141769332,0.054232037746027445,2.048e-16,3.0346514285532704,0.2044611410334612,6.403048959103759,0.015706496794865465,0.011679310882078884
0.16894627200741472,4.580867402451886,0.0521653171659342,-0.042384800822080834,0.5935153654408774,0.5611627867660474,0.0521653171659342,1.0,0.6479165922288624,0.810071910312733,1.4281299870344872,3.117967757192341,4.643522821227214e+18,5.071965193532444e+18,2.8451198524034214e+17,6.2108758067971704e+16,-0.44227321919875184,3.941291737419306e-15,0,0.9664691634369573,1e+19,32768,exponential,p0,1.0,0.8,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,129,0.4643522821227214,0.5071965193532444,0.028451198524034216,0.0,3.141230674780817,0.16337528406908372,4.875794103672979,0.023262917588476206,0.01602799456603349
