C,L_ctx,cost,lambda_value,lambda_over_on,t,state
1e+19,2048,exponential,0.0992354191131038,0.85,0.0,R0
1e+19,2048,exponential,0.09990747769692197,0.8557565111464321,0.0,R0
1e+19,2048,exponential,0.10057953628074015,0.8615130222928644,0.0,R0
1e+19,2048,exponential,0.10125159486455833,0.8672695334392966,0.0,R0
1e+19,2048,exponential,0.1019236534483765,0.8730260445857287,0.0,R0
1e+19,2048,exponential,0.1025957120321947,0.878782555732161,0.0,R0
1e+19,2048,exponential,0.10326777061601287,0.8845390668785932,0.0,R0
1e+19,2048,exponential,0.10393982919983105,0.8902955780250253,0.0,R0
1e+19,2048,exponential,0.10461188778364924,0.8960520891714576,0.0,R0
1e+19,2048,exponential,0.10528394636746741,0.9018086003178898,0.0,R0
1e+19,2048,exponential,0.10595600495128558,0.907565111464322,0.0,R0
1e+19,2048,exponential,0.10662806353510378,0.9133216226107542,0.0,R0
1e+19,2048,exponential,0.10730012211892195,0.9190781337571864,0.0,R0
1e+19,2048,exponential,0.10797218070274014,0.9248346449036187,0.0,R0
1e+19,2048,exponential,0.10864423928655832,0.9305911560500508,0.0,R0
1e+19,2048,exponential,0.10931629787037649,0.936347667196483,0.0,R0
1e+19,2048,exponential,0.10998835645419468,0.9421041783429153,0.0,R0
1e+19,2048,exponential,0.11066041503801285,0.9478606894893474,0.0,R0
1e+19,2048,exponential,0.11133247362183103,0.9536172006357796,0.0,R0
1e+19,2048,exponential,0.11200453220564922,0.9593737117822119,0.0,R0
1e+19,2048,exponential,0.1126765907894674,0.965130222928644,0.0,R0
1e+19,2048,exponential,0.11334864937328558,0.9708867340750762,0.0,R0
1e+19,2048,exponential,0.11402070795710376,0.9766432452215085,0.0,R0
1e+19,2048,exponential,0.11469276654092193,0.9823997563679406,0.0,R0
1e+19,2048,exponential,0.11536482512474013,0.9881562675143729,0.0,R0
1e+19,2048,exponential,0.1160368837085583,0.9939127786608051,0.0,R0
1e+19,2048,exponential,0.11670894229237648,0.9996692898072372,0.0,R0
1e+19,2048,exponential,0.11738100087619466,1.0054258009536694,0.020062775259774693,R1
1e+19,2048,exponential,0.11805305946001284,1.0111823121001016,0.041264541158331794,R1
1e+19,2048,exponential,0.11872511804383103,1.016938823246534,0.06238098717913683,R1
1e+19,2048,exponential,0.1193971766276492,1.0226953343929661,0.08341315453500216,R1
1e+19,2048,exponential,0.12006923521146738,1.0284518455393983,0.10436159265915126,R1
1e+19,2048,exponential,0.12074129379528556,1.0342083566858304,0.12522784299176243,R1
1e+19,2048,exponential,0.12141335237910374,1.0399648678322626,0.1460124068771335,R1
1e+19,2048,exponential,0.12208541096292194,1.045721378978695,0.16671622540141817,R1
1e+19,2048,exponential,0.1227574695467401,1.0514778901251272,0.18734006981326276,R1
