scenario,L_ctx,cost,boundary,C_stationary_candidate,positive_candidate,global_transition_claim
main,2048,exponential,lower,6.662203726417235e+17,True,False
main,2048,exponential,upper,6.632574885306614e+17,True,False
main,2048,power,lower,3.202527872612186e+18,True,False
main,2048,power,upper,2.6619031416638295e+18,True,False
main,2048,logarithmic,lower,2.269000405201706e+18,True,False
main,2048,logarithmic,upper,5.489401095391108e+17,True,False
main,4096,exponential,lower,6.17930223214801e+17,True,False
main,4096,exponential,upper,6.151821000482147e+17,True,False
main,4096,power,lower,2.970396650177331e+18,True,False
main,4096,power,upper,2.468958425846697e+18,True,False
main,4096,logarithmic,lower,2.1045347522189453e+18,True,False
main,4096,logarithmic,upper,5.091508731172897e+17,True,False
main,8192,exponential,lower,5.383843311976975e+17,True,False
main,8192,exponential,upper,5.3598997274506496e+17,True,False
main,8192,power,lower,2.588018766225155e+18,True,False
main,8192,power,upper,2.1511304689693568e+18,True,False
main,8192,logarithmic,lower,1.8336188982001718e+18,True,False
main,8192,logarithmic,upper,4.436081000794298e+17,True,False
main,32768,exponential,lower,2.9444321435024346e+17,True,False
main,32768,exponential,upper,2.9313373604961875e+17,True,False
main,32768,power,lower,1.4153914223894216e+18,True,False
main,32768,power,upper,1.1764565442702333e+18,True,False
main,32768,logarithmic,lower,1.0028089804886202e+18,True,False
main,32768,logarithmic,upper,2.4260994856335898e+17,True,False
main,131072,exponential,lower,9.372316083360707e+16,True,False
main,131072,exponential,upper,9.330634550421184e+16,True,False
main,131072,power,lower,4.5052815435344685e+17,True,False
main,131072,power,upper,3.744736524348349e+17,True,False
main,131072,logarithmic,lower,3.192005207901398e+17,True,False
main,131072,logarithmic,upper,7.722430037728611e+16,True,False
p_star,2048,exponential,lower,6.522249268960242e+17,True,False
p_star,2048,exponential,upper,6.347650585869682e+17,True,False
p_star,2048,power,lower,3.142430312205089e+18,True,False
p_star,2048,power,upper,2.681740303232621e+18,True,False
p_star,2048,logarithmic,lower,2.2811912895455552e+18,True,False
p_star,2048,logarithmic,upper,7.343341211276111e+17,True,False
p_star,4096,exponential,lower,6.049492198279807e+17,True,False
p_star,4096,exponential,upper,5.887549082089364e+17,True,False
p_star,4096,power,lower,2.9146551861783107e+18,True,False
p_star,4096,power,upper,2.487357715600545e+18,True,False
p_star,4096,logarithmic,lower,2.1158419955773402e+18,True,False
p_star,4096,logarithmic,upper,6.811068319381062e+17,True,False
p_star,8192,exponential,lower,5.270743667969777e+17,True,False
p_star,8192,exponential,upper,5.1296474195152736e+17,True,False
p_star,8192,power,lower,2.539452876926257e+18,True,False
p_star,8192,power,upper,2.1671612260621274e+18,True,False
p_star,8192,logarithmic,lower,1.8434705649814597e+18,True,False
p_star,8192,logarithmic,upper,5.934282422365204e+17,True,False
p_star,32768,exponential,lower,2.882577775175509e+17,True,False
p_star,32768,exponential,upper,2.8054120210472576e+17,True,False
p_star,32768,power,lower,1.3888306632359475e+18,True,False
p_star,32768,power,upper,1.1852237898480586e+18,True,False
p_star,32768,logarithmic,lower,1.0081968721223468e+18,True,False
p_star,32768,logarithmic,upper,3.2454681350333344e+17,True,False
p_star,131072,exponential,lower,9.175429667629976e+16,True,False
p_star,131072,exponential,upper,8.929806130304848e+16,True,False
p_star,131072,power,lower,4.420736946115336e+17,True,False
p_star,131072,power,upper,3.772643228504243e+17,True,False
p_star,131072,logarithmic,lower,3.209155212028888e+17,True,False
p_star,131072,logarithmic,upper,1.0330532923684765e+17,True,False
sQ_0.5,2048,exponential,lower,1.435247261865247e+17,True,False
sQ_0.5,2048,exponential,upper,5.223171805057503e+16,True,False
sQ_0.5,2048,power,lower,6.899247679844836e+17,True,False
sQ_0.5,2048,power,upper,2.0120570392554387e+17,True,False
sQ_0.5,2048,logarithmic,lower,4.888137247775504e+17,True,False
sQ_0.5,2048,logarithmic,upper,3.0507599693253156e+16,True,False
sQ_0.5,4096,exponential,lower,1.3312151613979032e+17,True,False
sQ_0.5,4096,exponential,upper,4.844576737559678e+16,True,False
sQ_0.5,4096,power,lower,6.399164351453098e+17,True,False
sQ_0.5,4096,power,upper,1.8662156043922794e+17,True,False
sQ_0.5,4096,logarithmic,lower,4.533826740610437e+17,True,False
sQ_0.5,4096,logarithmic,upper,2.8296294533066772e+16,True,False
sQ_0.5,8192,exponential,lower,1.1598484058940563e+17,True,False
sQ_0.5,8192,exponential,upper,4.220936456575178e+16,True,False
sQ_0.5,8192,power,lower,5.575402675171663e+17,True,False
sQ_0.5,8192,power,upper,1.625978471831734e+17,True,False
sQ_0.5,8192,logarithmic,lower,3.9501891731573126e+17,True,False
sQ_0.5,8192,logarithmic,upper,2.465372470098874e+16,True,False
sQ_0.5,32768,exponential,lower,6.343228675149684e+16,True,False
