scenario,C,L_ctx,cost,state,independent_relative_objective_error,t_difference,logN_difference,distance_to_numeric_logN_edge
main,1e+19,2048,exponential,R2,5.551115123125783e-17,0.0,5.4820618933248966e-08,9.894965077415907
main,1e+19,2048,power,R2,4.996003610813205e-16,0.0,8.62703763981898e-08,9.81560023001263
main,1e+19,2048,logarithmic,R2,2.7755575615628914e-17,0.0,1.91935354276751e-08,9.86562344143391
main,1e+19,131072,exponential,R2,0.0,0.0,3.593574948723699e-08,9.952918101824618
main,1e+19,131072,power,R2,0.0,0.0,5.050838414177861e-09,9.912553179575482
main,1e+19,131072,logarithmic,R2,5.551115123125783e-17,0.0,9.488161811788132e-09,9.938459229748693
main,1e+22,2048,exponential,R2,1.1102230246251565e-16,0.0,5.915709699877425e-09,9.994644268680354
main,1e+22,2048,power,R2,0.0,0.0,2.338472704366268e-08,9.989536401268795
main,1e+22,2048,logarithmic,R2,1.1102230246251565e-16,0.0,2.467782422854725e-08,9.992871030384155
main,1e+22,131072,exponential,R2,0.0,0.0,3.508555612707909e-08,9.997780908236853
main,1e+22,131072,power,R2,1.1102230246251565e-16,0.0,6.117027440133427e-09,9.99564609118767
main,1e+22,131072,logarithmic,R2,3.33066907387547e-16,0.0,8.041966803595813e-08,9.997041924577237
main,1e+24,2048,exponential,R2,2.2204460492503136e-16,0.0,5.0748270918887783e-08,9.999326034661353
main,1e+24,2048,power,R2,0.0,0.0,4.460556812801997e-09,9.998674727819626
main,1e+24,2048,logarithmic,R2,0.0,0.0,4.526486385714179e-08,9.999100874381936
main,1e+24,131072,exponential,R2,0.0,0.0,1.1015103495992662e-08,9.99972181443684
main,1e+24,131072,power,R2,0.0,0.0,2.8459755885279492e-08,9.999452718508758
main,1e+24,131072,logarithmic,R2,0.0,0.0,9.4663077376822e-10,9.99962883024849
p_star,1e+19,2048,exponential,R2,2.7755575615628914e-17,0.0,1.3418985700397457e-08,9.91662155816603
p_star,1e+19,2048,power,R2,2.7755575615628914e-17,0.0,9.221383656665694e-09,9.849631991292675
p_star,1e+19,2048,logarithmic,R2,5.551115123125783e-17,0.0,2.121595343851368e-08,9.88651643272258
sQ_0.5,1e+19,2048,exponential,R2,2.7755575615628914e-17,0.0,5.7781834206238614e-08,9.89496519001836
sQ_0.5,1e+19,2048,power,R2,1.9428902930940242e-16,0.0,3.651365876322643e-08,9.815600180255913
sQ_0.5,1e+19,2048,logarithmic,R2,5.551115123125783e-17,0.0,3.864552322596637e-08,9.865623460885896
sQ_2,1e+19,2048,exponential,R2,0.0,0.0,1.97097396181789e-08,9.894965112526787
sQ_2,1e+19,2048,power,R0,0.0,0.0,1.6653345369377348e-08,9.999999983346655
sQ_2,1e+19,2048,logarithmic,R2,5.551115123125783e-17,0.0,4.350956017695751e-08,9.865623465749934
keep_20pct,1e+19,2048,exponential,R2,8.326672684688674e-17,0.0,1.8871495477412736e-09,9.817060445690018
keep_20pct,1e+19,2048,power,R2,2.7755575615628914e-17,0.0,3.326181063911804e-08,9.703941536927449
keep_20pct,1e+19,2048,logarithmic,R2,3.053113317719181e-16,0.0,1.9359724934275846e-08,9.801427657945233
sQ_2,1.729280167511547e+19,2048,power,R1,8.604228440844967e-16,7.185090183936538e-07,1.771058939503689e-07,9.92027135972445
sQ_2,1.6039354600855423e+19,4096,power,R1,9.520162436160763e-15,2.3623373089920463e-06,5.484786185228074e-07,9.920271731726821
sQ_2,1.397461537760475e+19,8192,power,R1,2.4980018054066027e-16,5.63195593050736e-07,1.445377344477805e-07,9.920271327156232
