C,L_ctx,cost,recipe,baseline_N_B,baseline_D_B,baseline_loss
1e+19,2048,exponential,p0,0.22131169335137127,7.049603826773096,2.998925629084826
1e+19,2048,power,p0,0.22131169335137127,7.049603826773096,2.998925629084826
1e+19,2048,logarithmic,p0,0.22131169335137127,7.049603826773096,2.998925629084826
1e+19,4096,exponential,p0,0.21520735927882478,6.814114917171282,3.0114336635835866
1e+19,4096,power,p0,0.21520735927882478,6.814114917171282,3.0114336635835866
1e+19,4096,logarithmic,p0,0.21520735927882478,6.814114917171282,3.0114336635835866
1e+19,8192,exponential,p0,0.2044611410333215,6.403048959108133,3.034651428553749
1e+19,8192,power,p0,0.2044611410333215,6.403048959108133,3.034651428553749
1e+19,8192,logarithmic,p0,0.2044611410333215,6.403048959108133,3.034651428553749
1e+19,32768,exponential,p0,0.1633752840688838,4.875794103678945,3.141230674781208
1e+19,32768,power,p0,0.1633752840688838,4.875794103678945,3.141230674781208
1e+19,32768,logarithmic,p0,0.1633752840688838,4.875794103678945,3.141230674781208
1e+19,131072,exponential,p0,0.10675396678331038,2.907809368734617,3.3671545656487156
1e+19,131072,power,p0,0.10675396678331038,2.907809368734617,3.3671545656487156
1e+19,131072,logarithmic,p0,0.10675396678331038,2.907809368734617,3.3671545656487156
1e+22,2048,exponential,p0,5.007137635877468,311.58715294353055,2.1431835539031523
1e+22,2048,power,p0,5.007137635877468,311.58715294353055,2.1431835539031523
1e+22,2048,logarithmic,p0,5.007137635877468,311.58715294353055,2.1431835539031523
1e+22,4096,exponential,p0,4.869028164959939,301.1787213925358,2.1475151689771996
1e+22,4096,power,p0,4.869028164959939,301.1787213925358,2.1475151689771996
1e+22,4096,logarithmic,p0,4.869028164959939,301.1787213925358,2.1475151689771996
1e+22,8192,exponential,p0,4.625896891570875,283.00991720265023,2.1555556345467837
1e+22,8192,power,p0,4.625896891570875,283.00991720265023,2.1555556345467837
1e+22,8192,logarithmic,p0,4.625896891570875,283.00991720265023,2.1555556345467837
1e+22,32768,exponential,p0,3.6963366971066214,215.50640864872452,2.192464732421852
1e+22,32768,power,p0,3.6963366971066214,215.50640864872452,2.192464732421852
1e+22,32768,logarithmic,p0,3.6963366971066214,215.50640864872452,2.192464732421852
1e+22,131072,exponential,p0,2.4152894804851677,128.5229730308513,2.2707036700715792
1e+22,131072,power,p0,2.4152894804851677,128.5229730308513,2.2707036700715792
1e+22,131072,logarithmic,p0,2.4152894804851677,128.5229730308513,2.2707036700715792
1e+24,2048,exponential,p0,40.05403825385832,3895.137240523242,1.9134025767773792
1e+24,2048,power,p0,40.05403825385832,3895.137240523242,1.9134025767773792
1e+24,2048,logarithmic,p0,40.05403825385832,3895.137240523242,1.9134025767773792
1e+24,4096,exponential,p0,38.949246967173174,3765.0218972983394,1.9155386872720805
1e+24,4096,power,p0,38.949246967173174,3765.0218972983394,1.9155386872720805
1e+24,4096,logarithmic,p0,38.949246967173174,3765.0218972983394,1.9155386872720805
1e+24,8192,exponential,p0,37.004345501861586,3537.8944783812203,1.919503795572764
1e+24,8192,power,p0,37.004345501861586,3537.8944783812203,1.919503795572764
1e+24,8192,logarithmic,p0,37.004345501861586,3537.8944783812203,1.919503795572764
1e+24,32768,exponential,p0,29.568432552005053,2694.0360986295145,1.9377053000862332
1e+24,32768,power,p0,29.568432552005053,2694.0360986295145,1.9377053000862332
1e+24,32768,logarithmic,p0,29.568432552005053,2694.0360986295145,1.9377053000862332
1e+24,131072,exponential,p0,19.320838427190775,1606.6600108059013,1.976288371977635
1e+24,131072,power,p0,19.320838427190775,1606.6600108059013,1.976288371977635
1e+24,131072,logarithmic,p0,19.320838427190775,1606.6600108059013,1.976288371977635
