scenario,C,L_ctx,cost,loss_relative_difference,t_difference,state_65,state_257
main,1e+19,2048,exponential,0.0,0.0,R2,R2
main,1e+19,2048,power,0.0,0.0,R2,R2
main,1e+19,2048,logarithmic,0.0,0.0,R2,R2
main,1e+19,4096,exponential,0.0,0.0,R2,R2
main,1e+19,4096,power,0.0,0.0,R2,R2
main,1e+19,4096,logarithmic,0.0,0.0,R2,R2
main,1e+19,8192,exponential,0.0,0.0,R2,R2
main,1e+19,8192,power,0.0,0.0,R2,R2
main,1e+19,8192,logarithmic,0.0,0.0,R2,R2
main,1e+19,32768,exponential,0.0,0.0,R2,R2
main,1e+19,32768,power,0.0,0.0,R2,R2
main,1e+19,32768,logarithmic,0.0,0.0,R2,R2
main,1e+19,131072,exponential,0.0,0.0,R2,R2
main,1e+19,131072,power,0.0,0.0,R2,R2
main,1e+19,131072,logarithmic,0.0,0.0,R2,R2
main,1e+22,2048,exponential,0.0,0.0,R2,R2
main,1e+22,2048,power,0.0,0.0,R2,R2
main,1e+22,2048,logarithmic,0.0,0.0,R2,R2
main,1e+22,4096,exponential,0.0,0.0,R2,R2
main,1e+22,4096,power,0.0,0.0,R2,R2
main,1e+22,4096,logarithmic,0.0,0.0,R2,R2
main,1e+22,8192,exponential,0.0,0.0,R2,R2
main,1e+22,8192,power,0.0,0.0,R2,R2
main,1e+22,8192,logarithmic,0.0,0.0,R2,R2
main,1e+22,32768,exponential,0.0,0.0,R2,R2
main,1e+22,32768,power,0.0,0.0,R2,R2
main,1e+22,32768,logarithmic,0.0,0.0,R2,R2
main,1e+22,131072,exponential,0.0,0.0,R2,R2
main,1e+22,131072,power,0.0,0.0,R2,R2
main,1e+22,131072,logarithmic,0.0,0.0,R2,R2
main,1e+24,2048,exponential,0.0,0.0,R2,R2
main,1e+24,2048,power,0.0,0.0,R2,R2
main,1e+24,2048,logarithmic,0.0,0.0,R2,R2
main,1e+24,4096,exponential,0.0,0.0,R2,R2
main,1e+24,4096,power,0.0,0.0,R2,R2
main,1e+24,4096,logarithmic,0.0,0.0,R2,R2
main,1e+24,8192,exponential,0.0,0.0,R2,R2
main,1e+24,8192,power,0.0,0.0,R2,R2
main,1e+24,8192,logarithmic,0.0,0.0,R2,R2
main,1e+24,32768,exponential,0.0,0.0,R2,R2
main,1e+24,32768,power,0.0,0.0,R2,R2
main,1e+24,32768,logarithmic,0.0,0.0,R2,R2
main,1e+24,131072,exponential,0.0,0.0,R2,R2
main,1e+24,131072,power,0.0,0.0,R2,R2
main,1e+24,131072,logarithmic,0.0,0.0,R2,R2
