C,L_ctx,cost,keep,u_max,lambda_on,lambda_full,onset_competitor_t,full_competitor_t,local_lambda_on,local_lambda_full,sQ_on,sQ_full,grid
1e+19,2048,exponential,0.8,0.0521653171659342,0.11674755189776917,0.1321542191042419,0.0,1.0,0.11674755189776917,0.1321542191042419,3.397581716228636,3.001488340144732,129
1e+19,2048,power,0.8,0.0521653171659342,0.23721038981978224,0.24573688882852,0.0,1.0,0.23721038981978224,0.24573688882852,1.672183701749622,1.614162813052911,129
1e+19,2048,logarithmic,0.8,0.0521653171659342,0.18789833958603455,0.18789833958603455,1.0,0.0,0.2030292993244107,0.17434313831389223,2.1110316813666823,2.1110316813666823,129
1e+19,4096,exponential,0.8,0.0521653171659342,0.11284765136851195,0.12802164572632338,0.0,1.0,0.11284765136851195,0.12802164572632338,3.514998698971548,3.098377196230298,129
1e+19,4096,power,0.8,0.0521653171659342,0.22928648126867582,0.23847215961134774,0.0,1.0,0.22928648126867582,0.23847215961134774,1.7299726767471846,1.6633360824541266,129
1e+19,4096,logarithmic,0.8,0.0521653171659342,0.18192473906995843,0.18192473906995843,1.0,0.0,0.19624719504025978,0.16905833374044685,2.1803485868394215,2.1803485868394215,129
1e+19,8192,exponential,0.8,0.0521653171659342,0.10604004267848552,0.12076512588928648,0.0,1.0,0.10604004267848552,0.12076512588928648,3.7406562438397866,3.284552099137947,129
1e+19,8192,power,0.8,0.0521653171659342,0.21545462368492319,0.22565805252635154,0.0,1.0,0.21545462368492319,0.22565805252635154,1.8410342788576286,1.7577894664139844,129
1e+19,8192,logarithmic,0.8,0.0521653171659342,0.1714512895680432,0.1714512895680432,1.0,0.0,0.18440845409928378,0.15975481679110964,2.3135395991576586,2.3135395991576586,129
1e+19,32768,exponential,0.8,0.0521653171659342,0.08074737802998765,0.09331455544071253,0.0,1.0,0.08074737802998765,0.09331455544071253,4.912349569976186,4.2507768039931575,129
1e+19,32768,power,0.8,0.0521653171659342,0.16406439970742284,0.1764924752508469,0.0,1.0,0.16406439970742284,0.1764924752508469,2.417705172174339,2.2474575597545816,129
1e+19,32768,logarithmic,0.8,0.0521653171659342,0.1320116953291253,0.1320116953291253,1.0,0.0,0.14042336063772284,0.12427887546068848,3.0047288367396696,3.0047288367396696,129
1e+19,131072,exponential,0.8,0.0521653171659342,0.04815584443141092,0.05674241012955066,0.0,1.0,0.04815584443141092,0.05674241012955066,8.23699288063118,6.990526959230087,129
1e+19,131072,power,0.8,0.0521653171659342,0.09784416413012638,0.10916357125076787,0.0,1.0,0.09784416413012638,0.10916357125076787,4.053990866688617,3.6336237739155512,129
1e+19,131072,logarithmic,0.8,0.0521653171659342,0.07990135107140642,0.07990135107140642,1.0,0.0,0.08374520231350138,0.07628366396504303,4.964363460986122,4.964363460986122,129
1e+22,2048,exponential,0.8,0.0521653171659342,0.005160153421785166,0.006245007571385049,0.0,1.0,0.005160153421785166,0.006245007571385049,76.86968105787234,63.51623167917813,129
1e+22,2048,power,0.8,0.0521653171659342,0.010484519673554984,0.01232286298445489,0.0,1.0,0.010484519673554984,0.01232286298445489,37.83285835619202,32.18889540869636,129
1e+22,2048,logarithmic,0.8,0.0521653171659342,0.008738899948392675,0.008738899948392675,1.0,0.0,0.008973741347046791,0.00851187239915261,45.390077708267036,45.390077708267036,129
1e+22,4096,exponential,0.8,0.0521653171659342,0.004987780770422944,0.0060370592228729675,0.0,1.0,0.004987780770422944,0.0060370592228729675,79.52621937485019,65.7040676757762,129
1e+22,4096,power,0.8,0.0521653171659342,0.010134288913601179,0.011913833954122995,0.0,1.0,0.010134288913601179,0.011913833954122995,39.14032362053146,33.29401343595554,129
1e+22,4096,logarithmic,0.8,0.0521653171659342,0.008447694171458804,0.008447694171458804,1.0,0.0,0.008673977471403319,0.008228923577776355,46.95474761414292,46.95474761414292,129
1e+22,8192,exponential,0.8,0.0521653171659342,0.004686889619345308,0.005673958255134297,0.0,1.0,0.004686889619345308,0.005673958255134297,84.63168112709297,69.90875327349862,129
1e+22,8192,power,0.8,0.0521653171659342,0.00952293127842825,0.01119941018442676,0.0,1.0,0.00952293127842825,0.01119941018442676,41.653072582897245,35.417878371299004,129
1e+22,8192,logarithmic,0.8,0.0521653171659342,0.007939252042203741,0.007939252042203741,1.0,0.0,0.008150714083150849,0.007734784152700126,49.96180315648619,49.96180315648619,129
1e+22,32768,exponential,0.8,0.0521653171659342,0.003568972987172184,0.004323689872038917,0.0,1.0,0.003568972987172184,0.004323689872038917,111.14103389630884,91.74093412839116,129
1e+22,32768,power,0.8,0.0521653171659342,0.00725152227846898,0.008540284896612035,0.0,1.0,0.00725152227846898,0.008540284896612035,54.700148811521174,46.4456809748432,129
1e+22,32768,logarithmic,0.8,0.0521653171659342,0.006048898242547737,0.006048898242547737,1.0,0.0,0.006206606246680221,0.0058963352763227155,65.57547041413699,65.57547041413699,129
1e+22,131072,exponential,0.8,0.0521653171659342,0.002128451872286732,0.0025809227077139515,0.0,1.0,0.002128451872286732,0.0025809227077139515,186.3604965218959,153.68896811855893,129
1e+22,131072,power,0.8,0.0521653171659342,0.004324637991380688,0.005102612114897648,0.0,1.0,0.004324637991380688,0.005102612114897648,91.72082114916549,77.7365276471286,129
1e+22,131072,logarithmic,0.8,0.0521653171659342,0.0036099756546071737,0.0036099756546071737,1.0,0.0,0.0037014745512994568,0.0035214117355288096,109.87867667087565,109.87867667087565,129
1e+24,2048,exponential,0.8,0.0521653171659342,0.0006450685007430803,0.0007829418427401826,0.0,1.0,0.0006450685007430803,0.0007829418427401826,614.9104277846252,506.62683495630307,129
1e+24,2048,power,0.8,0.0521653171659342,0.0013106651748528225,0.0015493903203261635,0.0,1.0,0.0013106651748528225,0.0015493903203261635,302.6397247388953,256.0099560056715,129
1e+24,2048,logarithmic,0.8,0.0521653171659342,0.001094872333758901,0.001094872333758901,1.0,0.0,0.0011218034433544146,0.001068791107597272,362.28821892001673,362.28821892001673,129
1e+24,4096,exponential,0.8,0.0521653171659342,0.0006235202717090544,0.0007567984667159445,0.0,1.0,0.0006235202717090544,0.0007567984667159445,636.161109333431,524.1281070026214,129
1e+24,4096,power,0.8,0.0521653171659342,0.0012668829821986833,0.0014976750853860426,0.0,1.0,0.0012668829821986833,0.0014976750853860426,313.0986470857076,264.8500676901298,129
1e+24,4096,logarithmic,0.8,0.0521653171659342,0.001058309846239615,0.001058309846239615,1.0,0.0,0.0010843300936237829,0.001033110550696878,374.8045519483011,374.8045519483011,129
1e+24,8192,exponential,0.8,0.0521653171659342,0.0005859060017741572,0.0007111612460471315,0.0,1.0,0.0005859060017741572,0.0007111612460471315,677.0016803739967,557.7628842222177,129
1e+24,8192,power,0.8,0.0521653171659342,0.0011904574341764299,0.0014073948754729515,0.0,1.0,0.0011904574341764299,0.0014073948754729515,333.1991017526193,281.83941454882586,129
1e+24,8192,logarithmic,0.8,0.0521653171659342,0.0009944850480250432,0.0009944850480250432,1.0,0.0,0.0010189171685102126,0.0009708234674751751,398.8590361715781,398.8590361715781,129
1e+24,32768,exponential,0.8,0.0521653171659342,0.0004461557372128002,0.0005415836189897288,0.0,1.0,0.0004461557372128002,0.0005415836189897288,889.0602869309784,732.4064721201196,129
1e+24,32768,power,0.8,0.0521653171659342,0.0009065095980535326,0.0010718956458238677,0.0,1.0,0.0009065095980535326,0.0010718956458238677,437.5677307708883,370.05407129668737,129
1e+24,32768,logarithmic,0.8,0.0521653171659342,0.0007573327077135336,0.0007573327077135336,1.0,0.0,0.0007758851063121231,0.0007393645572105024,523.7583742287723,523.7583742287723,129
1e+24,131072,exponential,0.8,0.0521653171659342,0.00026607682871661835,0.00032302507205428615,0.0,1.0,0.00026607682871661835,0.00032302507205428615,1490.7699766850844,1227.9521995607001,129
1e+24,131072,power,0.8,0.0521653171659342,0.000540621085717914,0.0006394014777651978,0.0,1.0,0.000540621085717914,0.0006394014777651978,733.7104641702483,620.360386292345,129
1e+24,131072,logarithmic,0.8,0.0521653171659342,0.00045169558989878114,0.00045169558989878114,1.0,0.0,0.0004627196992370383,0.00044101800037060757,878.1563438137625,878.1563438137625,129
1e+19,2048,exponential,0.5,0.1115116258349447,0.11674755189776917,0.15131025226811073,0.0,1.0,0.11674755189776917,0.15131025226811073,3.397581716228636,2.6214968371043548,129
1e+19,2048,power,0.5,0.1115116258349447,0.23721038981978224,0.2554541551867814,0.0,1.0,0.23721038981978224,0.2554541551867814,1.672183701749622,1.5527613847278678,129
1e+19,2048,logarithmic,0.5,0.1115116258349447,0.17403625353807142,0.17403625353807142,1.0,0.0,0.2030292993244107,0.15056513028115368,2.2791765490145006,2.2791765490145006,129
1e+19,4096,exponential,0.5,0.1115116258349447,0.11284765136851195,0.14692487143218105,0.0,1.0,0.11284765136851195,0.14692487143218105,3.514998698971548,2.6997426907765445,129
1e+19,4096,power,0.5,0.1115116258349447,0.22928648126867582,0.24874760028958262,0.0,1.0,0.22928648126867582,0.24874760028958262,1.7299726767471846,1.5946258266634066,129
1e+19,4096,logarithmic,0.5,0.1115116258349447,0.16873741273436976,0.16873741273436976,1.0,0.0,0.19624719504025978,0.14636114561208988,2.350749257763863,2.350749257763863,129
1e+19,8192,exponential,0.5,0.1115116258349447,0.10604004267848552,0.13917804096538303,0.0,1.0,0.10604004267848552,0.13917804096538303,3.7406562438397866,2.850013874250272,129
1e+19,8192,power,0.5,0.1115116258349447,0.21545462368492319,0.2368203654684125,0.0,1.0,0.21545462368492319,0.2368203654684125,1.8410342788576286,1.674937655626671,129
1e+19,8192,logarithmic,0.5,0.1115116258349447,0.15941517684204135,0.15941517684204135,1.0,0.0,0.18440845409928378,0.13891487813445605,2.4882157119541355,2.4882157119541355,129
1e+19,32768,exponential,0.5,0.1115116258349447,0.08074737802998765,0.10931314411312724,0.0,1.0,0.08074737802998765,0.10931314411312724,4.912349569976186,3.628651896901025,129
1e+19,32768,power,0.5,0.1115116258349447,0.16406439970742284,0.18982124689643817,0.0,1.0,0.16406439970742284,0.18982124689643817,2.417705172174339,2.089646729371249,129
1e+19,32768,logarithmic,0.5,0.1115116258349447,0.12393009351371981,0.12393009351371981,1.0,0.0,0.14042336063772284,0.10996049476299315,3.2006701237452204,3.2006701237452204,129
1e+19,131072,exponential,0.5,0.1115116258349447,0.04815584443141092,0.06802539972671691,0.0,1.0,0.04815584443141092,0.06802539972671691,8.23699288063118,5.831047657725512,129
1e+19,131072,power,0.5,0.1115116258349447,0.09784416413012638,0.12182677860325439,0.0,1.0,0.09784416413012638,0.12182677860325439,4.053990866688617,3.255929051806335,129
1e+19,131072,logarithmic,0.5,0.1115116258349447,0.0760390179690882,0.0760390179690882,1.0,0.0,0.08374520231350138,0.06922423871388067,5.2165238102307745,5.2165238102307745,129
1e+22,2048,exponential,0.5,0.1115116258349447,0.005160153421785166,0.00775262819915684,0.0,1.0,0.005160153421785166,0.00775262819915684,76.86968105787234,51.16450028977969,129
1e+22,2048,power,0.5,0.1115116258349447,0.010484519673554984,0.014631008067597744,0.0,1.0,0.010484519673554984,0.014631008067597744,37.83285835619202,27.110869320123445,129
1e+22,2048,logarithmic,0.5,0.1115116258349447,0.008489972378630995,0.008489972378630995,1.0,0.0,0.008973741347046791,0.008039109967189473,46.72092323182275,46.72092323182275,129
1e+22,4096,exponential,0.5,0.1115116258349447,0.004987780770422944,0.007495615723971415,0.0,1.0,0.004987780770422944,0.007495615723971415,79.52621937485019,52.91884781043066,129
1e+22,4096,power,0.5,0.1115116258349447,0.010134288913601179,0.014149449881338544,0.0,1.0,0.010134288913601179,0.014149449881338544,39.14032362053146,28.033552616449157,129
