C,L_ctx,cost,shadow_price,loss_drop_per_log_budget,equivalent_compute_multiplier,equivalent_no_quality_C,share_quality,C_quality,N_change_pct,D_change_pct
1e+19,2048,exponential,2.030778176752062e-20,0.20307781767520622,1.2106346423905097,1.2106346423905096e+19,0.08644835939915457,8.644835939915457e+17,11.07493390252181,-17.75357333072387
1.0592537251772854e+19,2048,exponential,1.8979875214549846e-20,0.20104503524411954,1.2134370599271107,1.285337725995965e+19,0.08459930673722227,8.961213080881851e+17,10.814333941001752,-17.393295550542874
1.1220184543019653e+19,2048,exponential,1.7739223082409177e-20,0.1990373566344249,1.216183332618502,1.3645801430124247e+19,0.08278273602235321,9.288375751468837e+17,10.559417612557343,-17.038522471968143
1.1885022274370165e+19,2048,exponential,1.6580058992819278e-20,0.1970543704400285,1.2188742626830604,1.4486347761644685e+19,0.0809983524243704,9.626672227509268e+17,10.310078351808016,-16.68923988570742
1.2589254117941713e+19,2048,exponential,1.5497000152854736e-20,0.19509567299006986,1.221510654559818,1.5377908038026867e+19,0.07924585320667403,9.976461838119255e+17,10.066210988753156,-16.3454307619065
1.3335214321633241e+19,2048,exponential,1.448502165529431e-20,0.19316086822684833,1.2240933142196537,1.6323546694797425e+19,0.07752492815755732,1.0338115322502465e+18,9.827711747861944,-16.00707533994482
1.4125375446227497e+19,2048,exponential,1.3539432513659856e-20,0.19124956758430517,1.2266230485009089,1.7326511091071457e+19,0.07583526001929118,1.0712015198347734e+18,9.59447824653228,-15.674151219388577
1.496235656094436e+19,2048,exponential,1.2655853314027657e-20,0.18936138986749113,1.2291006644694036,1.8390242391084853e+19,0.07417652491369661,1.1098556142105012e+18,9.36640949380607,-15.346633452501068
1.5848931924611109e+19,2048,exponential,1.1830195373691312e-20,0.18749596113248287,1.2315269688028203,1.9518387091878568e+19,0.07254839276432752,1.149814538161776e+18,9.143405888121459,-15.024494637232944
1.6788040181225658e+19,2048,exponential,1.1058641304349347e-20,0.18565291456717856,1.2339027671993053,2.0714809235467465e+19,0.07095052771402603,1.1911203101422336e+18,8.925369214987388,-14.707705011098271
1.7782794100389229e+19,2048,exponential,1.0337626884450805e-20,0.18383189037283687,1.236228863810226,2.1983603346095366e+19,0.0693825885374893,1.233816286114198e+18,8.712202644222234,-14.39623254547584
1.8836490894897943e+19,2048,exponential,9.663824151859487e-21,0.18203253564639604,1.2385060606967682,2.3329108135590593e+19,0.06784422904823648,1.2779472027384768e+18,8.50381072679738,-14.090043040161415
1.9952623149688828e+19,2048,exponential,9.034125634073319e-21,0.18025450426360856,1.2407351573102778,2.475592102238186e+19,0.0663350984994402,1.3235592219568192e+18,8.30009939128471,-13.789100217973093
2.1134890398366433e+19,2048,exponential,8.445629638883753e-21,0.1784974567630032,1.242916949996033,2.626891351243805e+19,0.06485484197813059,1.3706999770111644e+18,8.100975939893807,-13.493365819210757
2.238721138568347e+19,2048,exponential,7.895626533626421e-21,0.1767610602307059,1.245052231520111,2.7873247493257638e+19,0.06340310079229369,1.419418619944874e+18,7.9063490441026785,-13.202799695789235
2.3713737056616554e+19,2048,exponential,7.381585946079562e-21,0.1750449881861469,1.2471417906190654,2.9574392495058457e+19,0.06197951285044397,1.4697658706326152e+18,7.7161287398781475,-12.917359904869407
2.511886431509572e+19,2048,exponential,6.90114482462861e-21,0.1733489204686711,1.2491864115721227,3.137814397654147e+19,0.060583713033271355,1.5217940673874394e+18,7.530226422485109,-12.637002801819452
2.660725059798814e+19,2048,exponential,6.452096299572664e-21,0.17167254312508182,1.2511868737953642,3.3290642695986614e+19,0.059215333557008996,1.5755572191947948e+18,7.348554840868116,-12.361683132335033
2.8183829312644493e+19,2048,exponential,6.0323792914071974e-21,0.1700155482981518,1.25314395145763,3.53183952320547e+19,0.057874004328181815,1.631111059624725e+18,7.171028091641207,-12.091354123596453
2.9853826189179695e+19,2048,exponential,5.6400688156058024e-21,0.1683776341161082,1.2550584131176534,3.7468295722482115e+19,0.05655935328946044,1.6885131024759608e+18,6.9975616126465745,-11.825967574290065
3.162277660168379e+19,2048,exponential,5.273366936863503e-21,0.16675850458314012,1.256931021382016,3.974764889288973e+19,0.055271006756346115,1.7478226992060887e+18,6.828072176120958,-11.565473943390414
3.3496543915782656e+19,2048,exponential,4.9305943289605364e-21,0.16515786947093553,1.2587625325834,4.216419445222166e+19,0.05400858974446824,1.809101098205069e+18,6.662477881451601,-11.309822437564254
3.5481338923357606e+19,2048,exponential,4.610182399390834e-21,0.16357544421128417,1.2605536964787294,4.472613293585305e+19,0.05277172628729593,1.8724115059702067e+18,6.500698147536577,-11.05896109709078
3.758374042884435e+19,2048,exponential,4.3106659406744145e-21,0.16201094978976735,1.2623052559666785,4.744215308221757e+19,0.05156003974409868,1.9378191502431032e+18,6.342653704754908,-10.812836880194043
3.981071705534986e+19,2048,exponential,4.030676272860392e-21,0.1604641126405572,1.2640179468240724,5.032146083389741e+19,0.05037315309801837,2.0053913451710295e+18,6.188266586556579,-10.571395745694911
4.216965034285823e+19,2048,exponential,3.768934844138882e-21,0.15893466454235153,1.2656924974605823,5.337381005949173e+19,0.049210689244153526,2.0751975585570084e+18,6.037460120668348,-10.334582733887743
4.466835921509617e+19,2048,exponential,3.5242472587231744e-21,0.15742234251546472,1.2673296286913234,5.660953509831848e+19,0.048072271267565456,2.1473094812651602e+18,5.8901589199422455,-10.102342045578105
4.731512589614812e+19,2048,exponential,3.2954977032575826e-21,0.15592688872009952,1.2689300535267531,6.00395852360243e+19,0.04695752271116191,2.2218010988498606e+18,5.746288872847649,-9.874617119206563
5.011872336272715e+19,2048,exponential,3.081643744953771e-21,0.15444805035581655,1.2704944769793247,6.367556122559949e+19,0.04586606783342917,2.2987487654797146e+18,5.605777133608214,-9.65135070599038
5.308844442309901e+19,2048,exponential,2.8817114764745294e-21,0.15298557956222464,1.2720235958864339,6.75297539750875e+19,0.04479753185600263,2.378231280229403e+18,5.468552112018288,-9.43248494304958
5.6234132519034905e+19,2048,exponential,2.6947909842765573e-21,0.15153923332090843,1.2735180987490575,7.161518553044388e+19,0.043751541201107254,2.460329965815081e+18,5.334543462920149,-9.21796142444844
5.956621435290085e+19,2048,exponential,2.520032118698884e-21,0.1501087733586126,1.2749786655855915,7.594565248964683e+19,0.04272772371889432,2.545128749851185e+18,5.203682075384153,-9.00772127013878
6.309573444801943e+19,2048,exponential,2.356640545553803e-21,0.1486939660516984,1.2764059678003352,8.053577199219719e+19,0.04172570890474718,2.632714248709288e+18,5.075900061581007,-8.801705192756415
6.683439175686135e+19,2048,exponential,2.203874060345096e-21,0.14729458233188883,1.2778006680661036,8.540103043670912e+19,0.040745128106630224,2.723175854062027e+18,4.951130745371657,-8.599853562256843
7.0794578438414025e+19,2048,exponential,2.0610391475138817e-21,0.14591039759331348,1.2791634202204152,9.055783508834414e+19,0.039785614722579,2.816605822198139e+18,4.829308650624231,-8.402106468370462
7.498942093324558e+19,2048,exponential,1.9274877683018704e-21,0.1445411916008711,1.2804948691747722,9.602356874740823e+19,0.03884680438844993,2.9130993661969234e+18,4.710369489271593,-8.208403780866448
7.94328234724279e+19,2048,exponential,1.802614361928296e-21,0.14318674839991358,1.2817956508364707,1.018166476606192e+20,0.03792833515605576,3.012754751054058e+18,4.594250149117696,-8.018685207615118
8.413951416451965e+19,2048,exponential,1.6858530458105338e-21,0.141846856227274,1.2830663920424743,1.0795658286727689e+20,0.03702984766182841,3.115673391852416e+18,4.480888681427331,-7.832890350467469
8.91250938133744e+19,2048,exponential,1.5766750015195437e-21,0.14052130742363156,1.2843077105048046,1.1446404518398081e+20,0.03615098528617766,3.221959955076502e+18,4.3702242882735165,-7.6509587589230215
9.440608762859264e+19,2048,exponential,1.474586034058608e-21,0.13920989834723585,1.2855202147669555,1.2136093404361644e+20,0.03529139430369726,3.331722463170059e+18,4.26219730970514,-7.472829981638629
1e+20,2048,exponential,1.3791242928898898e-21,0.13791242928898897,1.2867045041708765,1.2867045041708764e+20,0.0344507240244136,3.44507240244136e+18,4.156749210707522,-7.298443615756966
1.0592537251772853e+20,2048,exponential,1.2898581439118707e-21,0.1366287043888908,1.2878611688340402,1.36417174059863e+20,0.03362862692625592,3.562124834423375e+18,4.053822567995269,-7.127739354096619
1.1220184543019654e+20,2048,exponential,1.206384182317795e-21,0.13535853155385527,1.2889907896360258,1.4462714533968834e+20,0.032824758778950275,3.682998510799266e+18,3.953361056638194,-6.960657030214568
1.1885022274370165e+20,2048,exponential,1.1283253769417368e-21,0.13410172237689655,1.290093938214327,1.5332795191707206e+20,0.032038778759541864,3.807815992007728e+18,3.855309436540799,-6.797136661374436
