C,L_ctx,cost,shadow_relative_error,equivalent_loss_error
1e+19,2048,exponential,7.76183561868038e-11,4.440892098500626e-16
1e+19,2048,power,7.503198062863703e-11,0.0
1e+19,2048,logarithmic,6.491140958075903e-11,0.0
1e+19,4096,exponential,7.491429698802676e-11,4.440892098500626e-16
1e+19,4096,power,7.662115386608548e-11,0.0
1e+19,4096,logarithmic,7.123701628586332e-11,0.0
1e+19,8192,exponential,7.14532877310603e-11,8.881784197001252e-16
1e+19,8192,power,6.971578869752193e-11,4.440892098500626e-16
1e+19,8192,logarithmic,6.531042373580931e-11,4.440892098500626e-16
1e+19,32768,exponential,4.708988754487109e-11,0.0
1e+19,32768,power,7.224376652459341e-11,0.0
1e+19,32768,logarithmic,6.695799470435304e-11,4.440892098500626e-16
1e+19,131072,exponential,5.343392395218416e-11,0.0
1e+19,131072,power,5.030309502274122e-11,4.440892098500626e-16
1e+19,131072,logarithmic,5.981393158549508e-11,0.0
1e+22,2048,exponential,4.981037804441257e-11,4.440892098500626e-16
1e+22,2048,power,5.156497451253017e-11,4.440892098500626e-16
1e+22,2048,logarithmic,2.1484369838731254e-11,4.440892098500626e-16
1e+22,4096,exponential,3.818123595067391e-11,0.0
1e+22,4096,power,6.659917062279419e-11,0.0
1e+22,4096,logarithmic,3.529421199743865e-11,4.440892098500626e-16
1e+22,8192,exponential,2.6270985387100154e-11,0.0
1e+22,8192,power,4.168132505810718e-11,4.440892098500626e-16
1e+22,8192,logarithmic,4.624611804615597e-11,4.440892098500626e-16
1e+22,32768,exponential,5.99054139627242e-11,0.0
1e+22,32768,power,3.293032513340677e-11,0.0
1e+22,32768,logarithmic,6.782374661895574e-11,0.0
1e+22,131072,exponential,1.4026557693114228e-11,0.0
1e+22,131072,power,2.738742566066321e-11,0.0
1e+22,131072,logarithmic,4.34485780687055e-11,0.0
1e+24,2048,exponential,2.5581536888807932e-11,0.0
1e+24,2048,power,4.696887323518695e-11,0.0
1e+24,2048,logarithmic,4.214895099607929e-11,0.0
1e+24,4096,exponential,5.702860406131549e-11,0.0
1e+24,4096,power,3.569233797406923e-11,0.0
1e+24,4096,logarithmic,4.9194870399560386e-11,0.0
1e+24,8192,exponential,4.8374859673572246e-11,0.0
1e+24,8192,power,2.6142199516243636e-11,0.0
1e+24,8192,logarithmic,3.179834173749896e-11,0.0
1e+24,32768,exponential,4.0666581213599784e-11,0.0
1e+24,32768,power,3.827005379264392e-11,0.0
1e+24,32768,logarithmic,3.811950755050475e-11,0.0
1e+24,131072,exponential,4.987255053379158e-11,0.0
1e+24,131072,power,3.489963873448687e-11,0.0
1e+24,131072,logarithmic,2.7740254537889086e-11,0.0
