domain,requested_keep,n_total,n_keep,actual_doc_keep,word_keep,threshold,baseline_mean,selected_mean,gain,selected_word_mean
arxiv,1.0,17523,17523,1.0,1.0,-1.5763591307472575,0.2225736504137245,0.2225736504137245,0.0,0.1546002152017541
arxiv,0.8,17523,14019,0.8000342407122069,0.7033030860840915,0.0624597113983713,0.2225736504137245,0.3003419555701009,0.0777683051563764,0.2630230339655061
arxiv,0.5,17523,8762,0.500028533926839,0.370973720312262,0.22941800783006,0.2225736504137245,0.3884975189417549,0.1659238685280304,0.3640431010084529
arxiv,0.2,17523,3505,0.2000228271414712,0.1162277640012462,0.3953997160703071,0.2225736504137245,0.5091098832023706,0.2865362327886461,0.4966814651506213
arxiv,0.1,17523,1753,0.1000399474975746,0.0510172636312486,0.4846742486481041,0.2225736504137245,0.5820117116085802,0.3594380611948557,0.5755088697904619
arxiv,0.05,17523,877,0.0500485076756263,0.023298082568451,0.5623030485274866,0.2225736504137245,0.6459238659758932,0.4233502155621687,0.6442107292857893
book,1.0,171,171,1.0,1.0,-1.1196605830061346,-0.4208437198419146,-0.4208437198419146,0.0,-0.5199190256766093
book,0.8,171,137,0.8011695906432749,0.6337972341790611,-0.6140187842893505,-0.4208437198419146,-0.3391060722177959,0.0817376476241186,-0.3868322469882186
book,0.5,171,86,0.5029239766081871,0.3331668633684923,-0.4071866636953873,-0.4208437198419146,-0.2331182856153523,0.1877254342265622,-0.2590672161340963
book,0.2,171,35,0.2046783625730994,0.107900578363247,-0.2184839329550381,-0.4208437198419146,-0.1230746311788138,0.2977690886631007,-0.1551000489685946
book,0.1,171,18,0.1052631578947368,0.0454180401838389,-0.1535299821768294,-0.4208437198419146,-0.0559366149769069,0.3649071048650076,-0.1005522983433995
book,0.05,171,9,0.0526315789473684,0.0226331483445281,-0.1066811815597486,-0.4208437198419146,0.0287848576987784,0.449628577540693,-0.0574488527983217
c4,1.0,10000,10000,1.0,1.0,-1.688451012245448,-0.0209831658894618,-0.0209831658894618,0.0,0.1044839272828957
c4,0.8,10000,8000,0.8,0.9038591755889068,-0.2922964470851079,-0.0209831658894618,0.1134501672796798,0.1344333331691416,0.1722247089361633
c4,0.5,10000,5000,0.5,0.6571788482005495,0.0175049499050938,-0.0209831658894618,0.2576608596932944,0.2786440255827562,0.2804309348611792
c4,0.2,10000,2000,0.2,0.3018757221706218,0.2791137700640431,-0.0209831658894618,0.4261989956457618,0.4471821615352236,0.4327246516792079
c4,0.1,10000,1000,0.1,0.1636879258934072,0.3975480341017772,-0.0209831658894618,0.5172644322751008,0.5382475981645626,0.5146240115137192
c4,0.05,10000,500,0.05,0.0844784934820641,0.4925275346363736,-0.0209831658894618,0.5931538692427045,0.6141370351321663,0.5855085044376689
commoncrawl,1.0,9640,9640,1.0,1.0,-1.8403396705552213,0.0728085955201945,0.0728085955201945,0.0,0.0941990093131915
commoncrawl,0.8,9640,7712,0.8,0.8143634655365947,-0.1658415676862141,0.0728085955201945,0.1909182661384046,0.11810967061821,0.2080753401489284
commoncrawl,0.5,9640,4820,0.5,0.5298886697915265,0.100517450186724,0.0728085955201945,0.3196229286554781,0.2468143331352835,0.3324309169592052
commoncrawl,0.2,9640,1928,0.2,0.2288475870759562,0.3408313926917665,0.0728085955201945,0.4752867171448925,0.4024781216246979,0.4858096823442092
commoncrawl,0.1,9640,964,0.1,0.1204765432969928,0.4485502273564969,0.0728085955201945,0.559695974181723,0.4868873786615284,0.5719543558416583
commoncrawl,0.05,9640,482,0.05,0.0655421701441294,0.5365476573550731,0.0728085955201945,0.6283630568659524,0.5555544613457578,0.6379280775101343
github,1.0,203752,203752,1.0,1.0,-2.000535991628798,-0.3444984288722766,-0.3444984288722766,0.0,-0.3127649266531828
github,0.8,203752,163002,0.8000019631709137,0.8102920344426461,-0.5835404909885733,-0.3444984288722766,-0.2362847219698206,0.1082137069024559,-0.200683280730324
github,0.5,203752,101876,0.5,0.5344361627138282,-0.326069590739934,-0.3444984288722766,-0.1124981683621408,0.2320002605101357,-0.0761994896968323
github,0.2,203752,40751,0.2000029447563704,0.2567729805507919,-0.102886108871347,-0.3444984288722766,0.0475004867000413,0.3919989155723179,0.0771293212476989
github,0.1,203752,20376,0.1000039263418273,0.1481820166332358,0.0139340213341159,-0.3444984288722766,0.1440527237305778,0.4885511526028544,0.1685088018225012
github,0.05,203752,10188,0.0500019631709136,0.0834038838223516,0.1131296007257207,-0.3444984288722766,0.2289858479074983,0.5734842767797749,0.2522088342235317
stackexchange,1.0,10000,10000,1.0,1.0,-1.7744629421413105,-0.0726015862790225,-0.0726015862790225,0.0,-0.057405256155265
stackexchange,0.8,10000,8000,0.8,0.8031042374452323,-0.2750889527358331,-0.0726015862790225,0.0219780501094377,0.0945796363884602,0.0468208588637246
stackexchange,0.5,10000,5000,0.5,0.5403881769404949,-0.0570195460653578,-0.0726015862790225,0.1304390273259636,0.2030406136049862,0.1467625367800575
stackexchange,0.2,10000,2000,0.2,0.2399427592336251,0.1427785209205611,-0.0726015862790225,0.2664787384628588,0.3390803247418813,0.280212155753173
stackexchange,0.1,10000,1000,0.1,0.1318408692835029,0.2446257918504337,-0.0726015862790225,0.3452724904910431,0.4178740767700656,0.3563380107411278
stackexchange,0.05,10000,500,0.05,0.0722543402672506,0.3224389649871659,-0.0726015862790225,0.4101531666228311,0.4827547529018536,0.419378574033012
wikipedia,1.0,10000,10000,1.0,1.0,-1.814631413882379,-0.2057795034410034,-0.2057795034410034,0.0,0.042145534953983
wikipedia,0.8,10000,8000,0.8,0.9411604296948956,-0.4765590360196541,-0.2057795034410034,-0.0786737924886423,0.127105710952361,0.088481072487592
wikipedia,0.5,10000,5000,0.5,0.7860093344860981,-0.1900288900508961,-0.2057795034410034,0.0647464433412224,0.2705259467822258,0.1665516584883691
wikipedia,0.2,10000,2000,0.2,0.4800816942837635,0.0858188300085895,-0.2057795034410034,0.2504510838858922,0.4562305873268957,0.2991501559523528
wikipedia,0.1,10000,1000,0.1,0.3054095193474638,0.2173766970646005,-0.2057795034410034,0.3536100652630505,0.5593895687040539,0.3829706238520583
wikipedia,0.05,10000,500,0.05,0.1828062827932194,0.3241923132542885,-0.2057795034410034,0.4432176750268835,0.6489971784678868,0.4614241148566605
