C,L_ctx,cost,keep,u_max,lambda_on,lambda_full,onset_competitor_t,full_competitor_t,local_lambda_on,local_lambda_full,sQ_on,sQ_full,grid
1e+19,2048,exponential,0.5,0.1115116258349447,0.11674755189776917,0.15131025226811073,0.0,1.0,0.11674755189776917,0.15131025226811073,3.397581716228636,2.6214968371043548,129
1.211527658628585e+19,2048,exponential,0.5,0.1115116258349447,0.10705831821444227,0.1403443390475309,0.0,1.0,0.10705831821444227,0.1403443390475309,3.70507732942142,2.8263295152074237,129
1.4677992676220735e+19,2048,exponential,0.5,0.1115116258349447,0.09817322344318688,0.130076228078107,0.0,1.0,0.09817322344318688,0.130076228078107,4.040402605012376,3.049437653620551,129
1.7782794100389229e+19,2048,exponential,0.5,0.1115116258349447,0.09002552965497385,0.12047405205221097,0.0,1.0,0.09002552965497385,0.12047405205221097,4.406076245955185,3.292487809494532,129
2.1544346900318777e+19,2048,exponential,0.5,0.1115116258349447,0.08255403770406647,0.11150581834134503,0.0,1.0,0.08255403770406647,0.11150581834134503,4.804844908546194,3.5572973109622725,129
2.610157215682544e+19,2048,exponential,0.5,0.1115116258349447,0.0757026275475831,0.10313963661440098,0.0,1.0,0.0757026275475831,0.10313963661440098,5.239703833172673,3.8458478307934074,129
3.162277660168379e+19,2048,exponential,0.5,0.1115116258349447,0.06941983671533773,0.09534392450002999,0.0,1.0,0.06941983671533773,0.09534392450002999,5.713919342231408,4.160300195553515,129
3.831186849557277e+19,2048,exponential,0.5,0.1115116258349447,0.06365847376374202,0.08808759029107799,0.0,1.0,0.06365847376374202,0.08808759029107799,6.2310533742051435,4.5030105424792195,129
4.641588833612792e+19,2048,exponential,0.5,0.1115116258349447,0.05837526381034641,0.08134019230736515,0.0,1.0,0.05837526381034641,0.08134019230736515,6.794990238177057,4.876547946228519,129
5.6234132519034905e+19,2048,exponential,0.5,0.1115116258349447,0.05353052348654417,0.07507207508354524,0.0,1.0,0.05353052348654417,0.07507207508354524,7.409965789742773,5.2837136485289,129
6.8129206905795944e+19,2048,exponential,0.5,0.1115116258349447,0.049087862866935415,0.06925448302011301,0.0,1.0,0.049087862866935415,0.06925448302011301,8.080599247466852,5.727562035617474,129
8.254041852680207e+19,2048,exponential,0.5,0.1115116258349447,0.045013912136479504,0.06385965252238548,0.0,1.0,0.045013912136479504,0.06385965252238548,8.81192788886393,6.21142352134266,129
1e+20,2048,exponential,0.5,0.1115116258349447,0.04127807094237013,0.05886088395387958,0.0,1.0,0.04127807094237013,0.05886088395387958,9.609444886513844,6.738929507975391,129
1.211527658628585e+20,2048,exponential,0.5,0.1115116258349447,0.03785227854795835,0.054232594950259255,0.0,1.0,0.03785227854795835,0.054232594950259255,10.479140568506386,7.314039612268601,129
1.4677992676220735e+20,2048,exponential,0.5,0.1115116258349447,0.03471080306229912,0.0499503567842647,0.0,1.0,0.03471080306229912,0.0499503567842647,11.427547413132105,7.941071361221376,129
1.778279410038923e+20,2048,exponential,0.5,0.1115116258349447,0.031830048162178756,0.04599091554909959,0.0,1.0,0.031830048162178756,0.04599091554909959,12.46178911578383,8.624732580477627,129
2.1544346900318778e+20,2048,exponential,0.5,0.1115116258349447,0.02918837585486589,0.04233219994720767,0.0,1.0,0.02918837585486589,0.04233219994720767,13.58963409662236,9.370156718455142,129
2.610157215682544e+20,2048,exponential,0.5,0.1115116258349447,0.026765943950321742,0.03895331744322689,0.0,1.0,0.026765943950321742,0.03895331744322689,14.819553850913083,10.182941371307633,129
3.1622776601683794e+20,2048,exponential,0.5,0.1115116258349447,0.024544557022083618,0.03583454047400935,0.0,1.0,0.024544557022083618,0.03583454047400935,16.160786580317,11.06919029783596,129
3.8311868495572776e+20,2048,exponential,0.5,0.1115116258349447,0.022507529737357698,0.032957284314232754,0.0,1.0,0.022507529737357698,0.032957284314232754,17.623406583084257,12.035559239661477,129
4.641588833612792e+20,2048,exponential,0.5,0.1115116258349447,0.020639561529761673,0.030304078081687714,0.0,1.0,0.020639561529761673,0.030304078081687714,19.218399924356078,13.089305890549742,129
5.6234132519034906e+20,2048,exponential,0.5,0.1115116258349447,0.01892662167335782,0.02785853023913934,0.0,1.0,0.01892662167335782,0.02785853023913934,20.957746954950466,14.238344389936081,129
