C,L_ctx,cost,keep,probe,lambda_value,state,t,tie_log_objective_gap
1e+19,2048,exponential,0.8,below,0.1154606670505244,R0,0.0,0.0
1e+19,2048,exponential,0.8,above,0.13265180942974558,R2,1.0,0.0
1e+19,2048,exponential,0.8,middle,0.12398268079631852,R1,0.5103415466613844,0.0
1e+19,2048,exponential,0.8,on_tie,0.1166269364146711,R0,0.0,0.0
1e+19,2048,exponential,0.8,full_tie,0.13133842517796593,R2,1.0,1.6653345369377348e-16
1e+19,2048,power,0.8,below,0.2335622285550717,R0,0.0,0.0
1e+19,2048,power,0.8,above,0.24524654263978826,R2,1.0,0.0
1e+19,2048,power,0.8,middle,0.2393699010171081,R1,0.5103729543626515,0.0
1e+19,2048,power,0.8,on_tie,0.2359214429849209,R0,0.0,0.0
1e+19,2048,power,0.8,full_tie,0.2428183590492953,R2,1.0,1.1102230246251565e-16
1e+19,2048,logarithmic,0.8,below,0.17744231473012073,R0,0.0,0.0
1e+19,2048,logarithmic,0.8,above,0.18102700795699184,R2,1.0,0.0
1e+19,2048,logarithmic,0.8,middle,0.17923466134355628,R0,0.0,0.0
1e+19,2048,logarithmic,0.8,on_tie,0.17923466134355628,R0,0.0,0.0
1e+19,2048,logarithmic,0.8,full_tie,0.17923466134355628,R0,0.0,0.0
1e+19,4096,exponential,0.8,below,0.11160375434254845,R0,0.0,0.0
1e+19,4096,exponential,0.8,above,0.1285073997876976,R2,1.0,0.0
1e+19,4096,exponential,0.8,middle,0.11998305714361164,R1,0.510557363731392,0.0
1e+19,4096,exponential,0.8,on_tie,0.11273106499247318,R0,0.0,0.0
1e+19,4096,exponential,0.8,full_tie,0.1272350492947501,R2,1.0,5.551115123125783e-17
1e+19,4096,power,0.8,below,0.22576018522352706,R0,0.0,0.0
1e+19,4096,power,0.8,above,0.2380036523119559,R2,1.0,0.0
1e+19,4096,power,0.8,middle,0.23184388582088142,R1,0.5054632382798452,0.0
1e+19,4096,power,0.8,on_tie,0.22804059113487582,R0,0.0,0.0
1e+19,4096,power,0.8,full_tie,0.23564718050688702,R2,1.0,0.0
1e+19,4096,logarithmic,0.8,below,0.1717935516587985,R0,0.0,0.0
1e+19,4096,logarithmic,0.8,above,0.17526412845998635,R2,1.0,0.0
1e+19,4096,logarithmic,0.8,middle,0.17352884005939243,R0,0.0,0.0
1e+19,4096,logarithmic,0.8,on_tie,0.17352884005939243,R0,0.0,0.0
1e+19,4096,logarithmic,0.8,full_tie,0.17352884005939243,R0,0.0,0.0
1e+19,8192,exponential,0.8,below,0.10487118455762368,R0,0.0,0.0
1e+19,8192,exponential,0.8,above,0.12122954492631444,R2,1.0,0.0
1e+19,8192,exponential,0.8,middle,0.11297987092721833,R1,0.5109842920027647,0.0
1e+19,8192,exponential,0.8,on_tie,0.10593048945214513,R0,0.0,0.0
1e+19,8192,exponential,0.8,full_tie,0.12002925240229152,R2,1.0,5.551115123125783e-17
1e+19,8192,power,0.8,below,0.21214105376483325,R0,0.0,0.0
1e+19,8192,power,0.8,above,0.2252270764486055,R2,1.0,0.0
1e+19,8192,power,0.8,middle,0.21864049904320484,R1,0.4998355018136821,0.0
1e+19,8192,power,0.8,on_tie,0.21428389269175077,R0,0.0,0.0
1e+19,8192,power,0.8,full_tie,0.22299710539465892,R2,1.0,0.0
1e+19,8192,logarithmic,0.8,below,0.16189074727996117,R0,0.0,0.0
1e+19,8192,logarithmic,0.8,above,0.16516126742703108,R2,1.0,0.0
1e+19,8192,logarithmic,0.8,middle,0.16352600735349612,R0,0.0,0.0
1e+19,8192,logarithmic,0.8,on_tie,0.16352600735349612,R0,0.0,0.0
1e+19,8192,logarithmic,0.8,full_tie,0.16352600735349612,R0,0.0,0.0
