C,cost,keep,relative_error
1e+19,exponential,0.8,0.0
1e+19,power,0.8,0.0
1e+19,logarithmic,0.8,0.0
1e+22,exponential,0.8,0.0
1e+22,power,0.8,0.0
1e+22,logarithmic,0.8,0.0
1e+24,exponential,0.8,0.0
1e+24,power,0.8,0.0
1e+24,logarithmic,0.8,0.0
1e+19,exponential,0.5,0.0
1e+19,power,0.5,0.0
1e+19,logarithmic,0.5,0.0
1e+22,exponential,0.5,0.0
1e+22,power,0.5,0.0
1e+22,logarithmic,0.5,0.0
1e+24,exponential,0.5,0.0
1e+24,power,0.5,0.0
1e+24,logarithmic,0.5,0.0
1e+19,exponential,0.2,0.0
1e+19,power,0.2,0.0
1e+19,logarithmic,0.2,0.0
1e+22,exponential,0.2,0.0
1e+22,power,0.2,0.0
1e+22,logarithmic,0.2,0.0
1e+24,exponential,0.2,0.0
1e+24,power,0.2,0.0
1e+24,logarithmic,0.2,0.0
1e+19,exponential,0.1,0.0
1e+19,power,0.1,0.0
1e+19,logarithmic,0.1,0.0
1e+22,exponential,0.1,0.0
1e+22,power,0.1,0.0
1e+22,logarithmic,0.1,0.0
1e+24,exponential,0.1,0.0
1e+24,power,0.1,0.0
1e+24,logarithmic,0.1,0.0
1e+19,exponential,0.05,0.0
1e+19,power,0.05,0.0
1e+19,logarithmic,0.05,0.0
1e+22,exponential,0.05,0.0
1e+22,power,0.05,0.0
1e+22,logarithmic,0.05,0.0
1e+24,exponential,0.05,0.0
1e+24,power,0.05,0.0
1e+24,logarithmic,0.05,0.0
