scenario,L_ctx,cost,from_state,to_state,C_critical,coarse_C_low,coarse_C_high,method,solver_logC_tolerance,state_bisection_relative_bracket,coarse_midpoint_relative_correction,state_at,near_optimal_states_at,t_before,t_after,t_jump_at_probe,state_boundary_relative_offset
keep_20pct,2048,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,2048,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,2048,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,4096,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,4096,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,4096,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,8192,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,8192,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,8192,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,32768,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,32768,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,32768,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,131072,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,131072,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
keep_20pct,131072,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,2048,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,2048,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,2048,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,4096,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,4096,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,4096,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,8192,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,8192,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,8192,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,32768,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,32768,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,32768,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,131072,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,131072,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
main,131072,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,2048,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,2048,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,2048,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,4096,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,4096,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,4096,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,8192,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,8192,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,8192,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,32768,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,32768,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,32768,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,131072,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,131072,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
p_star,131072,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,2048,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,2048,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,2048,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,4096,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,4096,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,4096,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,8192,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,8192,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,8192,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,32768,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,32768,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,32768,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,131072,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,131072,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_0.5,131072,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,2048,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,2048,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,2048,power,R0,R1,1.4865656736487385e+19,1.4125375446227497e+19,1.5848931924611109e+19,boundary_stationary_root_and_global_check,1e-11,1.6768808563952424e-12,0.006504914392350125,R0,R0,0.0,0.00036602046846802896,0.00036602046846802896,2.7318071182946824e-07
sQ_2,2048,power,R1,R2,2.0116231329416327e+19,1.9952623149688828e+19,2.238721138568347e+19,boundary_stationary_root_and_global_check,1e-11,1.6768808563952424e-12,0.05063866348865198,R2,R2,0.9996896342463513,1.0,0.00031036575364873364,3.222213185161138e-08
sQ_2,4096,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,4096,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,4096,power,R0,R1,1.378813822367477e+19,1.2589254117941713e+19,1.4125375446227497e+19,boundary_stationary_root_and_global_check,1e-11,1.6768808563952424e-12,0.0328488077718746,R0,R0,0.0,0.000366020468467317,0.000366020468467317,2.731804205069466e-07
sQ_2,4096,power,R1,R2,1.865813149234717e+19,1.7782794100389229e+19,1.9952623149688828e+19,boundary_stationary_root_and_global_check,1e-11,1.6768808563952424e-12,0.009559338920084537,R2,R2,0.9996896342471117,1.0,0.0003103657528883419,3.222265787528045e-08
sQ_2,8192,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,8192,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,8192,power,R0,R1,1.2013197116972995e+19,1.1220184543019653e+19,1.2589254117941713e+19,boundary_stationary_root_and_global_check,1e-11,1.6768808563952424e-12,0.010669502993644109,R0,R0,0.0,0.00036602046845875735,0.00036602046845875735,2.731808539380154e-07
sQ_2,8192,power,R1,R2,1.6256278245536268e+19,1.5848931924611109e+19,1.7782794100389229e+19,boundary_stationary_root_and_global_check,1e-11,1.6768808563952424e-12,0.03271117334838536,R2,R2,0.9996896342471124,1.0,0.00031036575288756474,3.222229538746291e-08
sQ_2,32768,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,32768,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,32768,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,131072,exponential,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,131072,logarithmic,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
sQ_2,131072,power,R2,R2,,1e+19,1e+24,no_transition_in_window,,,,,,,,,
