tier,loss,score
high,2.0933,6.059841492942702
high,2.125,5.966546774741993
high,2.1911,5.7817388605500195
high,2.2558,5.7817388605500195
high,2.2904,5.342578383077132
high,2.5978,5.342578383077132
medium,1.65,27.513901408289524
medium,2.02,27.513901408289524
medium,2.05,21.09124503907451
medium,2.2,21.09124503907451
medium,2.24,14.254952840369263
medium,2.25,10.843645710547563
medium,2.63,10.843645710547563
medium,2.75,7.311433599740304
medium,2.81,7.311433599740304
medium,2.84,6.905451053426471
