tier,source,Model,actual,prediction,error
medium,"LLaMA 3 Technical Report (Meta, 2024), training loss at convergence",meta-llama/Meta-Llama-3-8B,13.626857071686077,28.058182725818398,14.431325654132321
medium,"LLaMA 3 Technical Report (Meta, 2024), training loss at convergence",meta-llama/Meta-Llama-3-70B,26.705350171613343,28.058182725818398,1.3528325542050545
medium,"LLaMA 2 paper (Touvron et al., 2023), training loss at convergence",meta-llama/Llama-2-7b-hf,8.806357596540016,28.182027972994867,19.37567037645485
medium,"LLaMA 3.1 Technical Report (Meta, 2024), training loss",meta-llama/Llama-3.1-8B,14.42086519266696,27.981509844561753,13.560644651894792
medium,"Qwen2 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2-0.5B,7.224121473565234,6.586780633287707,-0.6373408402775276
medium,"Qwen2 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2-1.5B,10.445452935561454,10.874275924008032,0.4288229884465782
medium,"Qwen2 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2-7B,23.9251621404824,20.924544033109342,-3.0006181073730573
medium,"Qwen2 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2-57B-A14B,25.0338731324107,27.602473846713767,2.5686007143030665
medium,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2.5-0.5B,6.550067614297009,7.69211659246195,1.142048978164941
medium,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2.5-1.5B,13.852701161320264,10.612179906641972,-3.240521254678292
medium,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2.5-7B,26.019159924095096,20.801367692896832,-5.217792231198263
medium,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2.5-14B,31.951062693148973,26.519344894983266,-5.431717798165707
medium,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2.5-32B,38.00796730514634,26.519344894983266,-11.488622410163071
medium,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss",Qwen/Qwen2.5-72B,38.441143572535815,26.519344894983266,-11.921798677552548
medium,"Gemma 2 Technical Report (Google, 2024), final loss",google/gemma-2-2b,10.359615568466916,10.88087879839992,0.5212632299330036
medium,"Gemma 2 Technical Report (Google, 2024), final loss",google/gemma-2-9b,21.205286776100692,21.084536701602385,-0.12075007449830721
medium,"Gemma 2 Technical Report (Google, 2024), final loss",google/gemma-2-27b,23.926167340782825,27.64203476784333,3.7158674270605054
medium,"Gemma Technical Report (Google, 2024), final loss",google/gemma-7b,15.442818570272308,13.067087110466217,-2.375731459806092
medium,"Gemma Technical Report (Google, 2024), final loss",google/gemma-1.1-2b-it,8.053373854341979,11.058282007178763,3.0049081528367836
medium,"Gemma Technical Report (Google, 2024), final loss",google/gemma-1.1-7b-it,17.693584228972615,21.291107439668743,3.597523210696128
medium,"Phi-2 model card (Microsoft, 2023), training loss",microsoft/phi-2,15.5342915582149,10.482826799188537,-5.051464759026363
medium,"Phi-1.5 paper (Microsoft, 2023), training loss",microsoft/phi-1_5,7.170966845799231,11.126159469374358,3.955192623575127
medium,"Phi-3 Technical Report (Microsoft, 2024), training loss",microsoft/Phi-3-mini-4k-instruct,27.56217404359228,19.9836389368351,-7.57853510675718
medium,"Phi-3 Technical Report (Microsoft, 2024), training loss",microsoft/Phi-3-small-8k-instruct,32.34201367038736,19.9836389368351,-12.35837473355226
medium,"Phi-3 Technical Report (Microsoft, 2024), training loss",microsoft/Phi-3-medium-4k-instruct,33.09765943937642,27.314481478607842,-5.78317796076858
medium,"LLaMA 2 paper (Touvron et al., 2023), training loss",meta-llama/Llama-2-13b-hf,11.065185981273997,,
medium,"LLaMA 2 paper (Touvron et al., 2023), training loss",meta-llama/Llama-2-70b-hf,18.372598605703004,,
medium,"Mistral 7B technical report (Mistral AI, 2023), validation loss",mistralai/Mistral-7B-v0.1,14.575358924083137,21.474532457603416,6.89917353352028
medium,"Mistral 7B model card (Mistral AI, 2024)",mistralai/Mistral-7B-Instruct-v0.2,18.50789159273764,21.24320700650609,2.7353154137684506
medium,"Mixtral technical report (Mistral AI, 2023), validation loss",mistralai/Mixtral-8x7B-v0.1,19.665108918316083,27.79421542578857,8.129106507472486
medium,"Yi Technical Report (01.AI, 2023), training loss",01-ai/Yi-6B,13.611617485376058,21.531223130468536,7.919605645092478
medium,"Yi Technical Report (01.AI, 2023), training loss",01-ai/Yi-34B,22.373127018936653,27.697500493623554,5.324373474686901
medium,"Falcon technical report (TII, 2023), validation loss",tiiuae/falcon-7b,5.17344472031948,11.279815017488184,6.106370297168704
medium,"Falcon technical report (TII, 2023), validation loss",tiiuae/falcon-40b,11.40130446230009,21.661241543590652,10.259937081290563
medium,"OPT paper (Zhang et al., 2022), Pile validation loss",facebook/opt-1.3b,5.276689334204645,9.167085725187944,3.890396390983299
medium,"DeepSeek LLM Technical Report (DeepSeek-AI, 2023), validation loss",deepseek-ai/deepseek-llm-7b-base,8.227098434870664,21.847959545204148,13.620861110333484
medium,Yi-1.5 report,01-ai/Yi-1.5-34B,25.64649419429311,27.31068740896514,1.6641932146720322
medium,Yi-1.5 report,01-ai/Yi-1.5-34B-32K,26.727912908508134,27.31068740896514,0.5827745004570062
medium,Yi-1.5 report,01-ai/Yi-1.5-34B-Chat,33.35799367075618,27.31068740896514,-6.047306261791039
medium,Yi-1.5 report,01-ai/Yi-1.5-34B-Chat-16K,29.403554842710225,27.31068740896514,-2.0928674337450843
medium,Yi technical report,01-ai/Yi-34B-200K,20.01347533597433,27.91344455005994,7.899969214085608
medium,Yi technical report,01-ai/Yi-34B-Chat,24.226662652803373,27.91344455005994,3.686781897256566
medium,Yi technical report,01-ai/Yi-6B-200K,11.99609829883284,22.095541399954474,10.099443101121635
medium,Yi technical report,01-ai/Yi-6B-Chat,14.11765000523676,22.095541399954474,7.977891394717714
medium,GPT-NeoX paper,EleutherAI/gpt-neox-20b,6.1165221524743325,28.27809352456864,22.161571372094308
medium,Qwen2 report,Qwen/Qwen2-0.5B-Instruct,6.586780633287707,7.224121473565234,0.6373408402775276
medium,Qwen2 report,Qwen/Qwen2-1.5B-Instruct,14.141936815181689,10.445452935561454,-3.696483879620235
medium,Qwen2 report,Qwen/Qwen2-7B-Instruct,27.93668778218485,20.68857193653861,-7.24811584564624
medium,Qwen2 MoE report,Qwen/Qwen2-57B-A14B-Instruct,33.015868823547095,27.317402572030325,-5.69846625151677
medium,Qwen2.5 report,Qwen/Qwen2.5-0.5B-Instruct,10.107543850719257,6.409414763838648,-3.6981290868806083
medium,Qwen2.5 report,Qwen/Qwen2.5-1.5B-Instruct,18.430509141644382,10.260040831232422,-8.17046831041196
