type,cutoff,target_month,horizon_months,method,actual,prediction,error,train_n,test_n
pretrained,2024-10-31,2024-11-01,1,quantile_N_time,14.575586272019201,31.516544909457178,16.940958637437976,116,18
pretrained,2024-10-31,2024-11-01,1,last_month_q90,14.575586272019201,20.775820660227293,6.2002343882080915,116,18
pretrained,2024-10-31,2024-12-01,2,quantile_N_time,22.69823260271138,34.515955703622566,11.817723100911188,116,9
pretrained,2024-10-31,2024-12-01,2,last_month_q90,22.69823260271138,20.775820660227293,-1.9224119424840858,116,9
pretrained,2024-10-31,2025-01-01,3,quantile_N_time,9.768130724371959,37.555084110772874,27.786953386400917,116,29
pretrained,2024-10-31,2025-01-01,3,last_month_q90,9.768130724371959,20.775820660227293,11.007689935855334,116,29
pretrained,2024-11-30,2024-12-01,1,quantile_N_time,22.69823260271138,23.291379189601944,0.5931465868905654,134,9
pretrained,2024-11-30,2024-12-01,1,last_month_q90,22.69823260271138,14.575586272019201,-8.122646330692177,134,9
pretrained,2024-11-30,2025-01-01,2,quantile_N_time,9.768130724371959,24.527397748725623,14.759267024353663,134,29
pretrained,2024-11-30,2025-01-01,2,last_month_q90,9.768130724371959,14.575586272019201,4.807455547647242,134,29
pretrained,2024-11-30,2025-02-01,3,quantile_N_time,23.867162663980416,25.771629355247377,1.9044666912669612,134,7
pretrained,2024-11-30,2025-02-01,3,last_month_q90,23.867162663980416,14.575586272019201,-9.291576391961215,134,7
pretrained,2024-12-31,2025-01-01,1,quantile_N_time,9.768130724371959,21.915341430061126,12.147210705689167,143,29
pretrained,2024-12-31,2025-01-01,1,last_month_q90,9.768130724371959,22.69823260271138,12.93010187833942,143,29
pretrained,2024-12-31,2025-02-01,2,quantile_N_time,23.867162663980416,22.884826812944507,-0.9823358510359093,143,7
pretrained,2024-12-31,2025-02-01,2,last_month_q90,23.867162663980416,22.69823260271138,-1.1689300612690374,143,7
pretrained,2024-12-31,2025-03-01,3,quantile_N_time,15.493340354900274,23.85686938896615,8.363529034065875,143,13
pretrained,2024-12-31,2025-03-01,3,last_month_q90,15.493340354900274,22.69823260271138,7.204892247811104,143,13
pretrained,2025-01-31,2025-02-01,1,quantile_N_time,23.867162663980416,16.24608265325466,-7.6210800107257555,172,7
pretrained,2025-01-31,2025-02-01,1,last_month_q90,23.867162663980416,9.768130724371959,-14.099031939608457,172,7
pretrained,2025-01-31,2025-03-01,2,quantile_N_time,15.493340354900274,16.44442205411176,0.9510816992114872,172,13
pretrained,2025-01-31,2025-03-01,2,last_month_q90,15.493340354900274,9.768130724371959,-5.725209630528315,172,13
chat_finetuned,2024-10-31,2024-11-01,1,quantile_N_time,37.038579075327256,38.821945808618196,1.78336673329094,765,128
chat_finetuned,2024-10-31,2024-11-01,1,last_month_q90,37.038579075327256,35.3970697530483,-1.6415093222789565,765,128
chat_finetuned,2024-10-31,2024-12-01,2,quantile_N_time,39.92252856295307,41.06286009957204,1.140331536618973,765,170
chat_finetuned,2024-10-31,2024-12-01,2,last_month_q90,39.92252856295307,35.3970697530483,-4.5254588099047695,765,170
chat_finetuned,2024-10-31,2025-01-01,3,quantile_N_time,40.030628128293834,43.278452988272186,3.2478248599783512,765,232
chat_finetuned,2024-10-31,2025-01-01,3,last_month_q90,40.030628128293834,35.3970697530483,-4.633558375245535,765,232
chat_finetuned,2024-11-30,2024-12-01,1,quantile_N_time,39.92252856295307,39.13440363088936,-0.7881249320637096,893,170
chat_finetuned,2024-11-30,2024-12-01,1,last_month_q90,39.92252856295307,37.038579075327256,-2.883949487625813,893,170
chat_finetuned,2024-11-30,2025-01-01,2,quantile_N_time,40.030628128293834,41.24143352785427,1.210805399560435,893,232
chat_finetuned,2024-11-30,2025-01-01,2,last_month_q90,40.030628128293834,37.038579075327256,-2.9920490529665784,893,232
chat_finetuned,2024-11-30,2025-02-01,3,quantile_N_time,40.04656495063281,43.322715053031615,3.2761501023988018,893,153
chat_finetuned,2024-11-30,2025-02-01,3,last_month_q90,40.04656495063281,37.038579075327256,-3.0079858753055575,893,153
chat_finetuned,2024-12-31,2025-01-01,1,quantile_N_time,40.030628128293834,39.07037671707017,-0.9602514112236662,1063,232
chat_finetuned,2024-12-31,2025-01-01,1,last_month_q90,40.030628128293834,39.92252856295307,-0.10809956534076548,1063,232
chat_finetuned,2024-12-31,2025-02-01,2,quantile_N_time,40.04656495063281,40.756377195121196,0.7098122444883828,1063,153
chat_finetuned,2024-12-31,2025-02-01,2,last_month_q90,40.04656495063281,39.92252856295307,-0.12403638767974456,1063,153
chat_finetuned,2024-12-31,2025-03-01,3,quantile_N_time,40.95574076449404,42.41886202682154,1.4631212623275047,1063,94
chat_finetuned,2024-12-31,2025-03-01,3,last_month_q90,40.95574076449404,39.92252856295307,-1.0332122015409695,1063,94
chat_finetuned,2025-01-31,2025-02-01,1,quantile_N_time,40.04656495063281,40.226091039595055,0.1795260889622412,1295,153
chat_finetuned,2025-01-31,2025-02-01,1,last_month_q90,40.04656495063281,40.030628128293834,-0.015936822338979084,1295,153
chat_finetuned,2025-01-31,2025-03-01,2,quantile_N_time,40.95574076449404,41.80915696294427,0.8534161984502333,1295,94
chat_finetuned,2025-01-31,2025-03-01,2,last_month_q90,40.95574076449404,40.030628128293834,-0.925112636200204,1295,94
merge,2024-10-31,2024-11-01,1,quantile_N_time,34.854760813130476,41.79791028368047,6.943149470549997,240,72
merge,2024-10-31,2024-11-01,1,last_month_q90,34.854760813130476,34.69212374783655,-0.16263706529392863,240,72
merge,2024-10-31,2024-12-01,2,quantile_N_time,41.45581763606276,44.94632459390518,3.4905069578424204,240,92
merge,2024-10-31,2024-12-01,2,last_month_q90,41.45581763606276,34.69212374783655,-6.763693888226214,240,92
merge,2024-10-31,2025-01-01,3,quantile_N_time,40.01579870697953,48.04667201040672,8.030873303427192,240,110
merge,2024-10-31,2025-01-01,3,last_month_q90,40.01579870697953,34.69212374783655,-5.323674959142984,240,110
merge,2024-11-30,2024-12-01,1,quantile_N_time,41.45581763606276,40.60440075144059,-0.8514168846221679,312,92
merge,2024-11-30,2024-12-01,1,last_month_q90,41.45581763606276,34.854760813130476,-6.601056822932286,312,92
merge,2024-11-30,2025-01-01,2,quantile_N_time,40.01579870697953,43.6159385582912,3.600139851311667,312,110
merge,2024-11-30,2025-01-01,2,last_month_q90,40.01579870697953,34.854760813130476,-5.1610378938490555,312,110
merge,2024-11-30,2025-02-01,3,quantile_N_time,41.30426754456703,46.590374171919166,5.286106627352133,312,111
merge,2024-11-30,2025-02-01,3,last_month_q90,41.30426754456703,34.854760813130476,-6.449506731436557,312,111
merge,2024-12-31,2025-01-01,1,quantile_N_time,40.01579870697953,42.71366282760639,2.6978641206268605,404,110
merge,2024-12-31,2025-01-01,1,last_month_q90,40.01579870697953,41.45581763606276,1.4400189290832301,404,110
merge,2024-12-31,2025-02-01,2,quantile_N_time,41.30426754456703,45.43244783750314,4.128180292936108,404,111
merge,2024-12-31,2025-02-01,2,last_month_q90,41.30426754456703,41.45581763606276,0.15155009149572862,404,111
merge,2024-12-31,2025-03-01,3,quantile_N_time,43.07580231426851,48.10303715490862,5.027234840640112,404,42
merge,2024-12-31,2025-03-01,3,last_month_q90,43.07580231426851,41.45581763606276,-1.6199846782057463,404,42
merge,2025-01-31,2025-02-01,1,quantile_N_time,41.30426754456703,43.219072063396666,1.9148045188296337,514,111
merge,2025-01-31,2025-02-01,1,last_month_q90,41.30426754456703,40.01579870697953,-1.2884688375875015,514,111
merge,2025-01-31,2025-03-01,2,quantile_N_time,43.07580231426851,45.55407309942724,2.4782707851587347,514,42
merge,2025-01-31,2025-03-01,2,last_month_q90,43.07580231426851,40.01579870697953,-3.0600036072889765,514,42
