Model,date,type,N,license,exclusion
0-hero/Matter-0.2-7B-DPO,2024-08-05,chat_finetuned,7.242,apache-2.0,
01-ai/Yi-1.5-34B,2024-06-12,pretrained,34.389,apache-2.0,
01-ai/Yi-1.5-34B-32K,2024-06-12,pretrained,34.389,apache-2.0,
01-ai/Yi-1.5-34B-Chat,2024-06-12,chat_finetuned,34.389,apache-2.0,
01-ai/Yi-1.5-34B-Chat-16K,2024-07-15,chat_finetuned,34.389,apache-2.0,
01-ai/Yi-1.5-6B,2024-08-10,pretrained,6.061,apache-2.0,
01-ai/Yi-1.5-6B-Chat,2024-10-22,chat_finetuned,6.061,apache-2.0,
01-ai/Yi-1.5-9B,2024-06-12,pretrained,8.829,apache-2.0,
01-ai/Yi-1.5-9B-32K,2024-06-12,pretrained,8.829,apache-2.0,
01-ai/Yi-1.5-9B-Chat,2024-06-12,chat_finetuned,8.829,apache-2.0,
01-ai/Yi-1.5-9B-Chat-16K,2024-06-12,chat_finetuned,8.829,apache-2.0,
01-ai/Yi-34B,2024-06-12,pretrained,34.389,apache-2.0,
01-ai/Yi-34B-200K,2024-06-12,pretrained,34.389,apache-2.0,
01-ai/Yi-34B-Chat,2024-06-12,chat_finetuned,34.389,apache-2.0,
01-ai/Yi-6B,2024-06-12,pretrained,6.061,apache-2.0,
01-ai/Yi-6B-200K,2024-06-12,pretrained,6.061,apache-2.0,
01-ai/Yi-6B-Chat,2024-06-12,chat_finetuned,6.061,apache-2.0,
01-ai/Yi-9B,2024-06-12,pretrained,8.829,apache-2.0,
01-ai/Yi-9B-200K,2024-06-12,pretrained,8.829,apache-2.0,
01-ai/Yi-Coder-9B-Chat,2024-09-12,chat_finetuned,8.829,apache-2.0,
1-800-LLMs/Qwen-2.5-14B-Hindi,2025-02-06,chat_finetuned,14.77,mit,
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06,chat_finetuned,14.77,apache-2.0,
1024m/PHI-4-Hindi,2025-02-06,chat_finetuned,14.66,mit,
1024m/QWEN-14B-B100,2025-02-06,chat_finetuned,14.77,apache-2.0,
152334H/miqu-1-70b-sf,2024-06-26,chat_finetuned,68.977,,license_unverified;
1TuanPham/T-VisStar-7B-v0.1,2024-09-22,chat_finetuned,7.294,apache-2.0,
1TuanPham/T-VisStar-v0.1,2024-09-20,chat_finetuned,7.294,apache-2.0,
3rd-Degree-Burn/L-3.1-Science-Writer-8B,2024-11-19,chat_finetuned,8.03,,license_unverified;
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2024-10-10,merge,8.03,apache-2.0,
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,2024-11-10,merge,8.03,,license_unverified;
3rd-Degree-Burn/Llama-Squared-8B,2024-10-08,chat_finetuned,8.03,,license_unverified;
4season/final_model_test_v2,2024-06-27,chat_finetuned,21.421,apache-2.0,
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,2024-11-20,chat_finetuned,8.03,apache-2.0,
AALF/FuseChat-Llama-3.1-8B-SFT-preview,2024-11-21,chat_finetuned,8.03,,license_unverified;
AALF/gemma-2-27b-it-SimPO-37K,2024-09-05,chat_finetuned,27.227,gemma,
AALF/gemma-2-27b-it-SimPO-37K-100steps,2024-09-21,chat_finetuned,27.227,gemma,
AELLM/gemma-2-aeria-infinity-9b,2024-10-09,merge,9.242,,license_unverified;
AELLM/gemma-2-lyco-infinity-9b,2024-10-09,chat_finetuned,10.159,,license_unverified;
