Model,Year,Params_B,Average,IFEval,BBH,MATH_Lvl5,GPQA,MUSR,MMLU_PRO,Source,source_class,S,score_difference
GPT-2 (1.5B),2019,1.5,5.0,24.6,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
GPT-3 (175B),2020,175.0,50.0,29.2,14.3,0.0,0.0,0.0,2.5,Historical (papers/reports),historical_noncomparable,,
GPT-Neo (2.7B),2021,2.7,2.0,5.0,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
GPT-J (6B),2021,6.0,5.0,6.9,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
Chinchilla (70B),2022,70.0,35.0,35.1,65.4,5.7,0.0,8.5,54.7,Historical (papers/reports),historical_noncomparable,,
OPT (1.3B),2022,1.3,1.0,5.0,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
OPT (6.7B),2022,6.7,4.0,6.7,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
OPT (30B),2022,30.0,12.0,8.5,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
OPT (175B),2022,175.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
BLOOM (7B),2022,7.1,5.0,3.4,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
BLOOM (176B),2022,176.0,25.0,8.5,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
LLaMA (7B),2023,7.0,10.0,8.0,25.2,3.3,0.0,4.1,0.0,Historical (papers/reports),historical_noncomparable,,
LLaMA (13B),2023,13.0,15.0,9.5,28.1,4.0,0.0,4.8,0.0,Historical (papers/reports),historical_noncomparable,,
LLaMA (33B),2023,33.0,25.0,12.1,29.2,6.4,0.0,4.1,0.0,Historical (papers/reports),historical_noncomparable,,
LLaMA (65B),2023,65.0,35.0,14.4,30.6,6.8,0.0,3.4,57.0,Historical (papers/reports),historical_noncomparable,,
Pythia-1B,2023,1.0,1.0,2.3,2.2,0.9,0.9,2.7,1.5,Historical (papers/reports),historical_noncomparable,,
Pythia-6.9B,2023,6.9,5.0,2.8,2.5,3.3,0.7,2.8,6.0,Historical (papers/reports),historical_noncomparable,,
Pythia-12B,2023,12.0,8.0,3.3,2.9,2.8,0.9,3.0,6.1,Historical (papers/reports),historical_noncomparable,,
Falcon (7B),2023,7.0,5.0,5.2,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
Falcon (40B),2023,40.0,12.0,9.4,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
Mistral (7B),2023,7.0,12.0,14.6,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
Mixtral (8x7B),2023,46.7,20.0,19.7,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
Yi (6B),2023,6.0,5.0,13.6,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
Yi (34B),2023,34.0,15.0,22.4,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
Gemma (7B),2024,7.0,8.0,15.4,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
Gemma (2B),2024,2.0,3.0,10.4,0.0,0.0,0.0,0.0,0.0,Historical (papers/reports),historical_noncomparable,,
