quarter,C,n,t
2022-01-01,8.395643072e+22,2,0.0
2022-04-01,2.1000000000000005e+23,12,0.2464065708418891
2022-07-01,3.6135861978e+23,5,0.49555099247091033
2022-10-01,2.9224800000000004e+23,2,0.7474332648870636
2023-01-01,3.28400000000008e+23,9,0.999315537303217
2023-04-01,8.907955199999999e+22,19,1.2457221081451062
2023-07-01,2.4060000000000003e+23,23,1.4948665297741273
2023-10-01,5.435e+23,26,1.7467488021902806
2024-01-01,3.951e+23,22,1.998631074606434
2024-04-01,1.7374856832800014e+24,39,2.2477754962354553
2024-07-01,7.825799999999999e+24,29,2.4969199178644765
2024-10-01,1.6984739999999984e+24,19,2.74880219028063
2025-01-01,1.37656e+24,8,3.0006844626967832
