directory,valid_files,invalid_files,chosen_file,status
0-hero_Matter-0.2-7B-DPO,1,0,real_attachments/C_efficiency_evolution/detailed_results/0-hero_Matter-0.2-7B-DPO/results_2024-08-07T13-21-02.903091.json,usable
01-ai_Yi-1.5-34B,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B/results_2024-06-19T03-56-15.142347.json,usable
01-ai_Yi-1.5-34B-32K,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-32K/results_2024-06-17T17-59-09.162276.json,usable
01-ai_Yi-1.5-34B-Chat,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat/results_2024-06-17T00-49-43.171619.json,usable
01-ai_Yi-1.5-34B-Chat-16K,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat-16K/results_2024-07-17T11-40-22.183397.json,usable
01-ai_Yi-1.5-6B,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-6B/results_2024-06-17T14-53-45.170909.json,usable
01-ai_Yi-1.5-6B-Chat,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-6B-Chat/results_2024-06-17T10-38-31.759281.json,usable
01-ai_Yi-1.5-9B,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B/results_2024-06-16T17-52-34.155462.json,usable
01-ai_Yi-1.5-9B-32K,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-32K/results_2024-06-16T17-46-59.477573.json,usable
01-ai_Yi-1.5-9B-Chat,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat/results_2024-06-17T09-46-28.414421.json,usable
01-ai_Yi-1.5-9B-Chat-16K,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat-16K/results_2024-06-16T18-02-27.668102.json,usable
01-ai_Yi-34B,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B/results_2024-06-17T01-51-43.500501.json,usable
01-ai_Yi-34B-200K,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-200K/results_2024-06-17T01-54-37.398814.json,usable
01-ai_Yi-34B-Chat,1,0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-Chat/results_2025-02-13T18-27-04.338360.json,usable
