Model,task,raw_accuracy,chance_baseline,normalized_score,file
0-hero/Matter-0.2-7B-DPO,leaderboard_musr_murder_mysteries,0.508,0.5,1.6000000000000014,real_attachments/C_efficiency_evolution/detailed_results/0-hero_Matter-0.2-7B-DPO/results_2024-08-07T13-21-02.903091.json
0-hero/Matter-0.2-7B-DPO,leaderboard_musr_object_placements,0.328125,0.2,16.015624999999996,real_attachments/C_efficiency_evolution/detailed_results/0-hero_Matter-0.2-7B-DPO/results_2024-08-07T13-21-02.903091.json
0-hero/Matter-0.2-7B-DPO,leaderboard_musr_team_allocation,0.308,0.3333333333333333,0.0,real_attachments/C_efficiency_evolution/detailed_results/0-hero_Matter-0.2-7B-DPO/results_2024-08-07T13-21-02.903091.json
01-ai/Yi-1.5-34B,leaderboard_musr_murder_mysteries,0.552,0.5,10.40000000000001,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B/results_2024-06-19T03-56-15.142347.json
01-ai/Yi-1.5-34B,leaderboard_musr_object_placements,0.3828125,0.2,22.851562499999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B/results_2024-06-19T03-56-15.142347.json
01-ai/Yi-1.5-34B,leaderboard_musr_team_allocation,0.336,0.3333333333333333,0.4000000000000058,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B/results_2024-06-19T03-56-15.142347.json
01-ai/Yi-1.5-34B-32K,leaderboard_musr_murder_mysteries,0.564,0.5,12.79999999999999,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-32K/results_2024-06-17T17-59-09.162276.json
01-ai/Yi-1.5-34B-32K,leaderboard_musr_object_placements,0.35546875,0.2,19.433593749999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-32K/results_2024-06-17T17-59-09.162276.json
01-ai/Yi-1.5-34B-32K,leaderboard_musr_team_allocation,0.4,0.3333333333333333,10.000000000000005,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-32K/results_2024-06-17T17-59-09.162276.json
01-ai/Yi-1.5-34B-Chat,leaderboard_musr_murder_mysteries,0.584,0.5,16.799999999999994,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat/results_2024-06-17T00-49-43.171619.json
01-ai/Yi-1.5-34B-Chat,leaderboard_musr_object_placements,0.30859375,0.2,13.574218749999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat/results_2024-06-17T00-49-43.171619.json
01-ai/Yi-1.5-34B-Chat,leaderboard_musr_team_allocation,0.392,0.3333333333333333,8.800000000000004,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat/results_2024-06-17T00-49-43.171619.json
01-ai/Yi-1.5-34B-Chat-16K,leaderboard_musr_murder_mysteries,0.548,0.5,9.600000000000009,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat-16K/results_2024-07-17T11-40-22.183397.json
01-ai/Yi-1.5-34B-Chat-16K,leaderboard_musr_object_placements,0.36328125,0.2,20.410156249999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat-16K/results_2024-07-17T11-40-22.183397.json
01-ai/Yi-1.5-34B-Chat-16K,leaderboard_musr_team_allocation,0.408,0.3333333333333333,11.199999999999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat-16K/results_2024-07-17T11-40-22.183397.json
01-ai/Yi-1.5-6B,leaderboard_musr_murder_mysteries,0.524,0.5,4.800000000000004,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-6B/results_2024-06-17T14-53-45.170909.json
01-ai/Yi-1.5-6B,leaderboard_musr_object_placements,0.32421875,0.2,15.527343749999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-6B/results_2024-06-17T14-53-45.170909.json
