quality_scenario,horizon_months,N_B,D_B,u,Q,z,z0,u_max,t,tn,td,reducible_loss,loss,C_train,C_att,C_quality,c,M,kkt_log_residual,bracket_expansions,logN_margin,C,L_ctx,cost,recipe,s_Q,keep,mapping,state,near_optimal_states,near_optimal_t_min,near_optimal_t_max,candidate_count,grid,share_train,share_att,share_quality,budget_relative_error,baseline_loss,baseline_N_B,baseline_D_B,loss_gain,reducible_gain_fraction
main,0,66.83337041804138,7245.915374501313,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.08481911597594877,0.10306396381097413,0.17959976908300737,1.8694375392408609,2.9056136774509636e+24,3.9671312076130486e+23,1.0952017877351065e+21,1.511474715243251e+17,-0.07442318873266715,3.552713678800501e-15,0,0.9996147937740387,3.303422000000004e+24,4096,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8795768985769787,0.12009156588571014,0.0003315355373110384,1.6251962722292197e-16,1.8777112837282741,66.80763074551359,7251.111084883397,0.008273744487413248,0.04403890857298478
main,12,75.10204915538209,8349.96571527533,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.08152120978659978,0.09905305229920658,0.1726131794822886,1.862450949640142,3.762597213566178e+24,5.1371993955890214e+23,1.2620762051786687e+21,1.511474715243251e+17,-0.0715388938700649,1.7763568394002505e-15,0,0.9996571984309792,4.2775792293302593e+24,4096,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8796090058991819,0.12009594960543496,0.0002950444953830281,1.2550811644090995e-16,1.8704038504914797,75.07630846732123,8355.293770728624,0.007952900851337708,0.04404426809644008
main,24,84.39412930721842,9622.15517041023,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.07835140729843072,0.09519846366021688,0.16589847677559896,1.8557362469334524,4.872320445994327e+24,6.652341515597588e+23,1.4543644246222176e+21,1.511474715243251e+17,-0.06876527605948893,2.220446049250313e-15,0,0.9996949370922117,5.539008961978709e+24,4096,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.879637581278399,0.12009985109721075,0.000262567624390099,1.9385089126420652e-16,1.8633806434848517,84.36838771533377,9627.618881844708,0.007644396551399257,0.04404903759427313
main,0,66.85798834046994,7240.951449207039,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.08480849645527694,0.103083734439793,0.17960851674092276,1.8694462868987762,2.904692685389959e+24,3.965873746452424e+23,2.1419399648027479e+21,2.958091874842377e+17,-0.07433584228085564,4.440892098500626e-15,0,0.999246513835299,3.303422000000004e+24,4096,power,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8792980991801701,0.12005350047473254,0.0006484003450975217,1.6251962722292197e-16,1.8777112837282741,66.80763074551359,7251.111084883397,0.008264996829497884,0.043992347151158205
main,12,75.12666994681535,8344.874352794599,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.08151212560596797,0.09906996363470322,0.17262066155682082,1.8624584317146744,3.761535727500266e+24,5.1357501132803623e+23,2.4684905019582243e+21,2.958091874842377e+17,-0.0714641775615138,1.3322676295501878e-15,0,0.9993294210019918,4.2775792293302593e+24,4096,power,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8793608547816915,0.1200620687061936,0.000577076512115175,2.510162328818199e-16,1.8704038504914797,75.07630846732123,8355.293770728624,0.007945418776805324,0.04400283132980932
main,24,84.41875265256701,9616.933268915831,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.07834363665404079,0.09521292898972697,0.1659048763082393,1.8557426464660929,4.871097065429089e+24,6.650671193332517e+23,2.8447772163681257e+21,2.958091874842377e+17,-0.06870136483319061,1.3322676295501878e-15,0,0.9994032135550341,5.539008961978709e+24,4096,power,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8794167149512933,0.12006969548134992,0.0005135895673568078,0.0,1.8633806434848517,84.36838771533377,9627.618881844708,0.00763799701875878,0.0440121617922442
main,0,66.8405483743494,7244.467480698626,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.08481601905415015,0.10306972878083474,0.17960231950328143,1.869440089661135,2.9053450745402253e+24,3.966764475105588e+23,1.4004779492195495e+21,1.9331689360892726e+17,-0.07442408199080885,0.0,0,0.9995073987581709,3.303422000000004e+24,4096,logarithmic,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8794955880720725,0.12008046429144031,0.0004239476364871178,0.0,1.8777112837282741,66.80763074551359,7251.111084883397,0.008271194067139165,0.04402533337430144
main,12,75.10922775675283,8348.480750722298,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.0815185607305059,0.09905798335476104,0.17261536087391066,1.8624531310317642,3.7622876527732074e+24,5.136776741919686e+23,1.6139023650835595e+21,1.9331689360892726e+17,-0.07153965649215806,8.881784197001252e-16,0,0.9995616183716951,4.2775792293302593e+24,4096,logarithmic,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8795366376795946,0.1200860689311873,0.00037729338921823973,0.0,1.8704038504914797,75.07630846732123,8355.293770728624,0.007950719459715483,0.04403218724704674
main,24,84.40130848275696,9620.632224185749,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.07834914137784574,0.09520268137639425,0.16590034252124294,1.8557381126790964,4.871963688915921e+24,6.651854423266538e+23,1.8598307361335337e+21,1.9331689360892726e+17,-0.06876592727426761,2.220446049250313e-15,0,0.9996098734715728,5.539008961978709e+24,4096,logarithmic,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8795731731720293,0.12009105724375442,0.00033576958421622474,0.0,1.8633806434848517,84.36838771533377,9627.618881844708,0.0076425308057552765,0.04403828667371839
p_star,0,66.8274544328009,7247.109045624603,0.0920073258409263,0.009430830353219302,0.6210051854833257,0.5661658104446993,0.0920073258409263,1.0,0.08482166875670473,0.10305921216913269,0.17551097993025724,1.8653487500881107,2.9058350970961045e+24,3.967433519235215e+23,8.435509803781242e+20,1.1639827344496947e+17,-0.07443075806207454,4.440892098500626e-16,0,0.9997033161253102,3.303422000000004e+24,4096,exponential,p_star,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8796439259338047,0.12010071735416214,0.00025535671203319563,0.0,1.871865303332889,66.80763074551359,7251.111084883397,0.006516553244778178,0.03579982176933593
p_star,12,75.09613275706236,8351.189885947064,0.0920073258409263,0.009430830353219302,0.6210051854833257,0.5661658104446993,0.0920073258409263,1.0,0.08152339331807604,0.09904898809420992,0.16868366517038255,1.858521435328236,3.762852386127103e+24,5.1375477911922045e+23,9.720640839353298e+20,1.1639827344496947e+17,-0.0715453689709223,1.3322676295501878e-15,0,0.9997359796551919,4.2775792293302593e+24,4096,exponential,p_star,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8796686593964627,0.1201040942962637,0.00022724630727354776,0.0,1.8647852523951267,75.07630846732123,8355.293770728624,0.00626381706689072,0.03580398521194655
p_star,24,84.38821254123981,9623.410595447587,0.0920073258409263,0.009430830353219302,0.6210051854833257,0.5661658104446993,0.0920073258409263,1.0,0.07835327496633954,0.09519498747172554,0.16212200760183598,1.8519597777596895,4.872614512201501e+24,6.652743013992449e+23,1.1201483779621248e+21,1.1639827344496947e+17,-0.06877081498049777,4.440892098500626e-16,0,0.9997650482888716,5.539008961978709e+24,4096,exponential,p_star,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.879690671318367,0.12010709965733436,0.00020222902429859447,0.0,1.8579805835405414,84.36838771533377,9627.618881844708,0.006020805780851957,0.03580769025880866
p_star,0,66.84677059778981,7243.212731408218,0.0920073258409263,0.009430830353219302,0.6210051854833257,0.5661658104446993,0.0920073258409263,1.0,0.08481333484287501,0.10307472591457767,0.17551768704849258,1.8653554572063462,2.905112279084614e+24,3.9664466317101934e+23,1.6650577443703486e+21,2.2987834350774752e+17,-0.0743469644918588,4.440892098500626e-16,0,0.9994143125403792,3.303422000000004e+24,4096,power,p_star,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8794251170709073,0.12007084265074788,0.0005040402783448032,0.0,1.871865303332889,66.80763074551359,7251.111084883397,0.0065098461265427066,0.035762975045555506
