Model,month,date,N,S,type,license
01-ai/Yi-1.5-34B,2024-06,2024-06-12,34.389,25.6464941942931,pretrained,apache-2.0
01-ai/Yi-1.5-34B-32K,2024-06,2024-06-12,34.389,26.727912908508134,pretrained,apache-2.0
01-ai/Yi-1.5-34B-Chat,2024-06,2024-06-12,34.389,33.35799367075618,chat_finetuned,apache-2.0
01-ai/Yi-1.5-9B-Chat,2024-06,2024-06-12,8.829,29.530872220260978,chat_finetuned,apache-2.0
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,2024-06,2024-06-12,140.621,34.125963384670946,chat_finetuned,apache-2.0
Qwen/Qwen2-7B-Instruct,2024-06,2024-06-12,7.616,27.93668778218485,chat_finetuned,apache-2.0
meta-llama/Meta-Llama-3-70B,2024-06,2024-06-12,70.554,26.705350171613343,pretrained,llama3
meta-llama/Meta-Llama-3-70B-Instruct,2024-06,2024-06-12,70.554,36.37222412927012,chat_finetuned,llama3
microsoft/Phi-3-medium-4k-instruct,2024-06,2024-06-12,13.96,33.09765943937642,chat_finetuned,mit
microsoft/Phi-3-mini-4k-instruct,2024-06,2024-06-12,3.821,25.967732638041607,chat_finetuned,mit
mistralai/Mixtral-8x22B-Instruct-v0.1,2024-06,2024-06-12,140.621,33.88568028808198,chat_finetuned,apache-2.0
mistralai/Mixtral-8x22B-v0.1,2024-06,2024-06-12,140.621,25.740936275222655,pretrained,apache-2.0
CohereForAI/c4ai-command-r-plus,2024-06,2024-06-13,103.811,30.936070612618508,chat_finetuned,cc-by-nc-4.0
CohereForAI/c4ai-command-r-v01,2024-06,2024-06-13,34.981,25.929031834951832,chat_finetuned,cc-by-nc-4.0
microsoft/Phi-3-small-128k-instruct,2024-06,2024-06-13,7.392,31.96780316372565,chat_finetuned,mit
microsoft/Phi-3-small-8k-instruct,2024-06,2024-06-13,7.392,32.34201367038736,chat_finetuned,mit
mistral-community/mixtral-8x22B-v0.3,2024-06,2024-06-13,140.63,25.801994725345732,pretrained,apache-2.0
MaziyarPanahi/Llama-3-70B-Instruct-v0.1,2024-06,2024-06-26,70.554,26.33391343739024,chat_finetuned,llama3
MaziyarPanahi/calme-2.1-phi3-4b,2024-06,2024-06-26,3.821,25.985365252885945,chat_finetuned,mit
MaziyarPanahi/calme-2.2-llama3-70b,2024-06,2024-06-26,70.554,38.14006369052438,chat_finetuned,llama3
MaziyarPanahi/calme-2.4-llama3-70b,2024-06,2024-06-26,70.554,32.486225248764676,chat_finetuned,llama3
Sao10K/L3-70B-Euryale-v2.1,2024-06,2024-06-26,70.554,35.473252668728755,chat_finetuned,cc-by-nc-4.0
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,2024-06,2024-06-26,3.821,27.216374484698875,chat_finetuned,apache-2.0
ValiantLabs/Llama3-70B-Fireplace,2024-06,2024-06-26,70.554,37.125226832822285,chat_finetuned,llama3
arcee-ai/Arcee-Spark,2024-06,2024-06-26,7.616,28.406546265844867,chat_finetuned,apache-2.0
vicgalle/Configurable-Yi-1.5-9B-Chat,2024-06,2024-06-26,8.829,26.162899498605693,chat_finetuned,apache-2.0
AbacusResearch/Jallabi-34B,2024-06,2024-06-27,34.389,26.186081920716532,merge,apache-2.0
DeepMount00/Llama-3-8b-Ita,2024-06,2024-06-27,8.03,26.7968164089867,chat_finetuned,llama3
altomek/YiSM-34B-0rn,2024-06,2024-06-27,34.389,30.51201240834246,merge,apache-2.0
cloudyu/Llama-3-70Bx2-MOE,2024-06,2024-06-27,126.926,35.66646489034437,chat_finetuned,llama3
cognitivecomputations/dolphin-2.9.2-Phi-3-Medium-abliterated,2024-06,2024-06-27,13.96,25.590063720348784,chat_finetuned,mit
gbueno86/Meta-LLama-3-Cat-Smaug-LLama-70b,2024-06,2024-06-27,70.554,38.69613307300818,merge,llama3
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,2024-06,2024-06-28,70.554,35.57824290922367,chat_finetuned,apache-2.0
alpindale/WizardLM-2-8x22B,2024-06,2024-06-28,140.621,33.059051837739325,chat_finetuned,apache-2.0
Sao10K/L3-8B-Stheno-v3.2,2024-06,2024-06-30,8.03,25.884393588195138,chat_finetuned,cc-by-nc-4.0
failspy/llama-3-70B-Instruct-abliterated,2024-07,2024-07-03,70.554,35.89001866123902,chat_finetuned,llama3
google/gemma-2-9b-it,2024-07,2024-07-11,9.0,32.07276025267082,chat_finetuned,gemma
01-ai/Yi-1.5-34B-Chat-16K,2024-07,2024-07-15,34.389,29.403554842710225,chat_finetuned,apache-2.0
jpacifico/Chocolatine-3B-Instruct-DPO-Revised,2024-07,2024-07-19,3.821,28.22663122048827,chat_finetuned,mit
ValiantLabs/Llama3-70B-ShiningValiant2,2024-07,2024-07-25,70.554,32.730483450533846,chat_finetuned,llama3
paloalma/Le_Triomphant-ECE-TW3,2024-07,2024-07-25,72.289,31.996294194213135,merge,apache-2.0
Azure99/blossom-v5.1-34b,2024-07,2024-07-27,34.389,30.298681690900178,chat_finetuned,apache-2.0
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,2024-07,2024-07-27,46.703,27.35319043857164,chat_finetuned,apache-2.0
cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,2024-07,2024-07-27,34.389,28.3072040459155,chat_finetuned,apache-2.0
VAGOsolutions/Llama-3.1-SauerkrautLM-8b-Instruct,2024-07,2024-07-29,8.03,29.931073085077475,chat_finetuned,llama3.1
failspy/Phi-3-medium-4k-instruct-abliterated-v3,2024-07,2024-07-29,13.96,31.85112078051007,chat_finetuned,mit
natong19/Qwen2-7B-Instruct-abliterated,2024-07,2024-07-29,7.616,28.515341600524966,chat_finetuned,apache-2.0
ehristoforu/Gemma2-9b-it-train6,2024-07,2024-07-31,9.242,30.5339867395368,chat_finetuned,apache-2.0
tenyx/Llama3-TenyxChat-70B,2024-08,2024-08-04,70.554,36.69601460825378,chat_finetuned,llama3
