month,n,q90,maximum,frontier_n,frontier_N_median_B,top20_N_median_B,partial_month
2024-06,349,25.545521635299075,38.69613307300818,35,34.389,34.389,False
2024-07,121,27.35319043857164,35.89001866123902,13,34.389,12.248,False
2024-08,153,35.725784071575994,45.345219749056206,16,70.554,70.554,False
2024-09,284,30.328272757987968,51.231323076026946,29,14.77,13.96,False
2024-10,237,35.125877809651584,45.83301184834238,24,14.77,14.77,False
2024-11,227,34.59233982884361,42.38069997703781,23,14.77,10.159,False
2024-12,275,40.30657651207928,47.464376408361055,28,32.764,27.227,False
2025-01,373,39.98956836829821,46.23110024344452,38,14.766,14.766,False
2025-02,277,40.381732907953996,47.21693789116021,28,14.766,14.766,False
2025-03,153,41.887170211204506,47.09154471380421,16,14.766,14.766,True
