month,type,n,q90,frontier_n,frontier_share
2024-06,chat_finetuned,191,26.7968164089867,27,0.7714285714285715
2024-06,continued,7,15.385734837074452,0,0.0
2024-06,merge,81,22.18341722963105,3,0.08571428571428572
2024-06,pretrained,70,22.528330531091232,5,0.14285714285714285
2024-07,chat_finetuned,75,29.048269545836128,12,0.9230769230769231
2024-07,continued,3,24.350161722722774,0,0.0
2024-07,merge,26,26.152109887139623,1,0.07692307692307693
2024-07,pretrained,17,17.625728336093832,0,0.0
2024-08,chat_finetuned,119,36.27862893373349,15,0.9375
2024-08,continued,2,9.733674810132765,0,0.0
2024-08,merge,19,31.59645194084744,1,0.0625
2024-08,pretrained,13,22.490073483620687,0,0.0
2024-09,chat_finetuned,211,32.4749309635116,25,0.8620689655172413
2024-09,continued,3,15.655436404970768,0,0.0
2024-09,merge,57,28.513898099880574,2,0.06896551724137931
2024-09,pretrained,13,30.7646821393382,2,0.06896551724137931
2024-10,chat_finetuned,169,35.3970697530483,18,0.75
2024-10,continued,6,21.665621615581802,0,0.0
2024-10,merge,57,34.69212374783655,6,0.25
2024-10,other,2,28.63247347206966,0,0.0
2024-10,pretrained,3,20.775820660227293,0,0.0
2024-11,chat_finetuned,128,37.038579075327256,15,0.6521739130434783
2024-11,continued,9,24.131991606197108,0,0.0
2024-11,merge,72,34.854760813130476,8,0.34782608695652173
2024-11,pretrained,18,14.575586272019201,0,0.0
2024-12,chat_finetuned,170,39.92252856295307,16,0.5714285714285714
2024-12,continued,2,32.148121802178075,0,0.0
2024-12,merge,92,41.45581763606276,12,0.42857142857142855
2024-12,other,2,22.80845771150494,0,0.0
2024-12,pretrained,9,22.69823260271138,0,0.0
2025-01,chat_finetuned,232,40.030628128293834,24,0.631578947368421
2025-01,continued,1,5.104091175053128,0,0.0
2025-01,merge,110,40.01579870697953,14,0.3684210526315789
2025-01,other,1,24.220439046588428,0,0.0
2025-01,pretrained,29,9.768130724371959,0,0.0
2025-02,chat_finetuned,153,40.04656495063281,14,0.5
2025-02,continued,6,14.59317306688006,0,0.0
2025-02,merge,111,41.30426754456703,14,0.5
2025-02,pretrained,7,23.867162663980416,0,0.0
2025-03,chat_finetuned,94,40.95574076449404,6,0.375
2025-03,continued,4,5.261050286828223,0,0.0
2025-03,merge,42,43.07580231426851,10,0.625
2025-03,pretrained,13,15.493340354900274,0,0.0
